1. 전자석에 흘려주는 전류에 따른 자기장,,,,"샘플(n-type,p-type)에 전류를 고정시킨 뒤, 자기장을 증가시킬 때 측정되는 Hall Voltage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
자기장 크기(G),전류(A),전류(double check),,2. n-type Ge,,,,,,,,,,,,,,,,3. p-type Ge,,,,,,,,,,,,,
40,,0,,2-1) 전류 2mA,initial voltage :,-4.6,,,2-2) 전류 4mA,initial voltage :,38.3,,,2-3) 전류 6mA,initial voltage :,35,,,,3-1) 전류 2mA,initial voltage :,0,,,3-2) 전류 4mA,initial voltage :,0,,,3-3) 전류 6mA,initial voltage :,0,
100,0.04,0.02,,자기장 만드는 전류(A),자기장 크기(G),전압(mV),전압(mV),,자기장 만드는 전류(A),자기장 크기(G),전압(mV),전압(mV),,자기장 만드는 전류(A),자기장 크기(G),전압(mV),전압(mV),,,자기장 만드는 전류(A),자기장 크기(G),전압(mV),전압(mV),,자기장 만드는 전류(A),자기장 크기(G),전압(mV),전압(mV),,자기장 만드는 전류(A),자기장 크기(G),전압(mV),전압(mV)
200,0.11,0.07,,0.11,200,-7.7,-3.1,,0.11,200,32.1,-6.2,,0.11,200,25.7,-9.3,,,0.11,200,1.5,1.5,,0.11,200,3,3,,0.11,200,4.5,4.5
300,0.17,0.13,,0.24,400,-11.8,-7.2,,0.24,400,23.8,-14.5,,0.24,400,14.8,-20.2,,,0.24,400,3.5,3.5,,0.24,400,7,7,,0.24,400,10.6,10.6
400,0.24,0.17,,0.35,600,-15.2,-10.6,,0.35,600,17.2,-21.1,,0.35,600,5.4,-29.6,,,0.35,600,5.3,5.3,,0.35,600,10.6,10.6,,0.35,600,15.9,15.9
500,0.29,0.22,,0.46,800,-19.1,-14.5,,0.46,800,9.9,-28.4,,0.46,800,-5.2,-40.2,,,0.46,800,7,7,,0.46,800,14.3,14.3,,0.46,800,21.6,21.6
600,0.35,0.27,,0.56,1000,-22.6,-18,,0.56,1000,3.2,-35.1,,0.56,1000,-15,-50,,,0.56,1000,8.7,8.7,,0.56,1000,17.6,17.6,,0.56,1000,26.4,26.4
700,0.4,0.32,,0.67,1200,-26.4,-21.8,,0.67,1200,-4,-42.3,,0.67,1200,-25,-60,,,0.67,1200,10.4,10.4,,0.67,1200,21.2,21.2,,0.67,1200,31.7,31.7
800,0.46,0.37,,0.77,1400,-30.1,-25.5,,0.77,1400,-11.1,-49.4,,0.77,1400,-35.1,-70.1,,,0.77,1400,12,12,,0.77,1400,24.6,24.6,,0.77,1400,36.5,36.5
900,0.51,0.42,,0.87,1600,-33.7,-29.1,,0.87,1600,-18.5,-56.8,,0.87,1600,-45.5,-80.5,,,0.87,1600,13.8,13.8,,0.87,1600,27.8,27.8,,0.87,1600,41.4,41.4
1000,0.56,0.47,,0.97,1800,-37.2,-32.6,,0.97,1800,-24.8,-63.1,,0.97,1800,-55,-90,,,0.97,1800,15.3,15.3,,0.97,1800,30.8,30.8,,0.97,1800,46,46
1100,0.62,0.51,,1.08,2000,-41,-36.4,,1.08,2000,-32.4,-70.7,,1.08,2000,-65.5,-100.5,,,1.08,2000,16.8,16.8,,1.08,2000,34,34,,1.08,2000,51.1,51.1
1200,0.67,0.56,,1.19,2200,-45,-40.4,,1.19,2200,-39.9,-78.2,,1.19,2200,-76,-111,,,1.19,2200,18.6,18.6,,1.19,2200,37.2,37.2,,1.19,2200,55.9,55.9
1300,0.72,0.61,,1.29,2400,-48.4,-43.8,,1.29,2400,-46.4,-84.7,,1.29,2400,-86.6,-121.6,,,1.29,2400,19.9,19.9,,1.29,2400,40.1,40.1,,1.29,2400,60,60
1400,0.77,0.66,,1.4,2600,-52.2,-47.6,,1.4,2600,-53.9,-92.2,,1.4,2600,-95.4,-130.4,,,1.4,2600,21.3,21.3,,1.4,2600,42.8,42.8,,1.4,2600,64.4,64.4
