MIN=0	-1	-3	0	0	-2
MAX=60	1	3	1	1	2
SCALE=60	0.5	1	0.5	0.5	1
DEC=2	3	3	0	0	2
DEF="Time" t / s	"Current" I_A1 / A	"Voltage" U_B1 / V	"Relay" R_1	"Voltage source" S_1	"Magnetic Flux" &F / Vs
21.9	21.9	-0.036	0.0195	1	1	-0.04261875
21.95	21.95	-0.0335	0.0375	1	1	-0.04119375
22	22	-0.0305	0.0435	1	1	-0.03916875
22.05	22.05	-0.0275	0.0465	1	1	-0.03691875
22.1	22.1	-0.0245	0.0495	1	1	-0.03451875
22.15	22.15	-0.0215	0.0525	1	1	-0.03196875
22.2	22.2	-0.0185	0.0555	1	1	-0.02926875
22.25	22.25	-0.0155	0.0585	1	1	-0.02641875
22.3	22.3	-0.0125	0.0615	1	1	-0.02341875
22.35	22.35	-0.0095	0.063	1	1	-0.02030625
22.4	22.4	-0.0065	0.066	1	1	-0.01708125
22.45	22.45	-0.0035	0.0705	1	1	-0.01366875
22.5	22.5	-0.0005	0.072	1	1	-0.01010625
22.55	22.55	0.002	0.075	1	1	-0.00643125
22.6	22.6	0.005	0.078	1	1	-0.00260625
22.65	22.65	0.0085	0.081	1	1	0.00136875
22.7	22.7	0.011	0.084	1	1	0.00549375
22.75	22.75	0.0145	0.0855	1	1	0.00973125
22.8	22.8	0.017	0.0885	1	1	0.01408125
22.85	22.85	0.0205	0.0915	1	1	0.01858125
22.9	22.9	0.0235	0.0945	1	1	0.02323125
22.95	22.95	0.0265	0.0975	1	1	0.02803125
23	23	0.0295	0.0975	1	1	0.03290625
23.05	23.05	0.0325	0.0975	1	1	0.03778125
23.1	23.1	0.0355	0.0945	1	1	0.04258125
23.15	23.15	0.037	-0.021	1	1	0.04441875
23.2	23.2	0.0345	-0.039	1	1	0.04291875
23.25	23.25	0.0315	-0.045	1	1	0.04081875
23.3	23.3	0.0285	-0.0495	1	1	0.03845625
23.35	23.35	0.0255	-0.051	1	1	0.03594375
23.4	23.4	0.0225	-0.0555	1	1	0.03328125
23.45	23.45	0.0195	-0.057	1	1	0.03046875
23.5	23.5	0.0165	-0.06	1	1	0.02754375
23.55	23.55	0.0135	-0.063	1	1	0.02446875
23.6	23.6	0.0105	-0.066	1	1	0.02124375
23.65	23.65	0.0075	-0.0675	1	1	0.01790625
23.7	23.7	0.0045	-0.069	1	1	0.01449375
23.75	23.75	0.001	-0.072	1	1	0.01096875
23.8	23.8	-0.0015	-0.075	1	1	0.00729375
23.85	23.85	-0.0045	-0.078	1	1	0.00346875
23.9	23.9	-0.0075	-0.081	1	1	-0.00050625
23.95	23.95	-0.0105	-0.084	1	1	-0.00463125
24	24	-0.0135	-0.087	1	1	-0.00890625
24.05	24.05	-0.0165	-0.0885	1	1	-0.01329375
24.1	24.1	-0.0195	-0.093	1	1	-0.01783125
24.15	24.15	-0.0225	-0.096	1	1	-0.02255625
24.2	24.2	-0.0255	-0.099	1	1	-0.02743125
24.25	24.25	-0.0285	-0.1005	1	1	-0.03241875
24.3	24.3	-0.0315	-0.1005	1	1	-0.03744375
24.35	24.35	-0.0345	-0.099	1	1	-0.04243125
24.4	24.4	-0.036	0.0195	1	1	-0.04441875
24.45	24.45	-0.0335	0.036	1	1	-0.04303125
24.5	24.5	-0.0305	0.042	1	1	-0.04108125
24.55	24.55	-0.0275	0.048	1	1	-0.03883125
24.6	24.6	-0.0245	0.051	1	1	-0.03635625
24.65	24.65	-0.0215	0.0555	1	1	-0.03369375
24.7	24.7	-0.0185	0.0555	1	1	-0.03091875
24.75	24.75	-0.0155	0.06	1	1	-0.02803125
24.8	24.8	-0.0125	0.06	1	1	-0.02503125
24.85	24.85	-0.0095	0.0645	1	1	-0.02191875
24.9	24.9	-0.0065	0.066	1	1	-0.01865625
24.95	24.95	-0.0035	0.069	1	1	-0.01528125
25	25	-0.0005	0.0735	1	1	-0.01171875
25.05	25.05	0.002	0.075	1	1	-0.00800625
25.1	25.1	0.0055	0.0765	1	1	-0.00421875
25.15	25.15	0.0085	0.081	1	1	-0.00028125
25.2	25.2	0.011	0.0825	1	1	0.00380625
25.25	25.25	0.0145	0.0885	1	1	0.00808125
25.3	25.3	0.0175	0.09	1	1	0.01254375
25.35	25.35	0.0205	0.093	1	1	0.01711875
25.4	25.4	0.0235	0.096	1	1	0.02184375
25.45	25.45	0.0265	0.0975	1	1	0.02668125
25.5	25.5	0.0295	0.0975	1	1	0.03155625
25.55	25.55	0.0325	0.096	1	1	0.03639375
25.6	25.6	0.0355	0.0945	1	1	0.04115625
25.65	25.65	0.037	-0.021	1	1	0.04299375
25.7	25.7	0.0345	-0.0405	1	1	0.04145625
25.75	25.75	0.0315	-0.045	1	1	0.03931875
25.8	25.8	0.0285	-0.0495	1	1	0.03695625
25.85	25.85	0.0255	-0.0525	1	1	0.03440625
25.9	25.9	0.0225	-0.0555	1	1	0.03170625
25.95	25.95	0.0195	-0.057	1	1	0.02889375
26	26	0.0165	-0.06	1	1	0.02596875
26.05	26.05	0.0135	-0.063	1	1	0.02289375
26.1	26.1	0.01	-0.066	1	1	0.01966875
26.15	26.15	0.0075	-0.0675	1	1	0.01633125
26.2	26.2	0.0045	-0.0705	1	1	0.01288125
26.25	26.25	0.0015	-0.0735	1	1	0.00928125
26.3	26.3	-0.0015	-0.0765	1	1	0.00553125
26.35	26.35	-0.0045	-0.0795	1	1	0.00163125
26.4	26.4	-0.0075	-0.081	1	1	-0.00238125
26.45	26.45	-0.0105	-0.084	1	1	-0.00650625
26.5	26.5	-0.0135	-0.087	1	1	-0.01078125
26.55	26.55	-0.0165	-0.09	1	1	-0.01520625
26.6	26.6	-0.0195	-0.093	1	1	-0.01978125
26.65	26.65	-0.0225	-0.096	1	1	-0.02450625
26.7	26.7	-0.0255	-0.099	1	1	-0.02938125
26.75	26.75	-0.0285	-0.1005	1	1	-0.03436875
26.8	26.8	-0.0315	-0.1005	1	1	-0.03939375
26.85	26.85	-0.0345	-0.099	1	1	-0.04438125
26.9	26.9	-0.036	0.018	1	1	-0.04640625
26.95	26.95	-0.0335	0.0375	1	1	-0.04501875
