Constantan-Fe,,,Constantan-NiCr,,,Constantan-Cu,
T,mV,,T,mV,,T,mV
14.2,0.00,,14.2,-0.01,,17.5,0.07
15.0,0.02,,15.4,-0.06,,18.3,0.10
16.0,0.07,,16.7,-0.11,,19.3,0.14
18.0,0.17,,17.8,-0.15,,19.6,0.15
19.5,0.25,,19.2,-0.21,,20.7,0.18
20.2,0.28,,21.0,-0.30,,21.3,0.21
21.0,0.31,,23.0,-0.39,,22.1,0.26
21.6,0.35,,25.0,-0.46,,22.9,0.28
22.6,0.40,,25.9,-0.49,,23.2,0.29
23.3,0.42,,27.6,-0.59,,24.0,0.31
24.2,0.48,,29.3,-0.64,,24.5,0.34
25.3,0.52,,30.3,-0.67,,25.0,0.36
25.8,0.56,,31.7,-0.72,,26.3,0.40
26.7,0.59,,33.8,-0.81,,26.9,0.42
27.3,0.62,,35.2,-0.85,,27.6,0.47
28.2,0.67,,37.5,-0.95,,28.9,0.50
29.9,0.75,,38.8,-0.99,,29.3,0.51
30.4,0.77,,40.6,-1.07,,30.4,0.56
31.3,0.82,,41.7,-1.08,,31.4,0.60
31.7,0.85,,43.0,-1.13,,32.6,0.64
32.6,0.88,,44.1,-1.18,,33.9,0.70
33.8,0.94,,45.8,-1.23,,34.5,0.74
34.5,0.98,,47.2,-1.27,,35.2,0.76
35.1,1.00,,48.8,-1.40,,35.8,0.80
35.5,1.01,,49.8,-1.41,,36.6,0.83
36.1,1.06,,51.6,-1.46,,37.6,0.86
37.5,1.12,,52.8,-1.54,,38.5,0.90
38.6,1.17,,54.4,-1.55,,39.9,0.96
39.0,1.20,,55.3,-1.61,,40.7,1.00
40.0,1.23,,56.3,-1.67,,41.2,1.01
41.3,1.31,,57.5,-1.72,,41.6,1.03
42.3,1.37,,58.7,-1.74,,42.7,1.07
43.6,1.43,,60.1,-1.82,,44.3,1.14
44.9,1.48,,61.3,-1.80,,44.9,1.16
45.8,1.54,,62.7,-1.88,,45.4,1.17
47.0,1.60,,64.2,-1.94,,46.5,1.22
48.0,1.65,,65.1,-2.00,,47.3,1.25
49.0,1.70,,66.1,-2.02,,48.2,1.28
50.0,1.74,,67.2,-2.00,,48.8,1.31
50.9,1.79,,68.2,-2.15,,49.3,1.33
51.3,1.82,,69.9,-2.12,,50.5,1.37
52.2,1.86,,70.4,-2.15,,50.9,1.40
53.0,1.90,,71.3,-2.22,,51.3,1.42
53.6,1.93,,71.8,-2.26,,51.9,1.44
54.5,1.97,,72.6,-2.23,,52.3,1.45
55.1,2.00,,73.2,-2.29,,53.1,1.49
55.9,2.04,,74.9,-2.32,,53.7,1.51
57.3,2.11,,75.5,-2.34,,54.6,1.56
57.8,2.13,,76.2,-2.55,,55.5,1.59
58.3,2.16,,77.6,-2.36,,56.5,1.63
58.9,2.19,,78.2,-2.44,,57.4,1.67
60.2,2.25,,79.8,-2.46,,58.4,1.72
61.2,2.31,,80.8,-2.53,,59.5,1.77
62.3,2.36,,81.4,-2.35,,60.9,1.82
64.0,2.45,,82.9,-2.51,,62.0,1.87
64.5,2.46,,83.6,-2.49,,62.7,1.89
65.0,2.50,,84.4,-2.46,,63.5,1.93
66.0,2.55,,85.0,-2.51,,64.2,1.95
68.2,2.66,,85.6,-2.63,,65.0,1.99
69.4,2.72,,86.3,-2.74,,66.1,2.04
70.0,2.76,,,,,67.0,2.08
71.3,2.81,,,,,67.9,2.12
72.4,2.87,,,,,68.6,2.15
73.5,2.90,,,,,69.8,2.22
75.0,3.00,,,,,70.8,2.24
75.6,3.04,,,,,71.5,2.28
76.6,3.08,,,,,72.6,2.32
77.5,3.13,,,,,73.2,2.35
79.3,3.21,,,,,73.6,2.37
80.7,3.28,,,,,74.0,2.39
81.3,3.30,,,,,74.9,2.42
82.2,3.35,,,,,75.6,2.45
,,,,,,77.2,2.51
,,,,,,77.9,2.55
,,,,,,78.9,2.60
,,,,,,79.8,2.64
,,,,,,81.2,2.70
