phi,Ridge,Jet
-1.28,0.00409134,0
-1.2544,0.00426615,0
-1.2288,0.00444931,0
-1.2032,0.00464117,0
-1.1776,0.00484205,0
-1.152,0.00505229,0
-1.1264,0.00527222,0
-1.1008,0.00550219,0
-1.0752,0.0057425,0
-1.0496,0.00599349,1.45408e-319
-1.024,0.00625544,5.95055e-315
-0.9984,0.00652865,1.8722e-310
-0.9728,0.00681337,4.53188e-306
-0.9472,0.00710984,8.43989e-302
-0.9216,0.00741827,1.20928e-297
-0.896,0.0077388,1.33306e-293
-0.8704,0.00807157,1.13059e-289
-0.8448,0.00841664,7.37719e-286
-0.8192,0.008774,3.70347e-282
-0.7936,0.00914359,1.43041e-278
-0.768,0.00952527,4.25051e-275
-0.7424,0.00991879,9.71752e-272
-0.7168,0.0103238,1.70923e-268
-0.6912,0.0107399,2.31302e-265
-0.6656,0.0111665,2.40818e-262
-0.64,0.0116029,1.92899e-259
-0.6144,0.0120483,1.18878e-256
-0.5888,0.0125017,5.63648e-254
-0.5632,0.0129618,2.0561e-251
-0.5376,0.0134275,5.7705e-249
-0.512,0.0138971,1.24599e-246
-0.4864,0.014369,2.06988e-244
-0.4608,0.0148413,2.64551e-242
-0.4352,0.0153118,2.60139e-240
-0.4096,0.0157784,1.96803e-238
-0.384,0.0162385,1.14549e-236
-0.3584,0.0166895,5.12958e-235
-0.3328,0.0171286,1.76728e-233
-0.3072,0.0175528,4.68445e-232
-0.2816,0.0179591,9.55309e-231
-0.256,0.0183444,1.49886e-229
-0.2304,0.0187054,1.8093e-228
-0.2048,0.019039,1.68032e-227
-0.1792,0.0193421,1.20062e-226
-0.1536,0.0196117,6.60007e-226
-0.128,0.0198451,2.79141e-225
-0.1024,0.0200398,9.08305e-225
-0.0768,0.0201936,2.2739e-224
-0.0512,0.0203048,4.37967e-224
-0.0256,0.020372,6.48999e-224
-6.245e-17,0.0203945,7.39909e-224
0.0256,0.020372,6.48999e-224
0.0512,0.0203048,4.37967e-224
0.0768,0.0201936,2.2739e-224
0.1024,0.0200398,9.08305e-225
0.128,0.0198451,2.79141e-225
0.1536,0.0196117,6.60007e-226
0.1792,0.0193421,1.20062e-226
0.2048,0.019039,1.68032e-227
0.2304,0.0187054,1.8093e-228
0.256,0.0183444,1.49886e-229
0.2816,0.0179591,9.55309e-231
0.3072,0.0175528,4.68445e-232
0.3328,0.0171286,1.76728e-233
0.3584,0.0166895,5.12958e-235
0.384,0.0162385,1.14549e-236
0.4096,0.0157784,1.96803e-238
0.4352,0.0153118,2.60139e-240
0.4608,0.0148413,2.64551e-242
0.4864,0.014369,2.06988e-244
0.512,0.0138971,1.24599e-246
0.5376,0.0134275,5.7705e-249
0.5632,0.0129618,2.0561e-251
0.5888,0.0125017,5.63648e-254
0.6144,0.0120483,1.18878e-256
0.64,0.0116029,1.92899e-259
0.6656,0.0111665,2.40818e-262
0.6912,0.0107399,2.31302e-265
0.7168,0.0103238,1.70923e-268
0.7424,0.00991879,9.71752e-272
0.768,0.00952527,4.25051e-275
0.7936,0.00914359,1.43041e-278
0.8192,0.008774,3.70347e-282
0.8448,0.00841664,7.37719e-286
0.8704,0.00807157,1.13059e-289
0.896,0.0077388,1.33306e-293
0.9216,0.00741827,1.20928e-297
0.9472,0.00710984,8.43989e-302
0.9728,0.00681337,4.53188e-306
0.9984,0.00652865,1.8722e-310
1.024,0.00625544,5.95055e-315
1.0496,0.00599349,1.45408e-319
1.0752,0.0057425,0
1.1008,0.00550219,0
1.1264,0.00527222,0
1.152,0.00505229,0
1.1776,0.00484205,0
1.2032,0.00464117,0
1.2288,0.00444931,0
1.2544,0.00426615,0
1.28,0.00409134,0
