#: table_doi: 10.17182/hepdata.105588.v1/t1
#: name: 1/NTRIG DN/DPHI
#: description: Long-range $\Delta\varphi$ projections in minimum bias and high-multiplicity events for various $p_\mathrm{T,trig(assoc)}$ ranges.

#: data_file: Table1.yaml
#: keyword reactions: PROTON PROTON --> CHARGED X
#: keyword observables: Per-trigger Yield
#: keyword cmenergies: 13000.0
#: FORWARD MULTIPLICITY CLASS [PCT],,,0-100
#: $p_\mathrm{T,trig(assoc)}$ [GeV/c],,,1-2
#: stat,,,Statistical Uncertainty
#: sys,,,Systematic Uncertainty
$\Delta\varphi$,$\Delta\varphi$ LOW,$\Delta\varphi$ HIGH,1/$N_{\rm{trig}} \mathrm{d}N^{\mathrm{pair}}/\mathrm{d}\Delta\varphi$,stat +,stat -,sys +,sys -
-1.5707965000000002,-1.668971,-1.472622,0.00255582,0.000678811,-0.000678811,8.38244e-05,-8.38244e-05
-1.374447,-1.472622,-1.276272,0.00342579,0.000482221,-0.000482221,0.000113131,-0.000113131
-1.1780970000000002,-1.276272,-1.079922,0.000195706,0.000478195,-0.000478195,6.51244e-06,-6.51244e-06
-0.9817475,-1.079922,-0.883573,-0.00122225,0.000477573,-0.000477573,4.0765e-05,-4.0765e-05
-0.785398,-0.883573,-0.687223,0.000172759,0.000479377,-0.000479377,5.78409e-06,-5.78409e-06
-0.5890485,-0.687223,-0.490874,0.000675786,0.000479144,-0.000479144,2.25425e-05,-2.25425e-05
-0.392699,-0.490874,-0.294524,0.000219806,0.000478728,-0.000478728,7.31869e-06,-7.31869e-06
-0.1963495,-0.294524,-0.098175,0.00198446,0.000480768,-0.000480768,6.59116e-05,-6.59116e-05
0.0,-0.098175,0.098175,0.00159034,0.000479901,-0.000479901,5.27101e-05,-5.27101e-05
0.1963495,0.098175,0.294524,0.00229764,0.000480581,-0.000480581,7.58153e-05,-7.58153e-05
0.392699,0.294524,0.490874,0.00115511,0.000479319,-0.000479319,3.80534e-05,-3.80534e-05
0.5890485,0.490874,0.687223,0.000854255,0.000479356,-0.000479356,2.8277e-05,-2.8277e-05
0.785398,0.687223,0.883573,0.000355177,0.000479282,-0.000479282,1.1821e-05,-1.1821e-05
0.9817475,0.883573,1.079922,0.0001119,0.000479442,-0.000479442,3.73217e-06,-3.73217e-06
1.1780970000000002,1.079922,1.276272,0.000945097,0.000480094,-0.000480094,3.14586e-05,-3.14586e-05
1.374447,1.276272,1.472622,0.00200071,0.000480392,-0.000480392,6.62224e-05,-6.62224e-05
1.5707965000000002,1.472622,1.668971,0.00512914,0.000484057,-0.000484057,0.000170339,-0.000170339
1.7671459999999999,1.668971,1.865321,0.00918592,0.000487352,-0.000487352,0.000303911,-0.000303911
1.9634955,1.865321,2.06167,0.0132592,0.000490832,-0.000490832,0.000441787,-0.000441787
2.159845,2.06167,2.25802,0.0175918,0.000495686,-0.000495686,0.000585749,-0.000585749
2.3561945,2.25802,2.454369,0.0229227,0.000500668,-0.000500668,0.000765922,-0.000765922
2.552544,2.454369,2.650719,0.0278422,0.000504736,-0.000504736,0.000926995,-0.000926995
2.7488935000000003,2.650719,2.847068,0.0312158,0.000506992,-0.000506992,0.00103607,-0.00103607
2.945243,2.847068,3.043418,0.0341027,0.000510046,-0.000510046,0.00113465,-0.00113465
3.1415925,3.043418,3.239767,0.0366251,0.000513033,-0.000513033,0.00121776,-0.00121776
3.337942,3.239767,3.436117,0.0341756,0.000509585,-0.000509585,0.00113779,-0.00113779
3.5342919999999998,3.436117,3.632467,0.031999,0.000508373,-0.000508373,0.00106375,-0.00106375
3.7306415,3.632467,3.828816,0.0283464,0.000505515,-0.000505515,0.000941603,-0.000941603
3.926991,3.828816,4.025166,0.0225789,0.000499913,-0.000499913,0.00074793,-0.00074793
4.123340499999999,4.025166,4.221515,0.0179213,0.00049549,-0.00049549,0.000596111,-0.000596111
4.31969,4.221515,4.417865,0.0127114,0.000491056,-0.000491056,0.000424032,-0.000424032
4.5160395,4.417865,4.614214,0.00844487,0.000487036,-0.000487036,0.000281771,-0.000281771

#: FORWARD MULTIPLICITY CLASS [PCT],,,0-100
#: $p_\mathrm{T,trig(assoc)}$ [GeV/c],,,2-3
#: stat,,,Statistical Uncertainty
#: sys,,,Systematic Uncertainty
$\Delta\varphi$,$\Delta\varphi$ LOW,$\Delta\varphi$ HIGH,1/$N_{\rm{trig}} \mathrm{d}N^{\mathrm{pair}}/\mathrm{d}\Delta\varphi$,stat +,stat -,sys +,sys -
-1.5707965000000002,-1.668971,-1.472622,0.00108185,0.000812844,-0.000812844,4.62761e-05,-4.62761e-05
-1.374447,-1.472622,-1.276272,0.00146279,0.000575873,-0.000575873,6.11648e-05,-6.11648e-05
-1.1780970000000002,-1.276272,-1.079922,0.000204676,0.000572305,-0.000572305,8.61232e-06,-8.61232e-06
-0.9817475,-1.079922,-0.883573,-0.00102051,0.00056111,-0.00056111,4.24948e-05,-4.24948e-05
-0.785398,-0.883573,-0.687223,-0.000168387,0.000570866,-0.000570866,6.97911e-06,-6.97911e-06
-0.5890485,-0.687223,-0.490874,-0.000105114,0.000570019,-0.000570019,4.26304e-06,-4.26304e-06
-0.392699,-0.490874,-0.294524,0.00111517,0.000573924,-0.000573924,4.52854e-05,-4.52854e-05
-0.1963495,-0.294524,-0.098175,0.00066779,0.000578638,-0.000578638,2.69512e-05,-2.69512e-05
