#: table_doi: 10.17182/hepdata.105588.v1/t4
#: name: LP BIASED 1/NTRIG DN/DPHI
#: description: Long-range $\Delta\varphi$ projections in high-multiplicity events with event-scale selections, requiring minimum $p_\mathrm{T,LP}$

#: data_file: Table3_2.yaml
#: keyword reactions: PROTON PROTON --> CHARGED X
#: keyword observables: Per-trigger Yield
#: keyword cmenergies: 13000.0
#: FORWARD MULTIPLICITY CLASS [PCT],,,0-0.1
#: $p_\mathrm{T,min}^\mathrm{LP}$ [GeV/c],,,7
#: stat,,,Statistical Uncertainty
#: sys,,,Systematic Uncertainty
$\Delta\varphi$,$\Delta\varphi$ LOW,$\Delta\varphi$ HIGH,1/$N_{\rm{trig}} \mathrm{d}N^{\mathrm{pair}}/\mathrm{d}\Delta\varphi$,stat +,stat -,sys +,sys -
-1.5707965000000002,-1.668971,-1.472622,0.00219601,0.00432305,-0.00432305,3.89484e-05,-3.89484e-05
-1.374447,-1.472622,-1.276272,0.00499379,0.00305929,-0.00305929,9.33267e-05,-9.33267e-05
-1.1780970000000002,-1.276272,-1.079922,-0.0023028,0.00304918,-0.00304918,4.31624e-05,-4.31624e-05
-0.9817475,-1.079922,-0.883573,0.00116988,0.00305767,-0.00305767,2.21225e-05,-2.21225e-05
-0.785398,-0.883573,-0.687223,0.0026579,0.0030577,-0.0030577,5.05977e-05,-5.05977e-05
-0.5890485,-0.687223,-0.490874,0.00975131,0.00307001,-0.00307001,0.000186065,-0.000186065
-0.392699,-0.490874,-0.294524,0.0107258,0.00307141,-0.00307141,0.000202584,-0.000202584
-0.1963495,-0.294524,-0.098175,0.0168962,0.00308434,-0.00308434,0.000322835,-0.000322835
0.0,-0.098175,0.098175,0.0177087,0.00308853,-0.00308853,0.000346596,-0.000346596
0.1963495,0.098175,0.294524,0.0169015,0.00308915,-0.00308915,0.000332673,-0.000332673
0.392699,0.294524,0.490874,0.0136856,0.00307611,-0.00307611,0.000264573,-0.000264573
0.5890485,0.490874,0.687223,0.00836355,0.00306889,-0.00306889,0.000161461,-0.000161461
0.785398,0.687223,0.883573,0.00559553,0.00306206,-0.00306206,0.000108042,-0.000108042
0.9817475,0.883573,1.079922,0.00498402,0.00306664,-0.00306664,9.50256e-05,-9.50256e-05
1.1780970000000002,1.079922,1.276272,0.000142233,0.00305266,-0.00305266,2.6883e-06,-2.6883e-06
1.374447,1.276272,1.472622,-0.00151527,0.00305093,-0.00305093,2.83886e-05,-2.83886e-05
1.5707965000000002,1.472622,1.668971,0.00716267,0.00307168,-0.00307168,0.000137832,-0.000137832
1.7671459999999999,1.668971,1.865321,0.0135344,0.00307742,-0.00307742,0.000265192,-0.000265192
1.9634955,1.865321,2.06167,0.0223684,0.00309228,-0.00309228,0.00044167,-0.00044167
2.159845,2.06167,2.25802,0.0313372,0.00311277,-0.00311277,0.000611638,-0.000611638
2.3561945,2.25802,2.454369,0.0496646,0.00315133,-0.00315133,0.000963493,-0.000963493
2.552544,2.454369,2.650719,0.049913,0.00313886,-0.00313886,0.000980807,-0.000980807
2.7488935000000003,2.650719,2.847068,0.0578878,0.00316188,-0.00316188,0.001151,-0.001151
2.945243,2.847068,3.043418,0.0704672,0.00317744,-0.00317744,0.00144587,-0.00144587
3.1415925,3.043418,3.239767,0.0701534,0.0031742,-0.0031742,0.00141604,-0.00141604
