pt, RidgeDis
0.150000, 0.002495
0.160000, 0.002702
0.170000, 0.002915
0.180000, 0.003133
0.190000, 0.003357
0.200000, 0.003586
0.210000, 0.003820
0.220000, 0.004060
0.230000, 0.004305
0.240000, 0.004555
0.250000, 0.004811
0.260000, 0.005072
0.270000, 0.005338
0.280000, 0.005610
0.290000, 0.005887
0.300000, 0.006168
0.310000, 0.006455
0.320000, 0.006747
0.330000, 0.007044
0.340000, 0.007346
0.350000, 0.007653
0.360000, 0.007964
0.370000, 0.008280
0.380000, 0.008601
0.390000, 0.008927
0.400000, 0.009257
0.410000, 0.009591
0.420000, 0.009930
0.430000, 0.010273
0.440000, 0.010621
0.450000, 0.010972
0.460000, 0.011328
0.470000, 0.011687
0.480000, 0.012050
0.490000, 0.012418
0.500000, 0.012788
0.510000, 0.013163
0.520000, 0.013541
0.530000, 0.013923
0.540000, 0.014308
0.550000, 0.014696
0.560000, 0.015087
0.570000, 0.015481
0.580000, 0.015879
0.590000, 0.016279
0.600000, 0.016682
0.610000, 0.017088
0.620000, 0.017496
0.630000, 0.017907
0.640000, 0.018320
0.650000, 0.018735
0.660000, 0.019153
0.670000, 0.019572
0.680000, 0.019993
0.690000, 0.020416
0.700000, 0.020840
0.710000, 0.021266
0.720000, 0.021692
0.730000, 0.022120
0.740000, 0.022549
0.750000, 0.022978
0.760000, 0.023408
0.770000, 0.023838
0.780000, 0.024268
0.790000, 0.024698
0.800000, 0.025127
0.810000, 0.025556
0.820000, 0.025983
0.830000, 0.026409
0.840000, 0.026833
0.850000, 0.027255
0.860000, 0.027675
0.870000, 0.028091
0.880000, 0.028504
0.890000, 0.028913
0.900000, 0.029317
0.910000, 0.029716
0.920000, 0.030109
0.930000, 0.030495
0.940000, 0.030873
0.950000, 0.031243
0.960000, 0.031603
0.970000, 0.031953
0.980000, 0.032290
0.990000, 0.032615
1.000000, 0.032924
1.010000, 0.033217
1.020000, 0.033491
1.030000, 0.033746
1.040000, 0.033979
1.050000, 0.034188
1.060000, 0.034372
1.070000, 0.034528
1.080000, 0.034656
1.090000, 0.034754
1.100000, 0.034821
1.110000, 0.034857
1.120000, 0.034862
1.130000, 0.034836
1.140000, 0.034780
1.150000, 0.034696
1.160000, 0.034586
1.170000, 0.034451
1.180000, 0.034293
1.190000, 0.034114
1.200000, 0.033917
1.210000, 0.033703
1.220000, 0.033475
1.230000, 0.033234
1.240000, 0.032982
1.250000, 0.032720
1.260000, 0.032450
1.270000, 0.032173
1.280000, 0.031890
1.290000, 0.031601
1.300000, 0.031309
1.310000, 0.031012
1.320000, 0.030713
1.330000, 0.030412
1.340000, 0.030110
1.350000, 0.029806
1.360000, 0.029501
1.370000, 0.029196
1.380000, 0.028891
1.390000, 0.028586
1.400000, 0.028282
1.410000, 0.027978
1.420000, 0.027676
1.430000, 0.027374
1.440000, 0.027074
1.450000, 0.026776
1.460000, 0.026479
1.470000, 0.026183
1.480000, 0.025890
1.490000, 0.025598
1.500000, 0.025309
1.510000, 0.025021
1.520000, 0.024736
1.530000, 0.024452
1.540000, 0.024172
1.550000, 0.023893
1.560000, 0.023617
1.570000, 0.023343
1.580000, 0.023071
1.590000, 0.022802
1.600000, 0.022535
1.610000, 0.022271
1.620000, 0.022009
1.630000, 0.021750
1.640000, 0.021493
1.650000, 0.021238
1.660000, 0.020986
1.670000, 0.020737
1.680000, 0.020490
1.690000, 0.020246
1.700000, 0.020004
1.710000, 0.019764
1.720000, 0.019527
1.730000, 0.019293
1.740000, 0.019061
1.750000, 0.018831
1.760000, 0.018604
1.770000, 0.018380
1.780000, 0.018157
1.790000, 0.017937
1.800000, 0.017720
1.810000, 0.017505
1.820000, 0.017292
1.830000, 0.017082
1.840000, 0.016874
1.850000, 0.016668
1.860000, 0.016465
1.870000, 0.016264
1.880000, 0.016065
1.890000, 0.015868
1.900000, 0.015674
1.910000, 0.015482
1.920000, 0.015292
1.930000, 0.015104
1.940000, 0.014918
1.950000, 0.014735
1.960000, 0.014554
1.970000, 0.014374
1.980000, 0.014197
1.990000, 0.014022
2.000000, 0.013849
2.010000, 0.013678
2.020000, 0.013509
2.030000, 0.013342
2.040000, 0.013178
2.050000, 0.013014
2.060000, 0.012853
2.070000, 0.012694
2.080000, 0.012537
2.090000, 0.012382
2.100000, 0.012228
2.110000, 0.012076
2.120000, 0.011927
2.130000, 0.011779
2.140000, 0.011632
2.150000, 0.011488
2.160000, 0.011345
2.170000, 0.011204
2.180000, 0.011065
2.190000, 0.010927
2.200000, 0.010791
2.210000, 0.010657
2.220000, 0.010524
2.230000, 0.010393
2.240000, 0.010264
2.250000, 0.010136
2.260000, 0.010010
2.270000, 0.009885
2.280000, 0.009762
2.290000, 0.009641
2.300000, 0.009521
2.310000, 0.009402
2.320000, 0.009285
2.330000, 0.009169
2.340000, 0.009055
2.350000, 0.008942
2.360000, 0.008830
2.370000, 0.008720
2.380000, 0.008612
2.390000, 0.008504
2.400000, 0.008398
2.410000, 0.008294
2.420000, 0.008190
2.430000, 0.008088
2.440000, 0.007987
2.450000, 0.007888
2.460000, 0.007790
2.470000, 0.007693
2.480000, 0.007597
2.490000, 0.007502
2.500000, 0.007409
2.510000, 0.007316
2.520000, 0.007225
2.530000, 0.007135
2.540000, 0.007046
2.550000, 0.006959
2.560000, 0.006872
2.570000, 0.006786
2.580000, 0.006702
2.590000, 0.006619
2.600000, 0.006536
2.610000, 0.006455
2.620000, 0.006375
2.630000, 0.006295
2.640000, 0.006217
2.650000, 0.006140
2.660000, 0.006064
2.670000, 0.005988
2.680000, 0.005914
2.690000, 0.005841
2.700000, 0.005768
2.710000, 0.005696
2.720000, 0.005626
2.730000, 0.005556
2.740000, 0.005487
2.750000, 0.005419
2.760000, 0.005352
2.770000, 0.005286
2.780000, 0.005220
2.790000, 0.005155
2.800000, 0.005092
2.810000, 0.005029
2.820000, 0.004966
2.830000, 0.004905
2.840000, 0.004844
2.850000, 0.004784
2.860000, 0.004725
2.870000, 0.004667
2.880000, 0.004609
2.890000, 0.004552
2.900000, 0.004496
2.910000, 0.004441
2.920000, 0.004386
2.930000, 0.004332
2.940000, 0.004279
2.950000, 0.004226
