pt,Ridge,Jet
0.15,0.00562867,1.16936e-222
0.186167,0.00720287,1.07945e-222
0.222333,0.00874989,9.90495e-223
0.2585,0.010256,9.05056e-223
0.294667,0.0117215,8.24479e-223
0.330833,0.0131513,7.49384e-223
0.367,0.0145496,6.79959e-223
0.403167,0.0159162,6.16136e-223
0.439333,0.0172452,5.57703e-223
0.4755,0.0185236,5.04367e-223
0.511667,0.0197308,4.55796e-223
0.547833,0.0208379,4.11646e-223
0.584,0.0218078,3.71572e-223
0.620167,0.0225996,3.35242e-223
0.656333,0.0231788,3.02337e-223
0.6925,0.0235301,2.7256e-223
0.728667,0.0236643,2.45631e-223
0.764833,0.0236096,2.21294e-223
0.801,0.0234002,1.9931e-223
0.837167,0.0230679,1.79462e-223
0.873333,0.0226396,1.6155e-223
0.9095,0.0221375,1.45391e-223
0.945667,0.0215794,1.30818e-223
0.981833,0.02098,1.1768e-223
1.018,0.0203512,1.0584e-223
1.05417,0.0197026,9.51717e-224
1.09033,0.0190424,8.55621e-224
1.1265,0.0183771,7.69083e-224
1.16267,0.0177122,6.91171e-224
1.19883,0.017052,6.2104e-224
1.235,0.0164002,5.57927e-224
1.27117,0.0157597,5.01142e-224
1.30733,0.0151328,4.50061e-224
1.3435,0.0145213,4.04119e-224
1.37967,0.0139266,3.62807e-224
1.41583,0.0133496,3.25666e-224
1.452,0.0127911,2.92281e-224
1.48817,0.0122516,2.62277e-224
1.52433,0.0117312,2.35316e-224
1.5605,0.0112301,2.11094e-224
1.59667,0.0107481,1.89337e-224
1.63283,0.010285,1.69796e-224
1.669,0.00984045,1.52249e-224
1.70517,0.00941415,1.36495e-224
1.74133,0.00900563,1.22353e-224
1.7775,0.00861438,1.0966e-224
1.81367,0.00823988,9.82693e-225
1.84983,0.00788158,8.8049e-225
1.886,0.00753892,7.88802e-225
1.92217,0.00721132,7.06559e-225
1.95833,0.00689822,6.328e-225
1.9945,0.00659904,5.66659e-225
2.03067,0.00631321,5.07359e-225
2.06683,0.00604018,4.542e-225
2.103,0.00577942,4.06553e-225
2.13917,0.00553038,3.63852e-225
2.17533,0.00529256,3.25591e-225
2.2115,0.00506546,2.91311e-225
2.24767,0.00484859,2.60605e-225
2.28383,0.0046415,2.33102e-225
2.32,0.00444374,2.08472e-225
2.35617,0.00425489,1.86419e-225
2.39233,0.00407453,1.66676e-225
2.4285,0.00390226,1.49002e-225
2.46467,0.00373772,1.33185e-225
2.50083,0.00358054,1.1903e-225
2.537,0.00343039,1.06364e-225
2.57317,0.00328692,9.50332e-226
2.60933,0.00314984,8.48976e-226
2.6455,0.00301884,7.58325e-226
2.68167,0.00289364,6.77261e-226
2.71783,0.00277396,6.04779e-226
2.754,0.00265955,5.3998e-226
2.79017,0.00255017,4.82057e-226
2.82633,0.00244558,4.30289e-226
2.8625,0.00234555,3.84027e-226
2.89867,0.00224987,3.42692e-226
2.93483,0.00215835,3.05765e-226
2.971,0.0020708,2.72779e-226
3.00717,0.00198702,2.43319e-226
3.04333,0.00190684,2.1701e-226
3.0795,0.00183011,1.9352e-226
3.11567,0.00175665,1.72549e-226
3.15183,0.00168633,1.53829e-226
3.188,0.001619,1.37122e-226
3.22417,0.00155453,1.22213e-226
3.26033,0.00149278,1.08909e-226
3.2965,0.00143363,9.70412e-227
3.33267,0.00137697,8.64545e-227
3.36883,0.00132268,7.70123e-227
3.405,0.00127065,6.8592e-227
3.44117,0.0012208,6.10841e-227
3.47733,0.00117302,5.43906e-227
3.5135,0.00112721,4.8424e-227
3.54967,0.0010833,4.31061e-227
3.58583,0.00104119,3.8367e-227
3.622,0.00100081,3.41442e-227
3.65817,0.000962089,3.03822e-227
3.69433,0.000924947,2.70309e-227
3.7305,0.000889318,2.40461e-227
3.76667,0.000855135,2.1388e-227
3.80283,0.000822337,1.90211e-227
3.839,0.000790864,1.69139e-227
3.87517,0.000760659,1.50381e-227
3.91133,0.000731668,1.33685e-227
3.9475,0.000703839,1.18826e-227
3.98367,0.000677123,1.05605e-227
4.01983,0.000651472,9.38425e-228
4.056,0.000626842,8.33786e-228
4.09217,0.000603189,7.40715e-228
4.12833,0.000580473,6.57945e-228
4.1645,0.000558654,5.84344e-228
4.20067,0.000537694,5.18907e-228
4.23683,0.000517559,4.60735e-228
4.273,0.000498213,4.0903e-228
4.30917,0.000479624,3.63078e-228
4.34533,0.00046176,3.22245e-228
4.3815,0.000444592,2.85966e-228
4.41767,0.000428092,2.53737e-228
4.45383,0.000412231,2.2511e-228
4.49,0.000396984,1.99686e-228
4.52617,0.000382326,1.77109e-228
4.56233,0.000368233,1.57064e-228
4.5985,0.000354681,1.39268e-228
4.63467,0.000341649,1.23473e-228
4.67083,0.000329117,1.09454e-228
4.707,0.000317063,9.70134e-229
4.74317,0.000305469,8.59754e-229
4.77933,0.000294316,7.61831e-229
4.8155,0.000283587,6.7497e-229
4.85167,0.000273265,5.97932e-229
4.88783,0.000263333,5.29616e-229
4.924,0.000253776,4.69042e-229
4.96017,0.00024458,4.1534e-229
4.99633,0.00023573,3.67737e-229
5.0325,0.000227212,3.25546e-229
5.06867,0.000219013,2.88157e-229
5.10483,0.000211122,2.55028e-229
5.141,0.000203525,2.25677e-229
5.17717,0.000196211,1.99678e-229
5.21333,0.00018917,1.7665e-229
5.2495,0.000182391,1.56256e-229
5.28567,0.000175863,1.38199e-229
5.32183,0.000169577,1.22211e-229
5.358,0.000163523,1.08059e-229
5.39417,0.000157693,9.55329e-230
5.43033,0.000152078,8.44473e-230
5.4665,0.00014667,7.46381e-230
5.50267,0.00014146,6.59594e-230
5.53883,0.000136442,5.8282e-230
5.575,0.000131607,5.14913e-230
5.61117,0.000126949,4.54857e-230
5.64733,0.000122462,4.01752e-230
5.6835,0.000118138,3.54799e-230
5.71967,0.000113972,3.13291e-230
5.75583,0.000109957,2.76603e-230
5.792,0.000106088,2.44178e-230
5.82817,0.000102359,2.15525e-230
5.86433,9.8765e-05,1.90208e-230
5.9005,9.53013e-05,1.67843e-230
5.93667,9.19626e-05,1.48088e-230
5.97283,8.87443e-05,1.30641e-230
6.009,8.56419e-05,1.15233e-230
6.04517,8.26512e-05,1.01629e-230
6.08133,7.97678e-05,8.96193e-231
6.1175,7.69879e-05,7.9018e-231
6.15367,7.43076e-05,6.96614e-231
6.18983,7.17233e-05,6.14045e-231
6.226,6.92313e-05,5.4119e-231
6.26217,6.68282e-05,4.76915e-231
6.29833,6.45108e-05,4.20218e-231
6.3345,6.2276e-05,3.70211e-231
6.37067,6.01206e-05,3.26111e-231
6.40683,5.80418e-05,2.87226e-231
6.443,5.60367e-05,2.52944e-231
6.47917,5.41027e-05,2.22723e-231
6.51533,5.22372e-05,1.96087e-231
6.5515,5.04376e-05,1.72613e-231
6.58767,4.87016e-05,1.51929e-231
6.62383,4.70269e-05,1.33705e-231
6.66,4.54111e-05,1.17652e-231
6.69617,4.38523e-05,1.03512e-231
6.73233,4.23482e-05,9.10593e-232
6.7685,4.0897e-05,8.0094e-232
6.80467,3.94967e-05,7.04396e-232
6.84083,3.81455e-05,6.19406e-232
6.877,3.68416e-05,5.44598e-232
6.91317,3.55834e-05,4.78761e-232
6.94933,3.4369e-05,4.20826e-232
6.9855,3.31971e-05,3.69852e-232
7.02167,3.20661e-05,3.25009e-232
7.05783,3.09744e-05,2.85565e-232
7.094,2.99208e-05,2.50874e-232
7.13017,2.89037e-05,2.20368e-232
7.16633,2.7922e-05,1.93546e-232
7.2025,2.69744e-05,1.69965e-232
7.23867,2.60597e-05,1.49237e-232
7.27483,2.51766e-05,1.3102e-232
7.311,2.43241e-05,1.15011e-232
7.34717,2.3501e-05,1.00944e-232
7.38333,2.27064e-05,8.85863e-233
7.4195,2.19392e-05,7.77308e-233
7.45567,2.11985e-05,6.81965e-233
7.49183,2.04833e-05,5.98235e-233
7.528,1.97927e-05,5.24716e-233
7.56417,1.91259e-05,4.60169e-233
7.60033,1.84819e-05,4.03509e-233
7.6365,1.78601e-05,3.53778e-233
7.67267,1.72596e-05,3.10134e-233
7.70883,1.66797e-05,2.71838e-233
7.745,1.61197e-05,2.38239e-233
7.78117,1.55788e-05,2.08765e-233
7.81733,1.50564e-05,1.82912e-233
7.8535,1.45519e-05,1.6024e-233
7.88967,1.40646e-05,1.40359e-233
7.92583,1.35939e-05,1.22928e-233
7.962,1.31392e-05,1.07648e-233
7.99817,1.27e-05,9.4254e-234
8.03433,1.22758e-05,8.25157e-234
8.0705,1.1866e-05,7.22296e-234
8.10667,1.14702e-05,6.32172e-234
8.14283,1.10877e-05,5.53219e-234
8.179,1.07183e-05,4.84062e-234
8.21517,1.03613e-05,4.23493e-234
8.25133,1.00165e-05,3.70454e-234
8.2875,9.68333e-06,3.24013e-234
8.32367,9.36144e-06,2.83357e-234
8.35983,9.05043e-06,2.47769e-234
8.396,8.74992e-06,2.16621e-234
8.43217,8.45956e-06,1.89364e-234
8.46833,8.17899e-06,1.65514e-234
8.5045,7.90788e-06,1.44649e-234
8.54067,7.64591e-06,1.26397e-234
8.57683,7.39275e-06,1.10433e-234
8.613,7.14811e-06,9.64727e-235
8.64917,6.9117e-06,8.42658e-235
8.68533,6.68323e-06,7.35936e-235
8.7215,6.46243e-06,6.42644e-235
8.75767,6.24903e-06,5.61103e-235
8.79383,6.0428e-06,4.89843e-235
8.83,5.84347e-06,4.27575e-235
8.86617,5.65082e-06,3.73173e-235
8.90233,5.46462e-06,3.25649e-235
8.9385,5.28465e-06,2.84139e-235
8.97467,5.11069e-06,2.47887e-235
9.01083,4.94255e-06,2.16231e-235
9.047,4.78001e-06,1.88593e-235
9.08317,4.6229e-06,1.64465e-235
9.11933,4.47103e-06,1.43405e-235
9.1555,4.32422e-06,1.25024e-235
9.19167,4.18231e-06,1.08985e-235
9.22783,4.04511e-06,9.49914e-236
9.264,3.91248e-06,8.2783e-236
9.30017,3.78426e-06,7.21341e-236
9.33633,3.6603e-06,6.28465e-236
9.3725,3.54046e-06,5.47474e-236
9.40867,3.42459e-06,4.76857e-236
9.44483,3.31257e-06,4.15293e-236
9.481,3.20426e-06,3.61628e-236
9.51717,3.09954e-06,3.14856e-236
9.55333,2.99829e-06,2.74097e-236
9.5895,2.90039e-06,2.38582e-236
9.62567,2.80573e-06,2.07641e-236
9.66183,2.7142e-06,1.80688e-236
9.698,2.6257e-06,1.57213e-236
9.73417,2.54012e-06,1.36769e-236
9.77033,2.45736e-06,1.18968e-236
9.8065,2.37733e-06,1.0347e-236
9.84267,2.29995e-06,8.9979e-237
9.87883,2.22511e-06,7.82365e-237
9.915,2.15274e-06,6.80172e-237
9.95117,2.08275e-06,5.91249e-237
9.98733,2.01507e-06,5.13882e-237
10.0235,1.94961e-06,4.46579e-237
