pt,Ridge,Jet
0.15,0.00825401,0
0.186167,0.00934941,0
0.222333,0.0104143,0
0.2585,0.0114781,0
0.294667,0.0125551,0
0.330833,0.0136497,0
0.367,0.0147602,0
0.403167,0.0158794,0
0.439333,0.0169947,0
0.4755,0.0180882,0
0.511667,0.0191359,0
0.547833,0.0201065,0
0.584,0.0209624,0
0.620167,0.0216625,0
0.656333,0.0221724,0
0.6925,0.022476,0
0.728667,0.0225817,0
0.764833,0.0225149,0
0.801,0.0223062,0
0.837167,0.0219847,0
0.873333,0.0215747,0
0.9095,0.0210966,0
0.945667,0.0205667,0
0.981833,0.0199984,0
1.018,0.0194025,0
1.05417,0.0187881,0
1.09033,0.0181626,0
1.1265,0.0175321,0
1.16267,0.0169017,0
1.19883,0.0162756,0
1.235,0.0156572,0
1.27117,0.0150491,0
1.30733,0.0144536,0
1.3435,0.0138725,0
1.37967,0.013307,0
1.41583,0.0127581,0
1.452,0.0122265,0
1.48817,0.0117127,0
1.52433,0.011217,0
1.5605,0.0107393,0
1.59667,0.0102796,0
1.63283,0.00983785,0
1.669,0.00941363,0
1.70517,0.00900665,0
1.74133,0.0086165,0
1.7775,0.00824272,0
1.81367,0.00788483,0
1.84983,0.00754233,0
1.886,0.00721468,0
1.92217,0.00690135,0
1.95833,0.00660181,0
1.9945,0.00631553,0
2.03067,0.00604196,0
2.06683,0.0057806,0
2.103,0.00553093,0
2.13917,0.00529245,0
2.17533,0.00506467,0
2.2115,0.00484713,0
2.24767,0.00463937,0
2.28383,0.00444095,0
2.32,0.00425145,0
2.35617,0.00407047,0
2.39233,0.00389761,0
2.4285,0.0037325,0
2.46467,0.00357478,0
2.50083,0.00342412,0
2.537,0.00328018,0
2.57317,0.00314265,0
2.60933,0.00301123,0
2.6455,0.00288564,0
2.68167,0.00276561,0
2.71783,0.00265088,0
2.754,0.0025412,0
2.79017,0.00243634,0
2.82633,0.00233607,0
2.8625,0.00224019,0
2.89867,0.00214848,0
2.93483,0.00206076,0
2.971,0.00197684,0
3.00717,0.00189654,0
3.04333,0.00181971,0
3.0795,0.00174618,0
3.11567,0.0016758,0
3.15183,0.00160842,0
3.188,0.00154392,0
3.22417,0.00148215,0
3.26033,0.00142301,0
3.2965,0.00136636,0
3.33267,0.00131209,0
3.36883,0.00126011,0
3.405,0.0012103,0
3.44117,0.00116258,0
3.47733,0.00111684,0
3.5135,0.001073,0
3.54967,0.00103098,0
3.58583,0.000990695,0
3.622,0.000952068,0
3.65817,0.000915029,0
3.69433,0.000879508,0
3.7305,0.000845439,0
3.76667,0.000812758,0
3.80283,0.000781407,0
3.839,0.000751326,0
3.87517,0.000722463,0
3.91133,0.000694765,0
3.9475,0.000668181,0
3.98367,0.000642665,0
4.01983,0.000618171,0
4.056,0.000594656,0
4.09217,0.000572078,0
4.12833,0.000550398,0
4.1645,0.000529578,0
4.20067,0.000509583,0
4.23683,0.000490377,0
4.273,0.000471928,0
4.30917,0.000454204,0
4.34533,0.000437176,0
4.3815,0.000420815,0
4.41767,0.000405092,0
4.45383,0.000389983,0
4.49,0.000375461,0
4.52617,0.000361503,0
4.56233,0.000348085,0
4.5985,0.000335186,0
4.63467,0.000322785,0
4.67083,0.000310862,0
4.707,0.000299396,0
4.74317,0.000288371,0
4.77933,0.000277767,0
4.8155,0.000267569,0
4.85167,0.000257759,0
4.88783,0.000248323,0
4.924,0.000239246,0
4.96017,0.000230512,0
4.99633,0.00022211,0
5.0325,0.000214025,0
5.06867,0.000206245,0
5.10483,0.000198758,0
5.141,0.000191552,0
5.17717,0.000184617,0
5.21333,0.000177942,0
5.2495,0.000171516,0
5.28567,0.000165331,0
5.32183,0.000159376,0
5.358,0.000153643,0
5.39417,0.000148123,0
5.43033,0.000142807,0
5.4665,0.000137689,0
5.50267,0.00013276,0
5.53883,0.000128014,0
5.575,0.000123442,0
5.61117,0.000119039,0
5.64733,0.000114797,0
5.6835,0.000110712,0
5.71967,0.000106776,0
5.75583,0.000102984,0
5.792,9.93314e-05,0
5.82817,9.58119e-05,0
5.86433,9.24208e-05,0
5.9005,8.91532e-05,0
5.93667,8.60044e-05,0
5.97283,8.297e-05,0
6.009,8.00458e-05,0
6.04517,7.72274e-05,0
6.08133,7.45111e-05,0
6.1175,7.18929e-05,0
6.15367,6.93692e-05,0
6.18983,6.69365e-05,0
6.226,6.45915e-05,0
6.26217,6.23307e-05,0
6.29833,6.01512e-05,0
6.3345,5.80498e-05,0
6.37067,5.60238e-05,0
6.40683,5.40702e-05,0
6.443,5.21866e-05,0
6.47917,5.03702e-05,0
6.51533,4.86185e-05,0
6.5515,4.69294e-05,0
6.58767,4.53003e-05,0
6.62383,4.37291e-05,0
6.66,4.22138e-05,0
6.69617,4.07522e-05,0
6.73233,3.93424e-05,0
6.7685,3.79826e-05,0
6.80467,3.66708e-05,0
6.84083,3.54054e-05,0
6.877,3.41846e-05,0
6.91317,3.30069e-05,0
6.94933,3.18706e-05,0
6.9855,3.07744e-05,0
7.02167,2.97167e-05,0
7.05783,2.86961e-05,0
7.094,2.77114e-05,0
7.13017,2.67611e-05,0
7.16633,2.58442e-05,0
7.2025,2.49593e-05,0
7.23867,2.41054e-05,0
7.27483,2.32812e-05,0
7.311,2.24859e-05,0
7.34717,2.17182e-05,0
7.38333,2.09774e-05,0
7.4195,2.02622e-05,0
7.45567,1.9572e-05,0
7.49183,1.89057e-05,0
7.528,1.82626e-05,0
7.56417,1.76418e-05,0
7.60033,1.70424e-05,0
7.6365,1.64639e-05,0
7.67267,1.59053e-05,0
7.70883,1.53661e-05,0
7.745,1.48454e-05,0
7.78117,1.43428e-05,0
7.81733,1.38575e-05,0
7.8535,1.33889e-05,0
7.88967,1.29364e-05,0
7.92583,1.24995e-05,0
7.962,1.20776e-05,0
7.99817,1.16702e-05,0
8.03433,1.12768e-05,0
8.0705,1.08969e-05,0
8.10667,1.053e-05,0
8.14283,1.01757e-05,0
8.179,9.83351e-06,0
8.21517,9.50301e-06,0
8.25133,9.18381e-06,0
8.2875,8.87551e-06,0
8.32367,8.57773e-06,0
8.35983,8.2901e-06,0
8.396,8.01228e-06,0
8.43217,7.74392e-06,0
8.46833,7.48469e-06,0
8.5045,7.23428e-06,0
8.54067,6.99238e-06,0
8.57683,6.75869e-06,0
8.613,6.53294e-06,0
8.64917,6.31484e-06,0
