pt,Ridge,Jet
0.15,0.00808179,1.16936e-222
0.186167,0.0104892,1.07945e-222
0.222333,0.0129235,9.90495e-223
0.2585,0.0153548,9.05056e-223
0.294667,0.0177745,8.24479e-223
0.330833,0.0201842,7.49384e-223
0.367,0.022588,6.79959e-223
0.403167,0.0249866,6.16136e-223
0.439333,0.0273744,5.57703e-223
0.4755,0.0297371,5.04367e-223
0.511667,0.0320501,4.55796e-223
0.547833,0.0342768,4.11646e-223
0.584,0.0363667,3.71572e-223
0.620167,0.0382547,3.35242e-223
0.656333,0.0398649,3.02337e-223
0.6925,0.0411238,2.7256e-223
0.728667,0.0419837,2.45631e-223
0.764833,0.0424418,2.21294e-223
0.801,0.0425351,1.9931e-223
0.837167,0.0423202,1.79462e-223
0.873333,0.0418552,1.6155e-223
0.9095,0.0411914,1.45391e-223
0.945667,0.0403719,1.30818e-223
0.981833,0.0394324,1.1768e-223
1.018,0.0384022,1.0584e-223
1.05417,0.0373053,9.51717e-224
1.09033,0.0361617,8.55621e-224
1.1265,0.0349881,7.69083e-224
1.16267,0.0337981,6.91171e-224
1.19883,0.0326031,6.2104e-224
1.235,0.0314122,5.57927e-224
1.27117,0.0302332,5.01142e-224
1.30733,0.0290722,4.50061e-224
1.3435,0.0279339,4.04119e-224
1.37967,0.0268223,3.62807e-224
1.41583,0.0257403,3.25666e-224
1.452,0.0246899,2.92281e-224
1.48817,0.0236728,2.62277e-224
1.52433,0.0226899,2.35316e-224
1.5605,0.0217417,2.11094e-224
1.59667,0.0208285,1.89337e-224
1.63283,0.0199501,1.69796e-224
1.669,0.0191062,1.52249e-224
1.70517,0.0182962,1.36495e-224
1.74133,0.0175193,1.22353e-224
1.7775,0.0167748,1.0966e-224
1.81367,0.0160618,9.82693e-225
1.84983,0.0153792,8.8049e-225
1.886,0.014726,7.88802e-225
1.92217,0.0141013,7.06559e-225
1.95833,0.0135039,6.328e-225
1.9945,0.0129328,5.66659e-225
2.03067,0.0123868,5.07359e-225
2.06683,0.0118651,4.542e-225
2.103,0.0113665,4.06553e-225
2.13917,0.0108901,3.63852e-225
2.17533,0.0104349,3.25591e-225
2.2115,0.00999987,2.91311e-225
2.24767,0.00958422,2.60605e-225
2.28383,0.00918705,2.33102e-225
2.32,0.0088075,2.08472e-225
2.35617,0.00844477,1.86419e-225
2.39233,0.00809808,1.66676e-225
2.4285,0.0077667,1.49002e-225
2.46467,0.00744992,1.33185e-225
2.50083,0.00714705,1.1903e-225
2.537,0.00685745,1.06364e-225
2.57317,0.0065805,9.50332e-226
2.60933,0.00631562,8.48976e-226
2.6455,0.00606224,7.58325e-226
2.68167,0.00581983,6.77261e-226
2.71783,0.00558788,6.04779e-226
2.754,0.0053659,5.3998e-226
2.79017,0.00515344,4.82057e-226
2.82633,0.00495005,4.30289e-226
2.8625,0.00475531,3.84027e-226
2.89867,0.00456884,3.42692e-226
2.93483,0.00439025,3.05765e-226
2.971,0.00421918,2.72779e-226
3.00717,0.00405529,2.43319e-226
3.04333,0.00389825,2.1701e-226
3.0795,0.00374776,1.9352e-226
3.11567,0.00360352,1.72549e-226
3.15183,0.00346524,1.53829e-226
3.188,0.00333266,1.37122e-226
3.22417,0.00320553,1.22213e-226
3.26033,0.00308361,1.08909e-226
3.2965,0.00296666,9.70412e-227
3.33267,0.00285446,8.64545e-227
3.36883,0.00274681,7.70123e-227
3.405,0.00264351,6.8592e-227
3.44117,0.00254436,6.10841e-227
3.47733,0.00244919,5.43906e-227
3.5135,0.00235783,4.8424e-227
3.54967,0.0022701,4.31061e-227
3.58583,0.00218586,3.8367e-227
3.622,0.00210495,3.41442e-227
3.65817,0.00202724,3.03822e-227
3.69433,0.00195258,2.70309e-227
3.7305,0.00188085,2.40461e-227
3.76667,0.00181193,2.1388e-227
3.80283,0.00174569,1.90211e-227
3.839,0.00168202,1.69139e-227
3.87517,0.00162082,1.50381e-227
3.91133,0.00156198,1.33685e-227
3.9475,0.00150541,1.18826e-227
3.98367,0.00145101,1.05605e-227
4.01983,0.0013987,9.38425e-228
4.056,0.00134838,8.33786e-228
4.09217,0.00129998,7.40715e-228
4.12833,0.00125341,6.57945e-228
4.1645,0.00120861,5.84344e-228
4.20067,0.0011655,5.18907e-228
4.23683,0.00112401,4.60735e-228
4.273,0.00108408,4.0903e-228
4.30917,0.00104565,3.63078e-228
4.34533,0.00100865,3.22245e-228
4.3815,0.000973037,2.85966e-228
4.41767,0.000938744,2.53737e-228
4.45383,0.000905723,2.2511e-228
4.49,0.000873924,1.99686e-228
4.52617,0.000843298,1.77109e-228
4.56233,0.0008138,1.57064e-228
4.5985,0.000785385,1.39268e-228
4.63467,0.000758012,1.23473e-228
4.67083,0.00073164,1.09454e-228
4.707,0.00070623,9.70134e-229
4.74317,0.000681745,8.59754e-229
4.77933,0.000658149,7.61831e-229
4.8155,0.000635408,6.7497e-229
4.85167,0.00061349,5.97932e-229
4.88783,0.000592363,5.29616e-229
4.924,0.000571996,4.69042e-229
4.96017,0.000552361,4.1534e-229
4.99633,0.000533431,3.67737e-229
5.0325,0.000515178,3.25546e-229
5.06867,0.000497576,2.88157e-229
5.10483,0.000480603,2.55028e-229
5.141,0.000464233,2.25677e-229
5.17717,0.000448444,1.99678e-229
5.21333,0.000433215,1.7665e-229
5.2495,0.000418525,1.56256e-229
5.28567,0.000404353,1.38199e-229
5.32183,0.00039068,1.22211e-229
5.358,0.000377489,1.08059e-229
5.39417,0.000364761,9.55329e-230
5.43033,0.000352479,8.44473e-230
5.4665,0.000340627,7.46381e-230
5.50267,0.000329188,6.59594e-230
5.53883,0.000318149,5.8282e-230
5.575,0.000307494,5.14913e-230
5.61117,0.000297209,4.54857e-230
5.64733,0.000287281,4.01752e-230
5.6835,0.000277697,3.54799e-230
5.71967,0.000268444,3.13291e-230
5.75583,0.00025951,2.76603e-230
5.792,0.000250885,2.44178e-230
5.82817,0.000242557,2.15525e-230
5.86433,0.000234514,1.90208e-230
5.9005,0.000226748,1.67843e-230
5.93667,0.000219248,1.48088e-230
5.97283,0.000212004,1.30641e-230
6.009,0.000205008,1.15233e-230
6.04517,0.00019825,1.01629e-230
6.08133,0.000191722,8.96193e-231
6.1175,0.000185417,7.9018e-231
6.15367,0.000179325,6.96614e-231
6.18983,0.000173441,6.14045e-231
6.226,0.000167755,5.4119e-231
6.26217,0.000162262,4.76915e-231
6.29833,0.000156954,4.20218e-231
6.3345,0.000151825,3.70211e-231
6.37067,0.00014687,3.26111e-231
6.40683,0.00014208,2.87226e-231
6.443,0.000137452,2.52944e-231
6.47917,0.000132979,2.22723e-231
6.51533,0.000128656,1.96087e-231
6.5515,0.000124477,1.72613e-231
6.58767,0.000120439,1.51929e-231
6.62383,0.000116535,1.33705e-231
6.66,0.000112761,1.17652e-231
6.69617,0.000109113,1.03512e-231
6.73233,0.000105586,9.10593e-232
6.7685,0.000102177,8.0094e-232
6.80467,9.88802e-05,7.04396e-232
6.84083,9.56931e-05,6.19406e-232
6.877,9.26115e-05,5.44598e-232
6.91317,8.96318e-05,4.78761e-232
6.94933,8.67505e-05,4.20826e-232
6.9855,8.39643e-05,3.69852e-232
7.02167,8.127e-05,3.25009e-232
7.05783,7.86644e-05,2.85565e-232
7.094,7.61444e-05,2.50874e-232
