pt,Ridge,Jet
0.25,0.00218851,0.898399
0.75,0.013112,0.83935
1.25,0.0170069,0.352867
1.75,0.013871,0.120947
2.25,0.0101002,0.0377055
2.75,0.00712547,0.0111263
3.25,0.0049793,0.00316736
3.75,0.00346986,0.00087912
4.25,0.00241665,0.000239457
4.75,0.00168348,6.42827e-05
5.25,0.00117329,1.70584e-05
5.75,0.000818132,4.48422e-06
6.25,0.000570763,1.1696e-06
6.75,0.000398365,3.03056e-07
7.25,0.000278149,7.80825e-08
7.75,0.000194278,2.002e-08
8.25,0.000135737,5.11121e-09
8.75,9.48615e-05,1.30002e-09
9.25,6.63101e-05,3.29557e-10
9.75,4.63614e-05,8.32944e-11
