pt,Ridge,Jet
0.25,0.00233916,0.898399
0.75,0.012534,0.83935
1.25,0.0161931,0.352867
1.75,0.0132241,0.120947
2.25,0.0096248,0.0377055
2.75,0.00677717,0.0111263
3.25,0.0047224,0.00316736
3.75,0.00327938,0.00087912
4.25,0.00227506,0.000239457
4.75,0.00157817,6.42827e-05
5.25,0.00109501,1.70584e-05
5.75,0.000760033,4.48422e-06
6.25,0.000527723,1.1696e-06
6.75,0.000366548,3.03056e-07
7.25,0.000254679,7.80825e-08
7.75,0.000177002,2.002e-08
8.25,0.000123048,5.11121e-09
8.75,8.55587e-05,1.30002e-09
9.25,5.95033e-05,3.29557e-10
9.75,4.13899e-05,8.32944e-11
10.25,2.87949e-05,2.0996e-11
