phi,dN/dphi
-1.18,0.00805306
-1.175,0.00810014
-1.17,0.00814755
-1.165,0.00819527
-1.16,0.00824332
-1.155,0.0082917
-1.15,0.00834041
-1.145,0.00838944
-1.14,0.0084388
-1.135,0.0084885
-1.13,0.00853853
-1.125,0.0085889
-1.12,0.0086396
-1.115,0.00869065
-1.11,0.00874203
-1.105,0.00879375
-1.1,0.00884582
-1.095,0.00889823
-1.09,0.00895099
-1.085,0.0090041
-1.08,0.00905755
-1.075,0.00911136
-1.07,0.00916552
-1.065,0.00922003
-1.06,0.0092749
-1.055,0.00933013
-1.05,0.00938571
-1.045,0.00944165
-1.04,0.00949795
-1.035,0.00955462
-1.03,0.00961164
-1.025,0.00966904
-1.02,0.00972679
-1.015,0.00978492
-1.01,0.00984341
-1.005,0.00990228
-1,0.00996151
-0.995,0.0100211
-0.99,0.0100811
-0.985,0.0101415
-0.98,0.0102022
-0.975,0.0102633
-0.97,0.0103248
-0.965,0.0103866
-0.96,0.0104489
-0.955,0.0105115
-0.95,0.0105745
-0.945,0.0106379
-0.94,0.0107017
-0.935,0.0107658
-0.93,0.0108304
-0.925,0.0108953
-0.92,0.0109606
-0.915,0.0110263
-0.91,0.0110924
-0.905,0.0111589
-0.9,0.0112258
-0.895,0.011293
-0.89,0.0113607
-0.885,0.0114287
-0.88,0.0114971
-0.875,0.0115659
-0.87,0.0116352
-0.865,0.0117048
-0.86,0.0117748
-0.855,0.0118452
-0.85,0.0119159
-0.845,0.0119871
-0.84,0.0120587
-0.835,0.0121306
-0.83,0.012203
-0.825,0.0122757
-0.82,0.0123489
-0.815,0.0124224
-0.81,0.0124963
-0.805,0.0125706
-0.8,0.0126453
-0.795,0.0127204
-0.79,0.0127959
-0.785,0.0128718
-0.78,0.0129481
-0.775,0.0130247
-0.77,0.0131017
-0.765,0.0131792
-0.76,0.013257
-0.755,0.0133351
-0.75,0.0134137
-0.745,0.0134927
-0.74,0.013572
-0.735,0.0136517
-0.73,0.0137318
-0.725,0.0138122
-0.72,0.0138931
-0.715,0.0139743
-0.71,0.0140558
-0.705,0.0141378
-0.7,0.0142201
-0.695,0.0143027
-0.69,0.0143857
-0.685,0.0144691
-0.68,0.0145528
-0.675,0.0146369
-0.67,0.0147214
-0.665,0.0148061
-0.66,0.0148913
-0.655,0.0149767
-0.65,0.0150625
-0.645,0.0151486
-0.64,0.0152351
-0.635,0.0153219
-0.63,0.015409
-0.625,0.0154964
-0.62,0.0155841
-0.615,0.0156722
-0.61,0.0157605
-0.605,0.0158492
-0.6,0.0159381
-0.595,0.0160273
-0.59,0.0161168
-0.585,0.0162066
-0.58,0.0162967
-0.575,0.016387
-0.57,0.0164776
-0.565,0.0165685
-0.56,0.0166596
-0.555,0.0167509
-0.55,0.0168425
-0.545,0.0169343
-0.54,0.0170263
-0.535,0.0171186
-0.53,0.017211
-0.525,0.0173037
-0.52,0.0173965
-0.515,0.0174895
-0.51,0.0175827
-0.505,0.0176761
-0.5,0.0177697
-0.495,0.0178633
-0.49,0.0179572
-0.485,0.0180511
-0.48,0.0181452
-0.475,0.0182394
-0.47,0.0183337
-0.465,0.018428
-0.46,0.0185225
-0.455,0.018617
-0.45,0.0187116
-0.445,0.0188062
-0.44,0.0189009
-0.435,0.0189956
-0.43,0.0190903
-0.425,0.019185
-0.42,0.0192796
-0.415,0.0193743
-0.41,0.0194689
-0.405,0.0195634
-0.4,0.0196579
-0.395,0.0197523
-0.39,0.0198465
-0.385,0.0199407
-0.38,0.0200347
-0.375,0.0201286
-0.37,0.0202223
-0.365,0.0203158
-0.36,0.0204092
-0.355,0.0205023
-0.35,0.0205951
-0.345,0.0206877
-0.34,0.0207801
