phi,Ridge,Jet
-1.1781,0.00626203,0
-1.15454,0.00648407,0
-1.13097,0.00671436,0
-1.10741,0.00695309,0
-1.08385,0.00720045,0
-1.06029,0.00745659,0
-1.03673,0.00772168,0
-1.01316,0.00799585,0
-0.989601,0.00827921,0
-0.96604,0.00857185,0
-0.942478,0.00887383,0
-0.918916,0.0091852,0
-0.895354,0.00950593,0
-0.871792,0.00983601,0
-0.84823,0.0101753,0
-0.824668,0.0105238,0
-0.801106,0.0108812,0
-0.777544,0.0112472,0
-0.753982,0.0116217,0
-0.73042,0.0120042,0
-0.706858,0.0123943,0
-0.683296,0.0127915,0
-0.659734,0.0131951,0
-0.636172,0.0136045,0
-0.61261,0.0140189,0
-0.589048,0.0144375,0
-0.565487,0.0148591,0
-0.541925,0.0152829,0
-0.518363,0.0157075,0
-0.494801,0.0161317,0
-0.471239,0.0165542,0
-0.447677,0.0169733,0
-0.424115,0.0173876,0
-0.400553,0.0177952,0
-0.376991,0.0181945,0
-0.353429,0.0185836,0
-0.329867,0.0189606,0
-0.306305,0.0193234,0
-0.282743,0.01967,0
-0.259181,0.0199985,0
-0.235619,0.0203068,0
-0.212057,0.020593,0
-0.188496,0.020855,0
-0.164934,0.0210911,0
-0.141372,0.0212996,0
-0.11781,0.0214788,0
-0.0942478,0.0216275,0
-0.0706858,0.0217444,0
-0.0471239,0.0218286,0
-0.0235619,0.0218794,0
2.15106e-16,0.0218964,0
0.0235619,0.0218794,0
0.0471239,0.0218286,0
0.0706858,0.0217444,0
0.0942478,0.0216275,0
0.11781,0.0214788,0
0.141372,0.0212996,0
0.164934,0.0210911,0
0.188496,0.020855,0
0.212057,0.020593,0
0.235619,0.0203068,0
0.259181,0.0199985,0
0.282743,0.01967,0
0.306305,0.0193234,0
0.329867,0.0189606,0
0.353429,0.0185836,0
0.376991,0.0181945,0
0.400553,0.0177952,0
0.424115,0.0173876,0
0.447677,0.0169733,0
0.471239,0.0165542,0
0.494801,0.0161317,0
0.518363,0.0157075,0
0.541925,0.0152829,0
0.565487,0.0148591,0
0.589049,0.0144375,0
0.61261,0.0140189,0
0.636172,0.0136045,0
0.659734,0.0131951,0
0.683296,0.0127915,0
0.706858,0.0123943,0
0.73042,0.0120042,0
0.753982,0.0116217,0
0.777544,0.0112472,0
0.801106,0.0108812,0
0.824668,0.0105238,0
0.84823,0.0101753,0
0.871792,0.00983601,0
0.895354,0.00950593,0
0.918916,0.0091852,0
0.942478,0.00887383,0
0.96604,0.00857185,0
0.989601,0.00827921,0
1.01316,0.00799585,0
1.03673,0.00772168,0
1.06029,0.00745659,0
1.08385,0.00720045,0
1.10741,0.00695309,0
1.13097,0.00671436,0
1.15454,0.00648407,0
1.1781,0.00626203,0
