pt,dN/detadpt
0.15,9.17676
0.16,8.99156
0.17,8.80455
0.18,8.61644
0.19,8.42789
0.2,8.23948
0.21,8.05172
0.22,7.86504
0.23,7.67985
0.24,7.49647
0.25,7.31521
0.26,7.13631
0.27,6.95998
0.28,6.78641
0.29,6.61575
0.3,6.4481
0.31,6.28358
0.32,6.12225
0.33,5.96416
0.34,5.80935
0.35,5.65785
0.36,5.50967
0.37,5.36479
0.38,5.22321
0.39,5.0849
0.4,4.94985
0.41,4.818
0.42,4.68934
0.43,4.5638
0.44,4.44134
0.45,4.32192
0.46,4.20548
0.47,4.09197
0.48,3.98133
0.49,3.87351
0.5,3.76845
0.51,3.66609
0.52,3.56638
0.53,3.46925
0.54,3.37465
0.55,3.28253
0.56,3.19282
0.57,3.10548
0.58,3.02044
0.59,2.93766
0.6,2.85707
0.61,2.77862
0.62,2.70227
0.63,2.62796
0.64,2.55564
0.65,2.48526
0.66,2.41677
0.67,2.35013
0.68,2.28529
0.69,2.2222
0.7,2.16081
0.71,2.10109
0.72,2.04299
0.73,1.98647
0.74,1.93148
0.75,1.878
0.76,1.82597
0.77,1.77536
0.78,1.72613
0.79,1.67825
0.8,1.63168
0.81,1.58639
0.82,1.54234
0.83,1.49949
0.84,1.45783
0.85,1.41731
0.86,1.3779
0.87,1.33958
0.88,1.30231
0.89,1.26607
0.9,1.23083
0.91,1.19656
0.92,1.16323
0.93,1.13083
0.94,1.09932
0.95,1.06868
0.96,1.0389
0.97,1.00993
0.98,0.981766
0.99,0.954382
1,0.927757
1.01,0.901869
1.02,0.8767
1.03,0.852228
1.04,0.828436
1.05,0.805304
1.06,0.782814
1.07,0.760948
1.08,0.73969
1.09,0.719023
1.1,0.698931
1.11,0.679397
1.12,0.660406
1.13,0.641944
1.14,0.623996
1.15,0.606547
1.16,0.589584
1.17,0.573093
1.18,0.557062
1.19,0.541477
1.2,0.526327
1.21,0.511599
1.22,0.497281
1.23,0.483363
1.24,0.469833
1.25,0.456681
1.26,0.443895
1.27,0.431466
1.28,0.419384
1.29,0.407639
1.3,0.396222
1.31,0.385124
1.32,0.374336
1.33,0.363849
1.34,0.353656
1.35,0.343747
1.36,0.334114
1.37,0.324752
1.38,0.31565
1.39,0.306804
1.4,0.298204
1.41,0.289845
1.42,0.28172
1.43,0.273822
1.44,0.266145
1.45,0.258683
1.46,0.251429
1.47,0.244378
1.48,0.237525
1.49,0.230864
1.5,0.224389
1.51,0.218095
1.52,0.211977
1.53,0.206031
1.54,0.200251
1.55,0.194633
1.56,0.189173
1.57,0.183865
1.58,0.178706
1.59,0.173691
1.6,0.168817
1.61,0.16408
1.62,0.159475
1.63,0.155
1.64,0.150649
1.65,0.146421
1.66,0.142311
1.67,0.138316
1.68,0.134434
1.69,0.13066
1.7,0.126992
1.71,0.123426
1.72,0.119961
1.73,0.116593
1.74,0.113319
1.75,0.110138
1.76,0.107045
1.77,0.104039
1.78,0.101117
1.79,0.0982778
1.8,0.0955178
1.81,0.0928352
1.82,0.0902279
1.83,0.0876937
1.84,0.0852307
1.85,0.0828367
1.86,0.0805099
1.87,0.0782484
1.88,0.0760504
1.89,0.073914
1.9,0.0718376
1.91,0.0698195
1.92,0.067858
1.93,0.0659516
1.94,0.0640986
1.95,0.0622977
1.96,0.0605474
1.97,0.0588462
1.98,0.0571927
1.99,0.0555857
2,0.0540237
2.01,0.0525057
2.02,0.0510302
2.03,0.0495962
2.04,0.0482024
2.05,0.0468478
2.06,0.0455312
2.07,0.0442516
2.08,0.043008
2.09,0.0417992
2.1,0.0406244
2.11,0.0394826
2.12,0.0383729
2.13,0.0372943
