pt, RidgeDis
0.150000, 0.000909
0.160000, 0.000964
0.170000, 0.001017
0.180000, 0.001070
0.190000, 0.001122
0.200000, 0.001173
0.210000, 0.001223
0.220000, 0.001273
0.230000, 0.001322
0.240000, 0.001369
0.250000, 0.001417
0.260000, 0.001463
0.270000, 0.001509
0.280000, 0.001553
0.290000, 0.001598
0.300000, 0.001641
0.310000, 0.001684
0.320000, 0.001727
0.330000, 0.001768
0.340000, 0.001809
0.350000, 0.001850
0.360000, 0.001890
0.370000, 0.001929
0.380000, 0.001968
0.390000, 0.002007
0.400000, 0.002045
0.410000, 0.002083
0.420000, 0.002120
0.430000, 0.002156
0.440000, 0.002193
0.450000, 0.002229
0.460000, 0.002265
0.470000, 0.002300
0.480000, 0.002335
0.490000, 0.002370
0.500000, 0.002404
0.510000, 0.002438
0.520000, 0.002472
0.530000, 0.002506
0.540000, 0.002539
0.550000, 0.002572
0.560000, 0.002605
0.570000, 0.002638
0.580000, 0.002671
0.590000, 0.002703
0.600000, 0.002736
0.610000, 0.002768
0.620000, 0.002800
0.630000, 0.002832
0.640000, 0.002863
0.650000, 0.002895
0.660000, 0.002927
0.670000, 0.002958
0.680000, 0.002990
0.690000, 0.003021
0.700000, 0.003052
0.710000, 0.003083
0.720000, 0.003114
0.730000, 0.003145
0.740000, 0.003176
0.750000, 0.003207
0.760000, 0.003238
0.770000, 0.003269
0.780000, 0.003300
0.790000, 0.003331
0.800000, 0.003362
0.810000, 0.003393
0.820000, 0.003424
0.830000, 0.003454
0.840000, 0.003485
0.850000, 0.003516
0.860000, 0.003547
0.870000, 0.003578
0.880000, 0.003609
0.890000, 0.003640
0.900000, 0.003670
0.910000, 0.003701
0.920000, 0.003732
0.930000, 0.003763
0.940000, 0.003794
0.950000, 0.003825
0.960000, 0.003856
0.970000, 0.003887
0.980000, 0.003918
0.990000, 0.003949
1.000000, 0.003980
1.010000, 0.004011
1.020000, 0.004042
1.030000, 0.004074
1.040000, 0.004105
1.050000, 0.004136
1.060000, 0.004167
1.070000, 0.004198
1.080000, 0.004229
1.090000, 0.004260
1.100000, 0.004291
1.110000, 0.004322
1.120000, 0.004353
1.130000, 0.004384
1.140000, 0.004415
1.150000, 0.004446
1.160000, 0.004477
1.170000, 0.004507
1.180000, 0.004538
1.190000, 0.004568
1.200000, 0.004599
1.210000, 0.004629
1.220000, 0.004659
1.230000, 0.004689
1.240000, 0.004719
1.250000, 0.004749
1.260000, 0.004778
1.270000, 0.004807
1.280000, 0.004836
1.290000, 0.004865
1.300000, 0.004893
1.310000, 0.004921
1.320000, 0.004949
1.330000, 0.004976
1.340000, 0.005002
1.350000, 0.005029
1.360000, 0.005054
1.370000, 0.005079
1.380000, 0.005104
1.390000, 0.005128
1.400000, 0.005150
1.410000, 0.005173
1.420000, 0.005194
1.430000, 0.005214
1.440000, 0.005233
1.450000, 0.005251
1.460000, 0.005267
1.470000, 0.005282
1.480000, 0.005295
1.490000, 0.005307
1.500000, 0.005316
1.510000, 0.005324
1.520000, 0.005329
1.530000, 0.005331
1.540000, 0.005331
1.550000, 0.005329
1.560000, 0.005323
1.570000, 0.005314
1.580000, 0.005301
1.590000, 0.005286
1.600000, 0.005267
1.610000, 0.005244
1.620000, 0.005219
1.630000, 0.005190
1.640000, 0.005158
1.650000, 0.005124
1.660000, 0.005087
1.670000, 0.005047
1.680000, 0.005005
1.690000, 0.004962
1.700000, 0.004917
1.710000, 0.004870
1.720000, 0.004822
1.730000, 0.004773
1.740000, 0.004723
1.750000, 0.004673
1.760000, 0.004622
1.770000, 0.004570
1.780000, 0.004518
1.790000, 0.004466
1.800000, 0.004413
1.810000, 0.004361
1.820000, 0.004308
1.830000, 0.004255
1.840000, 0.004203
1.850000, 0.004151
1.860000, 0.004098
1.870000, 0.004047
1.880000, 0.003995
1.890000, 0.003944
1.900000, 0.003893
1.910000, 0.003842
1.920000, 0.003792
1.930000, 0.003742
1.940000, 0.003692
1.950000, 0.003643
1.960000, 0.003594
1.970000, 0.003546
1.980000, 0.003498
1.990000, 0.003451
2.000000, 0.003404
2.010000, 0.003358
2.020000, 0.003312
2.030000, 0.003266
2.040000, 0.003222
2.050000, 0.003177
2.060000, 0.003133
2.070000, 0.003090
2.080000, 0.003047
2.090000, 0.003004
2.100000, 0.002962
2.110000, 0.002921
2.120000, 0.002880
2.130000, 0.002840
2.140000, 0.002800
2.150000, 0.002760
2.160000, 0.002721
2.170000, 0.002683
2.180000, 0.002645
2.190000, 0.002607
2.200000, 0.002570
2.210000, 0.002534
2.220000, 0.002497
2.230000, 0.002462
2.240000, 0.002427
2.250000, 0.002392
2.260000, 0.002358
2.270000, 0.002324
2.280000, 0.002291
2.290000, 0.002258
2.300000, 0.002225
2.310000, 0.002193
2.320000, 0.002161
2.330000, 0.002130
2.340000, 0.002100
2.350000, 0.002069
2.360000, 0.002039
2.370000, 0.002010
2.380000, 0.001981
2.390000, 0.001952
2.400000, 0.001924
2.410000, 0.001896
2.420000, 0.001868
2.430000, 0.001841
2.440000, 0.001814
2.450000, 0.001788
2.460000, 0.001762
2.470000, 0.001736
2.480000, 0.001711
2.490000, 0.001686
2.500000, 0.001661
2.510000, 0.001637
2.520000, 0.001613
2.530000, 0.001589
2.540000, 0.001566
2.550000, 0.001543
2.560000, 0.001520
2.570000, 0.001498
2.580000, 0.001476
2.590000, 0.001454
2.600000, 0.001433
2.610000, 0.001412
2.620000, 0.001391
2.630000, 0.001371
2.640000, 0.001351
2.650000, 0.001331
2.660000, 0.001311
2.670000, 0.001292
2.680000, 0.001273
2.690000, 0.001254
2.700000, 0.001236
2.710000, 0.001218
2.720000, 0.001200
2.730000, 0.001182
2.740000, 0.001164
2.750000, 0.001147
2.760000, 0.001130
2.770000, 0.001114
2.780000, 0.001097
2.790000, 0.001081
2.800000, 0.001065
2.810000, 0.001049
2.820000, 0.001034
2.830000, 0.001019
2.840000, 0.001003
2.850000, 0.000989
2.860000, 0.000974
2.870000, 0.000960
2.880000, 0.000945
2.890000, 0.000931
2.900000, 0.000918
2.910000, 0.000904
2.920000, 0.000891
2.930000, 0.000877
2.940000, 0.000864
2.950000, 0.000852
2.960000, 0.000839
2.970000, 0.000827
2.980000, 0.000814
2.990000, 0.000802
3.000000, 0.000790
3.010000, 0.000779
3.020000, 0.000767
3.030000, 0.000756
3.040000, 0.000745
3.050000, 0.000734
3.060000, 0.000723
3.070000, 0.000712
3.080000, 0.000701
3.090000, 0.000691
3.100000, 0.000681
3.110000, 0.000671
3.120000, 0.000661
3.130000, 0.000651
3.140000, 0.000641
3.150000, 0.000632
3.160000, 0.000622
3.170000, 0.000613
3.180000, 0.000604
3.190000, 0.000595
3.200000, 0.000586
3.210000, 0.000578
3.220000, 0.000569
3.230000, 0.000561
3.240000, 0.000552
3.250000, 0.000544
3.260000, 0.000536
3.270000, 0.000528
3.280000, 0.000520
3.290000, 0.000512
3.300000, 0.000505
3.310000, 0.000497
3.320000, 0.000490
3.330000, 0.000483
3.340000, 0.000476
3.350000, 0.000468
3.360000, 0.000461
3.370000, 0.000455
3.380000, 0.000448
3.390000, 0.000441
3.400000, 0.000435
3.410000, 0.000428
3.420000, 0.000422
3.430000, 0.000416
3.440000, 0.000409
3.450000, 0.000403
3.460000, 0.000397
3.470000, 0.000392
3.480000, 0.000386
3.490000, 0.000380
3.500000, 0.000374
3.510000, 0.000369
3.520000, 0.000363
3.530000, 0.000358
3.540000, 0.000353
3.550000, 0.000347
3.560000, 0.000342
3.570000, 0.000337
3.580000, 0.000332
3.590000, 0.000327
3.600000, 0.000322
3.610000, 0.000318
3.620000, 0.000313
3.630000, 0.000308
3.640000, 0.000304
3.650000, 0.000299
3.660000, 0.000295
3.670000, 0.000290
3.680000, 0.000286
3.690000, 0.000282
3.700000, 0.000278
3.710000, 0.000274
3.720000, 0.000270
3.730000, 0.000266
3.740000, 0.000262
3.750000, 0.000258
3.760000, 0.000254
3.770000, 0.000250
3.780000, 0.000246
3.790000, 0.000243
3.800000, 0.000239
3.810000, 0.000236
3.820000, 0.000232
3.830000, 0.000229
3.840000, 0.000225
3.850000, 0.000222
3.860000, 0.000219
3.870000, 0.000215
3.880000, 0.000212
3.890000, 0.000209
3.900000, 0.000206
3.910000, 0.000203
3.920000, 0.000200
3.930000, 0.000197
3.940000, 0.000194
3.950000, 0.000191
3.960000, 0.000188
3.970000, 0.000186
3.980000, 0.000183
3.990000, 0.000180
4.000000, 0.000178
