pt,dN/detadpt
0.15,3.85353
0.16,3.77259
0.17,3.69119
0.18,3.60966
0.19,3.52827
0.2,3.44725
0.21,3.36679
0.22,3.28707
0.23,3.20823
0.24,3.13038
0.25,3.05362
0.26,2.97805
0.27,2.90371
0.28,2.83066
0.29,2.75896
0.3,2.68861
0.31,2.61966
0.32,2.55212
0.33,2.48599
0.34,2.42128
0.35,2.358
0.36,2.29612
0.37,2.23566
0.38,2.17659
0.39,2.1189
0.4,2.06258
0.41,2.00761
0.42,1.95398
0.43,1.90165
0.44,1.85061
0.45,1.80084
0.46,1.75232
0.47,1.70502
0.48,1.65891
0.49,1.61398
0.5,1.5702
0.51,1.52755
0.52,1.486
0.53,1.44553
0.54,1.40612
0.55,1.36773
0.56,1.33035
0.57,1.29396
0.58,1.25853
0.59,1.22403
0.6,1.19045
0.61,1.15777
0.62,1.12595
0.63,1.09499
0.64,1.06486
0.65,1.03553
0.66,1.007
0.67,0.979229
0.68,0.95221
0.69,0.925922
0.7,0.900345
0.71,0.875461
0.72,0.851252
0.73,0.827701
0.74,0.804791
0.75,0.782504
0.76,0.760825
0.77,0.739738
0.78,0.719227
0.79,0.699277
0.8,0.679873
0.81,0.661001
0.82,0.642646
0.83,0.624794
0.84,0.607433
0.85,0.590549
0.86,0.574129
0.87,0.558161
0.88,0.542633
0.89,0.527532
0.9,0.512848
0.91,0.498569
0.92,0.484684
0.93,0.471183
0.94,0.458054
0.95,0.445289
0.96,0.432876
0.97,0.420807
0.98,0.409072
0.99,0.397662
1,0.386568
1.01,0.375782
1.02,0.365294
1.03,0.355098
1.04,0.345184
1.05,0.335546
1.06,0.326175
1.07,0.317064
1.08,0.308207
1.09,0.299595
1.1,0.291223
1.11,0.283084
1.12,0.275171
1.13,0.267479
1.14,0.26
1.15,0.25273
1.16,0.245662
1.17,0.238791
1.18,0.232111
1.19,0.225617
1.2,0.219305
1.21,0.213168
1.22,0.207202
1.23,0.201403
1.24,0.195765
1.25,0.190285
1.26,0.184958
1.27,0.179779
1.28,0.174745
1.29,0.169851
1.3,0.165094
1.31,0.16047
1.32,0.155975
1.33,0.151605
1.34,0.147358
1.35,0.143229
1.36,0.139215
1.37,0.135314
1.38,0.131522
1.39,0.127836
1.4,0.124253
1.41,0.12077
1.42,0.117384
1.43,0.114093
1.44,0.110895
1.45,0.107785
1.46,0.104763
1.47,0.101825
1.48,0.0989696
1.49,0.0961939
1.5,0.093496
1.51,0.0908736
1.52,0.0883246
1.53,0.0858469
1.54,0.0834387
1.55,0.0810978
1.56,0.0788226
1.57,0.076611
1.58,0.0744614
1.59,0.072372
1.6,0.0703411
1.61,0.0683672
1.62,0.0664485
1.63,0.0645836
1.64,0.062771
1.65,0.0610091
1.66,0.0592967
1.67,0.0576322
1.68,0.0560144
1.69,0.054442
1.7,0.0529136
1.71,0.0514281
1.72,0.0499842
1.73,0.0485808
1.74,0.0472168
1.75,0.045891
1.76,0.0446024
1.77,0.0433499
1.78,0.0421326
1.79,0.0409494
1.8,0.0397994
1.81,0.0386816
1.82,0.0375952
1.83,0.0365393
1.84,0.035513
1.85,0.0345155
1.86,0.033546
1.87,0.0326037
1.88,0.0316879
1.89,0.0307977
1.9,0.0299326
1.91,0.0290917
1.92,0.0282744
1.93,0.02748
1.94,0.026708
1.95,0.0259576
1.96,0.0252283
1.97,0.0245194
1.98,0.0238305
1.99,0.0231609
2,0.0225101
2.01,0.0218775
2.02,0.0212627
2.03,0.0206652
2.04,0.0200845
2.05,0.0195201
2.06,0.0189715
2.07,0.0184383
2.08,0.0179201
2.09,0.0174165
2.1,0.016927
2.11,0.0164512
2.12,0.0159888
2.13,0.0155394
2.14,0.0151026
2.15,0.0146781
2.16,0.0142655
2.17,0.0138645
2.18,0.0134748
2.19,0.013096
2.2,0.0127279
2.21,0.0123701
2.22,0.0120223
2.23,0.0116843
2.24,0.0113559
2.25,0.0110366
2.26,0.0107263
2.27,0.0104248
2.28,0.0101317
2.29,0.00984681
2.3,0.00956995
2.31,0.00930088
2.32,0.00903937
2.33,0.00878521
2.34,0.00853819
2.35,0.00829811
2.36,0.00806478
2.37,0.00783801
2.38,0.00761761
2.39,0.0074034
2.4,0.00719522
2.41,0.00699289
2.42,0.00679624
2.43,0.00660512
2.44,0.00641938
2.45,0.00623885
2.46,0.0060634
2.47,0.00589288
2.48,0.00572715
2.49,0.00556609
2.5,0.00540955
2.51,0.00525741
2.52,0.00510955
2.53,0.00496584
2.54,0.00482618
2.55,0.00469044
2.56,0.00455852
2.57,0.0044303
2.58,0.00430569
2.59,0.00418459
2.6,0.00406689
2.61,0.0039525
2.62,0.00384132
2.63,0.00373327
2.64,0.00362826
2.65,0.00352621
2.66,0.00342702
2.67,0.00333062
2.68,0.00323693
2.69,0.00314588
2.7,0.00305738
2.71,0.00297138
2.72,0.00288779
2.73,0.00280656
2.74,0.00272761
2.75,0.00265087
2.76,0.0025763
2.77,0.00250382
2.78,0.00243339
2.79,0.00236493
2.8,0.0022984
2.81,0.00223374
2.82,0.0021709
2.83,0.00210982
2.84,0.00205047
2.85,0.00199278
2.86,0.00193671
2.87,0.00188223
2.88,0.00182927
2.89,0.0017778
2.9,0.00172779
