pt, RidgeDis
0.150000, 0.002115
0.160000, 0.002248
0.170000, 0.002381
0.180000, 0.002513
0.190000, 0.002645
0.200000, 0.002777
0.210000, 0.002908
0.220000, 0.003039
0.230000, 0.003171
0.240000, 0.003303
0.250000, 0.003435
0.260000, 0.003568
0.270000, 0.003701
0.280000, 0.003835
0.290000, 0.003970
0.300000, 0.004105
0.310000, 0.004242
0.320000, 0.004379
0.330000, 0.004518
0.340000, 0.004658
0.350000, 0.004798
0.360000, 0.004940
0.370000, 0.005083
0.380000, 0.005227
0.390000, 0.005372
0.400000, 0.005519
0.410000, 0.005666
0.420000, 0.005815
0.430000, 0.005964
0.440000, 0.006114
0.450000, 0.006265
0.460000, 0.006417
0.470000, 0.006569
0.480000, 0.006722
0.490000, 0.006875
0.500000, 0.007027
0.510000, 0.007180
0.520000, 0.007332
0.530000, 0.007483
0.540000, 0.007633
0.550000, 0.007781
0.560000, 0.007928
0.570000, 0.008072
0.580000, 0.008213
0.590000, 0.008350
0.600000, 0.008484
0.610000, 0.008612
0.620000, 0.008735
0.630000, 0.008852
0.640000, 0.008962
0.650000, 0.009064
0.660000, 0.009158
0.670000, 0.009243
0.680000, 0.009318
0.690000, 0.009383
0.700000, -nan
0.710000, 0.009481
0.720000, 0.009514
0.730000, 0.009537
0.740000, 0.009550
0.750000, 0.009552
0.760000, 0.009545
0.770000, 0.009530
0.780000, 0.009506
0.790000, 0.009475
0.800000, 0.009437
0.810000, 0.009393
0.820000, 0.009343
0.830000, 0.009287
0.840000, 0.009227
0.850000, 0.009163
0.860000, 0.009096
0.870000, 0.009024
0.880000, 0.008950
0.890000, 0.008874
0.900000, 0.008795
0.910000, 0.008714
0.920000, 0.008631
0.930000, 0.008547
0.940000, 0.008461
0.950000, 0.008374
0.960000, 0.008287
0.970000, 0.008198
0.980000, 0.008109
0.990000, 0.008020
1.000000, 0.007930
1.010000, 0.007841
1.020000, 0.007751
1.030000, 0.007661
1.040000, 0.007571
1.050000, 0.007481
