pt,Ridge,Jet
0.15,0.0109504,0
0.186167,0.0124994,0
0.222333,0.0140182,0
0.2585,0.0155484,0
0.294667,0.0171124,0
0.330833,0.0187207,0
0.367,0.0203755,0
0.403167,0.0220723,0
0.439333,0.0238005,0
0.4755,0.0255427,0
0.511667,0.0272745,0
0.547833,0.0289625,0
0.584,0.0305629,0
0.620167,0.0320211,0
0.656333,0.0332742,0
0.6925,0.0342611,0
0.728667,0.0349413,0
0.764833,0.0353095,0
0.801,0.0353929,0
0.837167,0.035234,0
0.873333,0.0348772,0
0.9095,0.0343618,0
0.945667,0.0337212,0
0.981833,0.0329828,0
1.018,0.0321695,0
1.05417,0.0313003,0
1.09033,0.0303907,0
1.1265,0.0294541,0
1.16267,0.0285014,0
1.19883,0.0275416,0
1.235,0.0265825,0
1.27117,0.0256301,0
1.30733,0.0246897,0
1.3435,0.0237653,0
1.37967,0.0228602,0
1.41583,0.021977,0
1.452,0.0211175,0
1.48817,0.0202833,0
1.52433,0.0194752,0
1.5605,0.0186939,0
1.59667,0.0179398,0
1.63283,0.0172128,0
1.669,0.0165129,0
1.70517,0.0158396,0
1.74133,0.0151926,0
1.7775,0.0145714,0
1.81367,0.0139751,0
1.84983,0.0134033,0
1.886,0.012855,0
1.92217,0.0123296,0
1.95833,0.0118263,0
1.9945,0.0113442,0
2.03067,0.0108826,0
2.06683,0.0104406,0
2.103,0.0100175,0
2.13917,0.0096125,0
2.17533,0.00922484,0
2.2115,0.00885381,0
2.24767,0.00849867,0
2.28383,0.00815876,0
2.32,0.0078334,0
2.35617,0.00752196,0
2.39233,0.00722381,0
2.4285,0.00693838,0
2.46467,0.00666509,0
2.50083,0.00640339,0
2.537,0.00615278,0
2.57317,0.00591275,0
2.60933,0.00568282,0
2.6455,0.00546256,0
2.68167,0.00525151,0
2.71783,0.00504927,0
2.754,0.00485544,0
2.79017,0.00466965,0
2.82633,0.00449154,0
2.8625,0.00432077,0
2.89867,0.00415701,0
2.93483,0.00399994,0
2.971,0.00384928,0
3.00717,0.00370474,0
3.04333,0.00356605,0
3.0795,0.00343296,0
3.11567,0.00330522,0
3.15183,0.0031826,0
3.188,0.00306487,0
3.22417,0.00295183,0
3.26033,0.00284327,0
3.2965,0.002739,0
3.33267,0.00263884,0
3.36883,0.00254261,0
3.405,0.00245014,0
3.44117,0.00236128,0
3.47733,0.00227587,0
3.5135,0.00219376,0
3.54967,0.00211483,0
3.58583,0.00203893,0
3.622,0.00196595,0
3.65817,0.00189576,0
3.69433,0.00182824,0
3.7305,0.00176328,0
3.76667,0.00170079,0
3.80283,0.00164065,0
3.839,0.00158278,0
3.87517,0.00152709,0
3.91133,0.00147347,0
3.9475,0.00142186,0
3.98367,0.00137217,0
4.01983,0.00132432,0
4.056,0.00127824,0
4.09217,0.00123386,0
4.12833,0.00119112,0
4.1645,0.00114994,0
4.20067,0.00111027,0
4.23683,0.00107204,0
4.273,0.00103521,0
4.30917,0.000999717,0
4.34533,0.000965507,0
4.3815,0.000932533,0
4.41767,0.000900747,0
4.45383,0.000870103,0
4.49,0.000840558,0
4.52617,0.00081207,0
4.56233,0.000784597,0
4.5985,0.000758103,0
4.63467,0.000732549,0
4.67083,0.000707901,0
4.707,0.000684124,0
4.74317,0.000661186,0
4.77933,0.000639054,0
4.8155,0.0006177,0
4.85167,0.000597094,0
4.88783,0.000577208,0
4.924,0.000558016,0
4.96017,0.000539492,0
4.99633,0.000521612,0
5.0325,0.000504352,0
5.06867,0.000487689,0
5.10483,0.000471601,0
5.141,0.000456067,0
5.17717,0.000441068,0
5.21333,0.000426584,0
5.2495,0.000412596,0
5.28567,0.000399087,0
5.32183,0.000386038,0
5.358,0.000373434,0
5.39417,0.000361259,0
5.43033,0.000349497,0
5.4665,0.000338134,0
5.50267,0.000327155,0
5.53883,0.000316547,0
5.575,0.000306297,0
5.61117,0.000296391,0
5.64733,0.000286819,0
5.6835,0.000277567,0
5.71967,0.000268625,0
5.75583,0.000259982,0
5.792,0.000251628,0
5.82817,0.000243552,0
5.86433,0.000235745,0
5.9005,0.000228197,0
5.93667,0.0002209,0
5.97283,0.000213844,0
6.009,0.000207022,0
6.04517,0.000200425,0
6.08133,0.000194045,0
6.1175,0.000187876,0
6.15367,0.000181909,0
6.18983,0.000176139,0
6.226,0.000170557,0
6.26217,0.000165158,0
6.29833,0.000159936,0
6.3345,0.000154884,0
6.37067,0.000149997,0
6.40683,0.00014527,0
6.443,0.000140695,0
6.47917,0.00013627,0
