phi,ALICE,CMS
-1.28,0.00595887,0.00589836
-1.2544,0.00623016,0.00615894
-1.2288,0.00651512,0.00643237
-1.2032,0.00681432,0.00671919
-1.1776,0.00712837,0.00701994
-1.152,0.00745787,0.00733519
-1.1264,0.00780344,0.0076655
-1.1008,0.00816569,0.00801141
-1.0752,0.00854522,0.00837349
-1.0496,0.00894263,0.00875229
-1.024,0.00935852,0.00914832
-0.9984,0.00979345,0.00956212
-0.9728,0.010248,0.00999417
-0.9472,0.0107226,0.0104449
-0.9216,0.0112177,0.0109148
-0.896,0.0117339,0.0114042
-0.8704,0.0122714,0.0119134
-0.8448,0.0128305,0.0124426
-0.8192,0.0134114,0.0129921
-0.7936,0.0140142,0.0135618
-0.768,0.014639,0.0141518
-0.7424,0.0152855,0.0147619
-0.7168,0.0159534,0.0153918
-0.6912,0.0166424,0.0160411
-0.6656,0.0173518,0.0167091
-0.64,0.0180807,0.0173951
-0.6144,0.0188281,0.018098
-0.5888,0.0195927,0.0188166
-0.5632,0.0203728,0.0195495
-0.5376,0.0211667,0.0202948
-0.512,0.0219721,0.0210505
-0.4864,0.0227865,0.0218143
-0.4608,0.0236071,0.0225835
-0.4352,0.0244307,0.0233552
-0.4096,0.0252536,0.0241258
-0.384,0.0260718,0.0248918
-0.3584,0.0268809,0.0256489
-0.3328,0.0276761,0.0263928
-0.3072,0.0284521,0.0271185
-0.2816,0.0292034,0.0278207
-0.256,0.0299237,0.028494
-0.2304,0.0306069,0.0291323
-0.2048,0.0312461,0.0297294
-0.1792,0.0318343,0.0302788
-0.1536,0.0323645,0.0307739
-0.128,0.0328294,0.0312081
-0.1024,0.033222,0.0315746
-0.0768,0.0335357,0.0318674
-0.0512,0.0337645,0.0320811
-0.0256,0.0339038,0.0322112
-6.245e-17,0.0339506,0.0322548
0.0256,0.0339038,0.0322112
0.0512,0.0337645,0.0320811
0.0768,0.0335357,0.0318674
0.1024,0.033222,0.0315746
0.128,0.0328294,0.0312081
0.1536,0.0323645,0.0307739
0.1792,0.0318343,0.0302788
0.2048,0.0312461,0.0297294
0.2304,0.0306069,0.0291323
0.256,0.0299237,0.028494
0.2816,0.0292034,0.0278207
0.3072,0.0284521,0.0271185
0.3328,0.0276761,0.0263928
0.3584,0.0268809,0.0256489
0.384,0.0260718,0.0248918
0.4096,0.0252536,0.0241258
0.4352,0.0244307,0.0233552
0.4608,0.0236071,0.0225835
0.4864,0.0227865,0.0218143
0.512,0.0219721,0.0210505
0.5376,0.0211667,0.0202948
0.5632,0.0203728,0.0195495
0.5888,0.0195927,0.0188166
0.6144,0.0188281,0.018098
0.64,0.0180807,0.0173951
0.6656,0.0173518,0.0167091
0.6912,0.0166424,0.0160411
0.7168,0.0159534,0.0153918
0.7424,0.0152855,0.0147619
0.768,0.014639,0.0141518
0.7936,0.0140142,0.0135618
0.8192,0.0134114,0.0129921
0.8448,0.0128305,0.0124426
0.8704,0.0122714,0.0119134
0.896,0.0117339,0.0114042
0.9216,0.0112177,0.0109148
0.9472,0.0107226,0.0104449
0.9728,0.010248,0.00999417
0.9984,0.00979345,0.00956212
1.024,0.00935852,0.00914832
1.0496,0.00894263,0.00875229
1.0752,0.00854522,0.00837349
1.1008,0.00816569,0.00801141
1.1264,0.00780344,0.0076655
1.152,0.00745787,0.00733519
1.1776,0.00712837,0.00701994
1.2032,0.00681432,0.00671919
1.2288,0.00651512,0.00643237
1.2544,0.00623016,0.00615894
1.28,0.00595887,0.00589836
