phi,ALICE,CMS
-1.28,0.00468405,0.004638
-1.2544,0.00493022,0.00487584
-1.2288,0.0051903,0.00512688
-1.2032,0.00546501,0.00539177
-1.1776,0.00575503,0.00567116
-1.152,0.00606109,0.00596572
-1.1264,0.00638392,0.00627613
-1.1008,0.00672427,0.00660307
-1.0752,0.00708287,0.00694721
-1.0496,0.00746045,0.00730925
-1.024,0.00785777,0.00768986
-0.9984,0.00827553,0.0080897
-0.9728,0.00871444,0.0085094
-0.9472,0.00917516,0.00894957
-0.9216,0.00965832,0.00941079
-0.896,0.0101645,0.00989357
-0.8704,0.0106942,0.0103984
-0.8448,0.0112479,0.0109256
-0.8192,0.0118259,0.0114755
-0.7936,0.0124285,0.0120484
-0.768,0.0130558,0.0126443
-0.7424,0.0137077,0.0132631
-0.7168,0.0143842,0.0139047
-0.6912,0.0150847,0.0145687
-0.6656,0.0158087,0.0152544
-0.64,0.0165555,0.0159612
-0.6144,0.0173238,0.016688
-0.5888,0.0181125,0.0174335
-0.5632,0.0189198,0.0181962
-0.5376,0.0197438,0.018974
-0.512,0.020582,0.0197649
-0.4864,0.0214318,0.0205663
-0.4608,0.0222899,0.0213751
-0.4352,0.023153,0.0221881
-0.4096,0.0240168,0.0230015
-0.384,0.024877,0.023811
-0.3584,0.0257287,0.0246122
-0.3328,0.0265664,0.0253998
-0.3072,0.0273842,0.0261686
-0.2816,0.0281761,0.0269126
-0.256,0.0289351,0.0276256
-0.2304,0.0296544,0.028301
-0.2048,0.0303265,0.0289319
-0.1792,0.0309441,0.0295115
-0.1536,0.0314995,0.0300326
-0.128,0.0319852,0.0304884
-0.1024,0.0323943,0.0308721
-0.0768,0.0327202,0.0311778
-0.0512,0.0329574,0.0314002
-0.0256,0.0331015,0.0315353
-6.245e-17,0.0331498,0.0315806
0.0256,0.0331015,0.0315353
0.0512,0.0329574,0.0314002
0.0768,0.0327202,0.0311778
0.1024,0.0323943,0.0308721
0.128,0.0319852,0.0304884
0.1536,0.0314995,0.0300326
0.1792,0.0309441,0.0295115
0.2048,0.0303265,0.0289319
0.2304,0.0296544,0.028301
0.256,0.0289351,0.0276256
0.2816,0.0281761,0.0269126
0.3072,0.0273842,0.0261686
0.3328,0.0265664,0.0253998
0.3584,0.0257287,0.0246122
0.384,0.024877,0.023811
0.4096,0.0240168,0.0230015
0.4352,0.023153,0.0221881
0.4608,0.0222899,0.0213751
0.4864,0.0214318,0.0205663
0.512,0.020582,0.0197649
0.5376,0.0197438,0.018974
0.5632,0.0189198,0.0181962
0.5888,0.0181125,0.0174335
0.6144,0.0173238,0.016688
0.64,0.0165555,0.0159612
0.6656,0.0158087,0.0152544
0.6912,0.0150847,0.0145687
0.7168,0.0143842,0.0139047
0.7424,0.0137077,0.0132631
0.768,0.0130558,0.0126443
0.7936,0.0124285,0.0120484
0.8192,0.0118259,0.0114755
0.8448,0.0112479,0.0109256
0.8704,0.0106942,0.0103984
0.896,0.0101645,0.00989357
0.9216,0.00965832,0.00941079
0.9472,0.00917516,0.00894957
0.9728,0.00871444,0.0085094
0.9984,0.00827553,0.0080897
1.024,0.00785777,0.00768986
1.0496,0.00746045,0.00730925
1.0752,0.00708287,0.00694721
1.1008,0.00672427,0.00660307
1.1264,0.00638392,0.00627613
1.152,0.00606109,0.00596572
1.1776,0.00575503,0.00567116
1.2032,0.00546501,0.00539177
1.2288,0.0051903,0.00512688
1.2544,0.00493022,0.00487584
1.28,0.00468405,0.004638
