phi,Alice,CMS
-1.28,0.00289036,0.00287567
-1.2544,0.0030267,0.00300635
-1.2288,0.0031705,0.00314401
-1.2032,0.00332215,0.00328901
-1.1776,0.00348204,0.00344171
-1.152,0.00365061,0.00360251
-1.1264,0.00382828,0.00377179
-1.1008,0.00401549,0.00394995
-1.0752,0.0042127,0.00413742
-1.0496,0.00442036,0.00433462
-1.024,0.00463896,0.00454197
-0.9984,0.00486896,0.00475991
-0.9728,0.00511085,0.00498887
-0.9472,0.00536509,0.00522927
-0.9216,0.00563215,0.00548156
-0.896,0.00591249,0.00574613
-0.8704,0.00620656,0.00602339
-0.8448,0.00651475,0.00631371
-0.8192,0.00683746,0.00661743
-0.7936,0.00717503,0.00693485
-0.768,0.00752774,0.00726625
-0.7424,0.00789583,0.00761181
-0.7168,0.00827945,0.00797167
-0.6912,0.00867865,0.00834588
-0.6656,0.00909341,0.00873439
-0.64,0.00952356,0.00913704
-0.6144,0.00996879,0.00955354
-0.5888,0.0104287,0.00998345
-0.5632,0.0109025,0.0104262
-0.5376,0.0113895,0.0108809
-0.512,0.0118885,0.0113467
-0.4864,0.0123983,0.0118223
-0.4608,0.0129173,0.0123062
-0.4352,0.0134435,0.0127966
-0.4096,0.0139747,0.0132916
-0.384,0.0145084,0.0137887
-0.3584,0.0150416,0.0142852
-0.3328,0.0155711,0.014778
-0.3072,0.016093,0.0152637
-0.2816,0.0166033,0.0157385
-0.256,0.0170974,0.0161981
-0.2304,0.0175705,0.0166381
-0.2048,0.0180171,0.0170534
-0.1792,0.0184316,0.017439
-0.1536,0.0188083,0.0177892
-0.128,0.019141,0.0180985
-0.1024,0.0194237,0.0183614
-0.0768,0.0196508,0.0185726
-0.0512,0.0198173,0.0187274
-0.0256,0.0199189,0.0188219
-6.245e-17,0.0199531,0.0188536
0.0256,0.0199189,0.0188219
0.0512,0.0198173,0.0187274
0.0768,0.0196508,0.0185726
0.1024,0.0194237,0.0183614
0.128,0.019141,0.0180985
0.1536,0.0188083,0.0177892
0.1792,0.0184316,0.017439
0.2048,0.0180171,0.0170534
0.2304,0.0175705,0.0166381
0.256,0.0170974,0.0161981
0.2816,0.0166033,0.0157385
0.3072,0.016093,0.0152637
0.3328,0.0155711,0.014778
0.3584,0.0150416,0.0142852
0.384,0.0145084,0.0137887
0.4096,0.0139747,0.0132916
0.4352,0.0134435,0.0127966
0.4608,0.0129173,0.0123062
0.4864,0.0123983,0.0118223
0.512,0.0118885,0.0113467
0.5376,0.0113895,0.0108809
0.5632,0.0109025,0.0104262
0.5888,0.0104287,0.00998345
0.6144,0.00996879,0.00955354
0.64,0.00952356,0.00913704
0.6656,0.00909341,0.00873439
0.6912,0.00867865,0.00834588
0.7168,0.00827945,0.00797167
0.7424,0.00789583,0.00761181
0.768,0.00752774,0.00726625
0.7936,0.00717503,0.00693485
0.8192,0.00683746,0.00661743
0.8448,0.00651475,0.00631371
0.8704,0.00620656,0.00602339
0.896,0.00591249,0.00574613
0.9216,0.00563215,0.00548156
0.9472,0.00536509,0.00522927
0.9728,0.00511085,0.00498887
0.9984,0.00486896,0.00475991
1.024,0.00463896,0.00454197
1.0496,0.00442036,0.00433462
1.0752,0.0042127,0.00413742
1.1008,0.00401549,0.00394995
1.1264,0.00382828,0.00377179
1.152,0.00365061,0.00360251
1.1776,0.00348204,0.00344171
1.2032,0.00332215,0.00328901
1.2288,0.0031705,0.00314401
1.2544,0.0030267,0.00300635
1.28,0.00289036,0.00287567
