phi,Alice,CMS
-1.28,0.00288646,0.002872
-1.2544,0.00302258,0.00300247
-1.2288,0.00316616,0.00313992
-1.2032,0.00331757,0.00328468
-1.1776,0.00347721,0.00343715
-1.152,0.00364552,0.00359769
-1.1264,0.00382291,0.0037667
-1.1008,0.00400984,0.00394459
-1.0752,0.00420674,0.00413177
-1.0496,0.0044141,0.00432867
-1.024,0.00463237,0.00453571
-0.9984,0.00486204,0.00475332
-0.9728,0.00510357,0.00498194
-0.9472,0.00535745,0.005222
-0.9216,0.00562415,0.00547392
-0.896,0.00590411,0.00573812
-0.8704,0.00619778,0.006015
-0.8448,0.00650558,0.00630493
-0.8192,0.00682789,0.00660826
-0.7936,0.00716505,0.00692529
-0.768,0.00751736,0.00725629
-0.7424,0.00788504,0.00760145
-0.7168,0.00826825,0.00796092
-0.6912,0.00866706,0.00833474
-0.6656,0.00908144,0.00872287
-0.64,0.00951122,0.00912515
-0.6144,0.00995611,0.00954131
-0.5888,0.0104157,0.0099709
-0.5632,0.0108892,0.0104133
-0.5376,0.0113759,0.0108678
-0.512,0.0118748,0.0113334
-0.4864,0.0123844,0.0118088
-0.4608,0.0129033,0.0122926
-0.4352,0.0134295,0.012783
-0.4096,0.0139607,0.013278
-0.384,0.0144946,0.0137752
-0.3584,0.015028,0.0142718
-0.3328,0.0155577,0.0147649
-0.3072,0.01608,0.0152509
-0.2816,0.0165908,0.0157261
-0.256,0.0170855,0.0161862
-0.2304,0.0175591,0.0166267
-0.2048,0.0180064,0.0170427
-0.1792,0.0184216,0.0174288
-0.1536,0.018799,0.0177797
-0.128,0.0191324,0.0180897
-0.1024,0.0194158,0.0183532
-0.0768,0.0196435,0.0185649
-0.0512,0.0198103,0.0187201
-0.0256,0.0199122,0.0188148
-6.245e-17,0.0199465,0.0188467
0.0256,0.0199122,0.0188148
0.0512,0.0198103,0.0187201
0.0768,0.0196435,0.0185649
0.1024,0.0194158,0.0183532
0.128,0.0191324,0.0180897
0.1536,0.018799,0.0177797
0.1792,0.0184216,0.0174288
0.2048,0.0180064,0.0170427
0.2304,0.0175591,0.0166267
0.256,0.0170855,0.0161862
0.2816,0.0165908,0.0157261
0.3072,0.01608,0.0152509
0.3328,0.0155577,0.0147649
0.3584,0.015028,0.0142718
0.384,0.0144946,0.0137752
0.4096,0.0139607,0.013278
0.4352,0.0134295,0.012783
0.4608,0.0129033,0.0122926
0.4864,0.0123844,0.0118088
0.512,0.0118748,0.0113334
0.5376,0.0113759,0.0108678
0.5632,0.0108892,0.0104133
0.5888,0.0104157,0.0099709
0.6144,0.00995611,0.00954131
0.64,0.00951122,0.00912515
0.6656,0.00908144,0.00872287
0.6912,0.00866706,0.00833474
0.7168,0.00826825,0.00796092
0.7424,0.00788504,0.00760145
0.768,0.00751736,0.00725629
0.7936,0.00716505,0.00692529
0.8192,0.00682789,0.00660826
0.8448,0.00650558,0.00630493
0.8704,0.00619778,0.006015
0.896,0.00590411,0.00573812
0.9216,0.00562415,0.00547392
0.9472,0.00535745,0.005222
0.9728,0.00510357,0.00498194
0.9984,0.00486204,0.00475332
1.024,0.00463237,0.00453571
1.0496,0.0044141,0.00432867
1.0752,0.00420674,0.00413177
1.1008,0.00400984,0.00394459
1.1264,0.00382291,0.0037667
1.152,0.00364552,0.00359769
1.1776,0.00347721,0.00343715
1.2032,0.00331757,0.00328468
1.2288,0.00316616,0.00313992
1.2544,0.00302258,0.00300247
1.28,0.00288646,0.002872
