phi,ALICE,CMS
-1.28,0.00567469,0.00560712
-1.2544,0.00593945,0.00586119
-1.2288,0.00621783,0.00612806
-1.2032,0.00651042,0.00640827
-1.1776,0.00681785,0.00670241
-1.152,0.00714073,0.00701103
-1.1264,0.0074797,0.00733471
-1.1008,0.00783539,0.00767404
-1.0752,0.00820842,0.00802959
-1.0496,0.00859943,0.00840192
-1.024,0.00900902,0.00879159
-0.9984,0.0094378,0.00919914
-0.9728,0.00988632,0.00962509
-0.9472,0.0103551,0.0100699
-0.9216,0.0108447,0.0105341
-0.896,0.0113556,0.011018
-0.8704,0.0118881,0.0115219
-0.8448,0.0124425,0.0120462
-0.8192,0.0130191,0.0125911
-0.7936,0.013618,0.0131566
-0.768,0.0142393,0.0137427
-0.7424,0.0148828,0.0143494
-0.7168,0.0155482,0.0149763
-0.6912,0.0162352,0.0156231
-0.6656,0.0169432,0.0162891
-0.64,0.0176713,0.0169737
-0.6144,0.0184184,0.0176757
-0.5888,0.0191834,0.018394
-0.5632,0.0199646,0.0191272
-0.5376,0.0207602,0.0198733
-0.512,0.021568,0.0206306
-0.4864,0.0223854,0.0213965
-0.4608,0.0232097,0.0221684
-0.4352,0.0240376,0.0229432
-0.4096,0.0248653,0.0237177
-0.384,0.0256889,0.0244879
-0.3584,0.0265039,0.0252498
-0.3328,0.0273053,0.0259988
-0.3072,0.028088,0.0267299
-0.2816,0.028846,0.0274378
-0.256,0.0295733,0.0281169
-0.2304,0.0302634,0.028761
-0.2048,0.0309093,0.0293639
-0.1792,0.0315041,0.0299189
-0.1536,0.0320404,0.0304192
-0.128,0.0325108,0.030858
-0.1024,0.0329081,0.0312286
-0.0768,0.0332257,0.0315248
-0.0512,0.0334574,0.0317409
-0.0256,0.0335985,0.0318725
-6.245e-17,0.0336459,0.0319167
0.0256,0.0335985,0.0318725
0.0512,0.0334574,0.0317409
0.0768,0.0332257,0.0315248
0.1024,0.0329081,0.0312286
0.128,0.0325108,0.030858
0.1536,0.0320404,0.0304192
0.1792,0.0315041,0.0299189
0.2048,0.0309093,0.0293639
0.2304,0.0302634,0.028761
0.256,0.0295733,0.0281169
0.2816,0.028846,0.0274378
0.3072,0.028088,0.0267299
0.3328,0.0273053,0.0259988
0.3584,0.0265039,0.0252498
0.384,0.0256889,0.0244879
0.4096,0.0248653,0.0237177
0.4352,0.0240376,0.0229432
0.4608,0.0232097,0.0221684
0.4864,0.0223854,0.0213965
0.512,0.021568,0.0206306
0.5376,0.0207602,0.0198733
0.5632,0.0199646,0.0191272
0.5888,0.0191834,0.018394
0.6144,0.0184184,0.0176757
0.64,0.0176713,0.0169737
0.6656,0.0169432,0.0162891
0.6912,0.0162352,0.0156231
0.7168,0.0155482,0.0149763
0.7424,0.0148828,0.0143494
0.768,0.0142393,0.0137427
0.7936,0.013618,0.0131566
0.8192,0.0130191,0.0125911
0.8448,0.0124425,0.0120462
0.8704,0.0118881,0.0115219
0.896,0.0113556,0.011018
0.9216,0.0108447,0.0105341
0.9472,0.0103551,0.0100699
0.9728,0.00988632,0.00962509
0.9984,0.0094378,0.00919914
1.024,0.00900902,0.00879159
1.0496,0.00859943,0.00840192
1.0752,0.00820842,0.00802959
1.1008,0.00783539,0.00767404
1.1264,0.0074797,0.00733471
1.152,0.00714073,0.00701103
1.1776,0.00681785,0.00670241
1.2032,0.00651042,0.00640827
1.2288,0.00621783,0.00612806
1.2544,0.00593945,0.00586119
1.28,0.00567469,0.00560712
