phi,Alice,CMS
-1.28,0.00226433,0.00226186
-1.2544,0.00237946,0.00237268
-1.2288,0.0025014,0.00248989
-1.2032,0.00263054,0.00261386
-1.1776,0.0027673,0.00274498
-1.152,0.00291211,0.00288364
-1.1264,0.00306543,0.00303026
-1.1008,0.00322772,0.00318528
-1.0752,0.00339949,0.00334914
-1.0496,0.00358124,0.00352232
-1.024,0.00377349,0.00370529
-0.9984,0.00397679,0.00389855
-0.9728,0.00419169,0.00410261
-0.9472,0.00441874,0.00431797
-0.9216,0.00465852,0.00454516
-0.896,0.0049116,0.0047847
-0.8704,0.00517854,0.0050371
-0.8448,0.0054599,0.00530288
-0.8192,0.00575622,0.00558252
-0.7936,0.00606803,0.0058765
-0.768,0.00639581,0.00618526
-0.7424,0.00674001,0.0065092
-0.7168,0.007101,0.00684866
-0.6912,0.0074791,0.00720393
-0.6656,0.00787453,0.0075752
-0.64,0.00828742,0.00796257
-0.6144,0.00871777,0.00836604
-0.5888,0.00916541,0.00878544
-0.5632,0.00963001,0.00922047
-0.5376,0.0101111,0.00967062
-0.512,0.0106078,0.0101352
-0.4864,0.0111192,0.0106132
-0.4608,0.0116439,0.0111035
-0.4352,0.0121804,0.0116045
-0.4096,0.0127266,0.0121144
-0.384,0.01328,0.0126309
-0.3584,0.013838,0.0131514
-0.3328,0.0143971,0.0136728
-0.3072,0.0149535,0.0141917
-0.2816,0.015503,0.0147038
-0.256,0.0160404,0.0152048
-0.2304,0.0165604,0.0156893
-0.2048,0.0170568,0.0161519
-0.1792,0.0175228,0.0165861
-0.1536,0.0179512,0.0169852
-0.128,0.0183341,0.017342
-0.1024,0.0186634,0.0176489
-0.0768,0.0189309,0.0178982
-0.0512,0.0191289,0.0180826
-0.0256,0.0192507,0.0181961
-6.245e-17,0.0192918,0.0182344
0.0256,0.0192507,0.0181961
0.0512,0.0191289,0.0180826
0.0768,0.0189309,0.0178982
0.1024,0.0186634,0.0176489
0.128,0.0183341,0.017342
0.1536,0.0179512,0.0169852
0.1792,0.0175228,0.0165861
0.2048,0.0170568,0.0161519
0.2304,0.0165604,0.0156893
0.256,0.0160404,0.0152048
0.2816,0.015503,0.0147038
0.3072,0.0149535,0.0141917
0.3328,0.0143971,0.0136728
0.3584,0.013838,0.0131514
0.384,0.01328,0.0126309
0.4096,0.0127266,0.0121144
0.4352,0.0121804,0.0116045
0.4608,0.0116439,0.0111035
0.4864,0.0111192,0.0106132
0.512,0.0106078,0.0101352
0.5376,0.0101111,0.00967062
0.5632,0.00963001,0.00922047
0.5888,0.00916541,0.00878544
0.6144,0.00871777,0.00836604
0.64,0.00828742,0.00796257
0.6656,0.00787453,0.0075752
0.6912,0.0074791,0.00720393
0.7168,0.007101,0.00684866
0.7424,0.00674001,0.0065092
0.768,0.00639581,0.00618526
0.7936,0.00606803,0.0058765
0.8192,0.00575622,0.00558252
0.8448,0.0054599,0.00530288
0.8704,0.00517854,0.0050371
0.896,0.0049116,0.0047847
0.9216,0.00465852,0.00454516
0.9472,0.00441874,0.00431797
0.9728,0.00419169,0.00410261
0.9984,0.00397679,0.00389855
1.024,0.00377349,0.00370529
1.0496,0.00358124,0.00352232
1.0752,0.00339949,0.00334914
1.1008,0.00322772,0.00318528
1.1264,0.00306543,0.00303026
1.152,0.00291211,0.00288364
1.1776,0.0027673,0.00274498
1.2032,0.00263054,0.00261386
1.2288,0.0025014,0.00248989
1.2544,0.00237946,0.00237268
1.28,0.00226433,0.00226186
