phi,ALICE,CMS
-1.28,0.000610373,0.000599034
-1.2544,0.000640387,0.000628018
-1.2288,0.000671876,0.000658407
-1.2032,0.000704892,0.000690248
-1.1776,0.000739481,0.000723586
-1.152,0.00077569,0.000758464
-1.1264,0.000813564,0.000794922
-1.1008,0.000853142,0.000832996
-1.0752,0.000894461,0.000872722
-1.0496,0.000937553,0.000914127
-1.024,0.000982444,0.000957236
-0.9984,0.00102916,0.00100207
-0.9728,0.0010777,0.00104863
-0.9472,0.00112808,0.00109693
-0.9216,0.0011803,0.00114695
-0.896,0.00123433,0.0011987
-0.8704,0.00129016,0.00125213
-0.8448,0.00134774,0.00130721
-0.8192,0.00140703,0.0013639
-0.7936,0.00146796,0.00142212
-0.768,0.00153045,0.00148181
-0.7424,0.0015944,0.00154286
-0.7168,0.0016597,0.00160517
-0.6912,0.00172622,0.00166861
-0.6656,0.0017938,0.00173305
-0.64,0.00186228,0.00179831
-0.6144,0.00193147,0.00186422
-0.5888,0.00200116,0.00193058
-0.5632,0.00207113,0.00199718
-0.5376,0.00214113,0.00206379
-0.512,0.0022109,0.00213016
-0.4864,0.00228016,0.00219602
-0.4608,0.00234862,0.00226109
-0.4352,0.00241598,0.0023251
-0.4096,0.0024819,0.00238772
-0.384,0.00254607,0.00244867
-0.3584,0.00260815,0.00250762
-0.3328,0.00266781,0.00256425
-0.3072,0.00272471,0.00261825
-0.2816,0.00277852,0.00266931
-0.256,0.00282892,0.00271712
-0.2304,0.00287559,0.00276139
-0.2048,0.00291823,0.00280183
-0.1792,0.00295657,0.00283819
-0.1536,0.00299036,0.00287022
-0.128,0.00301935,0.00289771
-0.1024,0.00304336,0.00292047
-0.0768,0.00306221,0.00293834
-0.0512,0.00307577,0.0029512
-0.0256,0.00308395,0.00295895
-6.245e-17,0.00308668,0.00296154
0.0256,0.00308395,0.00295895
0.0512,0.00307577,0.0029512
0.0768,0.00306221,0.00293834
0.1024,0.00304336,0.00292047
0.128,0.00301935,0.00289771
0.1536,0.00299036,0.00287022
0.1792,0.00295657,0.00283819
0.2048,0.00291823,0.00280183
0.2304,0.00287559,0.00276139
0.256,0.00282892,0.00271712
0.2816,0.00277852,0.00266931
0.3072,0.00272471,0.00261825
0.3328,0.00266781,0.00256425
0.3584,0.00260815,0.00250762
0.384,0.00254607,0.00244867
0.4096,0.0024819,0.00238772
0.4352,0.00241598,0.0023251
0.4608,0.00234862,0.00226109
0.4864,0.00228016,0.00219602
0.512,0.0022109,0.00213016
0.5376,0.00214113,0.00206379
0.5632,0.00207113,0.00199718
0.5888,0.00200116,0.00193058
0.6144,0.00193147,0.00186422
0.64,0.00186228,0.00179831
0.6656,0.0017938,0.00173305
0.6912,0.00172622,0.00166861
0.7168,0.0016597,0.00160517
0.7424,0.0015944,0.00154286
0.768,0.00153045,0.00148181
0.7936,0.00146796,0.00142212
0.8192,0.00140703,0.0013639
0.8448,0.00134774,0.00130721
0.8704,0.00129016,0.00125213
0.896,0.00123433,0.0011987
0.9216,0.0011803,0.00114695
0.9472,0.00112808,0.00109693
0.9728,0.0010777,0.00104863
0.9984,0.00102916,0.00100207
1.024,0.000982444,0.000957236
1.0496,0.000937553,0.000914127
1.0752,0.000894461,0.000872722
1.1008,0.000853142,0.000832996
1.1264,0.000813564,0.000794922
1.152,0.00077569,0.000758464
1.1776,0.000739481,0.000723586
1.2032,0.000704892,0.000690248
1.2288,0.000671876,0.000658407
1.2544,0.000640387,0.000628018
1.28,0.000610373,0.000599034
