phi,Alice,CMS
-1.28,0.00263438,0.00262502
-1.2544,0.00276703,0.00275309
-1.2288,0.0029072,0.00288827
-1.2032,0.00305528,0.0030309
-1.1776,0.00321168,0.00318139
-1.152,0.00337682,0.0033401
-1.1264,0.00355113,0.00350745
-1.1008,0.00373506,0.00368384
-1.0752,0.00392906,0.00386969
-1.0496,0.00413359,0.00406541
-1.024,0.00434911,0.00427144
-0.9984,0.00457607,0.00448819
-0.9728,0.00481494,0.00471608
-0.9472,0.00506617,0.00495552
-0.9216,0.00533019,0.00520692
-0.896,0.00560743,0.00547065
-0.8704,0.00589827,0.00574708
-0.8448,0.00620308,0.00603651
-0.8192,0.00652217,0.00633925
-0.7936,0.00685582,0.00665553
-0.768,0.00720422,0.00698552
-0.7424,0.00756751,0.00732934
-0.7168,0.00794573,0.00768701
-0.6912,0.00833882,0.00805846
-0.6656,0.0087466,0.00844352
-0.64,0.00916877,0.00884189
-0.6144,0.00960486,0.00925312
-0.5888,0.0100542,0.00967661
-0.5632,0.0105161,0.0101116
-0.5376,0.0109893,0.0105571
-0.512,0.0114728,0.0110119
-0.4864,0.0119649,0.0114745
-0.4608,0.0124639,0.0119435
-0.4352,0.0129676,0.0124167
-0.4096,0.0134738,0.012892
-0.384,0.0139798,0.0133668
-0.3584,0.0144824,0.0138385
-0.3328,0.0149785,0.0143037
-0.3072,0.0154644,0.0147592
-0.2816,0.015936,0.0152013
-0.256,0.0163892,0.0156259
-0.2304,0.0168194,0.016029
-0.2048,0.0172221,0.0164062
-0.1792,0.0175924,0.016753
-0.1536,0.0179257,0.017065
-0.128,0.0182172,0.017338
-0.1024,0.0184626,0.0175677
-0.0768,0.0186581,0.0177507
-0.0512,0.0188002,0.0178837
-0.0256,0.0188865,0.0179645
-6.245e-17,0.0189155,0.0179916
0.0256,0.0188865,0.0179645
0.0512,0.0188002,0.0178837
0.0768,0.0186581,0.0177507
0.1024,0.0184626,0.0175677
0.128,0.0182172,0.017338
0.1536,0.0179257,0.017065
0.1792,0.0175924,0.016753
0.2048,0.0172221,0.0164062
0.2304,0.0168194,0.016029
0.256,0.0163892,0.0156259
0.2816,0.015936,0.0152013
0.3072,0.0154644,0.0147592
0.3328,0.0149785,0.0143037
0.3584,0.0144824,0.0138385
0.384,0.0139798,0.0133668
0.4096,0.0134738,0.012892
0.4352,0.0129676,0.0124167
0.4608,0.0124639,0.0119435
0.4864,0.0119649,0.0114745
0.512,0.0114728,0.0110119
0.5376,0.0109893,0.0105571
0.5632,0.0105161,0.0101116
0.5888,0.0100542,0.00967661
0.6144,0.00960486,0.00925312
0.64,0.00916877,0.00884189
0.6656,0.0087466,0.00844352
0.6912,0.00833882,0.00805846
0.7168,0.00794573,0.00768701
0.7424,0.00756751,0.00732934
0.768,0.00720422,0.00698552
0.7936,0.00685582,0.00665553
0.8192,0.00652217,0.00633925
0.8448,0.00620308,0.00603651
0.8704,0.00589827,0.00574708
0.896,0.00560743,0.00547065
0.9216,0.00533019,0.00520692
0.9472,0.00506617,0.00495552
0.9728,0.00481494,0.00471608
0.9984,0.00457607,0.00448819
1.024,0.00434911,0.00427144
1.0496,0.00413359,0.00406541
1.0752,0.00392906,0.00386969
1.1008,0.00373506,0.00368384
1.1264,0.00355113,0.00350745
1.152,0.00337682,0.0033401
1.1776,0.00321168,0.00318139
1.2032,0.00305528,0.0030309
1.2288,0.0029072,0.00288827
1.2544,0.00276703,0.00275309
1.28,0.00263438,0.00262502
