phi,ALICE,CMS
-1.28,0.00472323,0.00468834
-1.2544,0.00495829,0.00491579
-1.2288,0.00520595,0.0051552
-1.2032,0.00546679,0.00540711
-1.1776,0.0057414,0.00567206
-1.152,0.00603036,0.0059506
-1.1264,0.00633428,0.00624328
-1.1008,0.00665375,0.00655065
-1.0752,0.00698938,0.00687327
-1.0496,0.00734173,0.00721166
-1.024,0.0077114,0.00756636
-0.9984,0.00809894,0.00793788
-0.9728,0.00850487,0.00832669
-0.9472,0.00892968,0.00873324
-0.9216,0.00937384,0.00915794
-0.896,0.00983775,0.00960115
-0.8704,0.0103217,0.0100632
-0.8448,0.0108261,0.0105442
-0.8192,0.0113509,0.0110444
-0.7936,0.0118964,0.0115639
-0.768,0.0124624,0.0121025
-0.7424,0.0130488,0.0126602
-0.7168,0.0136553,0.0132365
-0.6912,0.0142814,0.013831
-0.6656,0.0149265,0.014443
-0.64,0.0155896,0.0150718
-0.6144,0.0162697,0.0157163
-0.5888,0.0169655,0.0163752
-0.5632,0.0176753,0.017047
-0.5376,0.0183974,0.01773
-0.512,0.0191294,0.018422
-0.4864,0.019869,0.0191207
-0.4608,0.0206133,0.0198236
-0.4352,0.0213591,0.0205275
-0.4096,0.022103,0.0212292
-0.384,0.022841,0.0219251
-0.3584,0.0235689,0.0226112
-0.3328,0.0242821,0.0232832
-0.3072,0.0249758,0.0239364
-0.2816,0.0256446,0.0245661
-0.256,0.0262831,0.025167
-0.2304,0.0268855,0.0257338
-0.2048,0.0274461,0.0262611
-0.1792,0.0279589,0.0267433
-0.1536,0.0284181,0.0271751
-0.128,0.0288181,0.027551
-0.1024,0.0291536,0.0278664
-0.0768,0.0294199,0.0281166
-0.0512,0.0296131,0.0282982
-0.0256,0.0297303,0.0284083
-6.245e-17,0.0297696,0.0284452
0.0256,0.0297303,0.0284083
0.0512,0.0296131,0.0282982
0.0768,0.0294199,0.0281166
0.1024,0.0291536,0.0278664
0.128,0.0288181,0.027551
0.1536,0.0284181,0.0271751
0.1792,0.0279589,0.0267433
0.2048,0.0274461,0.0262611
0.2304,0.0268855,0.0257338
0.256,0.0262831,0.025167
0.2816,0.0256446,0.0245661
0.3072,0.0249758,0.0239364
0.3328,0.0242821,0.0232832
0.3584,0.0235689,0.0226112
0.384,0.022841,0.0219251
0.4096,0.022103,0.0212292
0.4352,0.0213591,0.0205275
0.4608,0.0206133,0.0198236
0.4864,0.019869,0.0191207
0.512,0.0191294,0.018422
0.5376,0.0183974,0.01773
0.5632,0.0176753,0.017047
0.5888,0.0169655,0.0163752
0.6144,0.0162697,0.0157163
0.64,0.0155896,0.0150718
0.6656,0.0149265,0.014443
0.6912,0.0142814,0.013831
0.7168,0.0136553,0.0132365
0.7424,0.0130488,0.0126602
0.768,0.0124624,0.0121025
0.7936,0.0118964,0.0115639
0.8192,0.0113509,0.0110444
0.8448,0.0108261,0.0105442
0.8704,0.0103217,0.0100632
0.896,0.00983775,0.00960115
0.9216,0.00937384,0.00915794
0.9472,0.00892968,0.00873324
0.9728,0.00850487,0.00832669
0.9984,0.00809894,0.00793788
1.024,0.0077114,0.00756636
1.0496,0.00734173,0.00721166
1.0752,0.00698938,0.00687327
1.1008,0.00665375,0.00655065
1.1264,0.00633428,0.00624328
1.152,0.00603036,0.0059506
1.1776,0.0057414,0.00567206
1.2032,0.00546679,0.00540711
1.2288,0.00520595,0.0051552
1.2544,0.00495829,0.00491579
1.28,0.00472323,0.00468834
