phi,Alice,CMS
-1.28,0.00235372,0.0023436
-1.2544,0.00247863,0.00246411
-1.2288,0.00261103,0.0025917
-1.2032,0.00275135,0.00272676
-1.1776,0.00290004,0.0028697
-1.152,0.00305756,0.00302095
-1.1264,0.00322439,0.00318096
-1.1008,0.00340104,0.00335019
-1.0752,0.00358802,0.00352911
-1.0496,0.00378585,0.00371821
-1.024,0.00399507,0.00391798
-0.9984,0.00421624,0.00412892
-0.9728,0.00444989,0.00435154
-0.9472,0.00469659,0.00458636
-0.9216,0.00495689,0.00483386
-0.896,0.00523132,0.00509454
-0.8704,0.00552041,0.00536889
-0.8448,0.00582466,0.00565734
-0.8192,0.00614453,0.00596034
-0.7936,0.00648045,0.00627826
-0.768,0.0068328,0.00661143
-0.7424,0.00720187,0.00696013
-0.7168,0.00758789,0.00732454
-0.6912,0.00799098,0.00770477
-0.6656,0.00841115,0.00810082
-0.64,0.00884827,0.00851255
-0.6144,0.00930206,0.00893968
-0.5888,0.00977206,0.00938177
-0.5632,0.0102576,0.00983819
-0.5376,0.0107578,0.0103081
-0.512,0.0112715,0.0107904
-0.4864,0.0117972,0.0112838
-0.4608,0.0123333,0.0117865
-0.4352,0.0128776,0.0122968
-0.4096,0.0134277,0.0128123
-0.384,0.0139808,0.0133304
-0.3584,0.0145336,0.013848
-0.3328,0.0150825,0.0143618
-0.3072,0.0156235,0.014868
-0.2816,0.016152,0.0153623
-0.256,0.0166631,0.0158403
-0.2304,0.0171515,0.016297
-0.2048,0.0176116,0.0167271
-0.1792,0.0180376,0.0171252
-0.1536,0.0184233,0.0174857
-0.128,0.0187629,0.017803
-0.1024,0.0190503,0.0180715
-0.0768,0.0192804,0.0182865
-0.0512,0.0194484,0.0184434
-0.0256,0.0195507,0.018539
-6.245e-17,0.0195851,0.0185711
0.0256,0.0195507,0.018539
0.0512,0.0194484,0.0184434
0.0768,0.0192804,0.0182865
0.1024,0.0190503,0.0180715
0.128,0.0187629,0.017803
0.1536,0.0184233,0.0174857
0.1792,0.0180376,0.0171252
0.2048,0.0176116,0.0167271
0.2304,0.0171515,0.016297
0.256,0.0166631,0.0158403
0.2816,0.016152,0.0153623
0.3072,0.0156235,0.014868
0.3328,0.0150825,0.0143618
0.3584,0.0145336,0.013848
0.384,0.0139808,0.0133304
0.4096,0.0134277,0.0128123
0.4352,0.0128776,0.0122968
0.4608,0.0123333,0.0117865
0.4864,0.0117972,0.0112838
0.512,0.0112715,0.0107904
0.5376,0.0107578,0.0103081
0.5632,0.0102576,0.00983819
0.5888,0.00977206,0.00938177
0.6144,0.00930206,0.00893968
0.64,0.00884827,0.00851255
0.6656,0.00841115,0.00810082
0.6912,0.00799098,0.00770477
0.7168,0.00758789,0.00732454
0.7424,0.00720187,0.00696013
0.768,0.0068328,0.00661143
0.7936,0.00648045,0.00627826
0.8192,0.00614453,0.00596034
0.8448,0.00582466,0.00565734
0.8704,0.00552041,0.00536889
0.896,0.00523132,0.00509454
0.9216,0.00495689,0.00483386
0.9472,0.00469659,0.00458636
0.9728,0.00444989,0.00435154
0.9984,0.00421624,0.00412892
1.024,0.00399507,0.00391798
1.0496,0.00378585,0.00371821
1.0752,0.00358802,0.00352911
1.1008,0.00340104,0.00335019
1.1264,0.00322439,0.00318096
1.152,0.00305756,0.00302095
1.1776,0.00290004,0.0028697
1.2032,0.00275135,0.00272676
1.2288,0.00261103,0.0025917
1.2544,0.00247863,0.00246411
1.28,0.00235372,0.0023436
