phi,ALICE,CMS
-1.28,0.00154716,0.00152528
-1.2544,0.00162884,0.00160431
-1.2288,0.001715,0.0016876
-1.2032,0.00180584,0.00177533
-1.1776,0.00190154,0.00186771
-1.152,0.00200232,0.00196489
-1.1264,0.00210835,0.00206708
-1.1008,0.00221984,0.00217443
-1.0752,0.00233696,0.00228713
-1.0496,0.00245989,0.00240533
-1.024,0.00258879,0.00252919
-0.9984,0.00272382,0.00265884
-0.9728,0.00286511,0.0027944
-0.9472,0.00301278,0.00293598
-0.9216,0.0031669,0.00308366
-0.896,0.00332755,0.00323749
-0.8704,0.00349475,0.00339748
-0.8448,0.00366851,0.00356364
-0.8192,0.00384876,0.00373591
-0.7936,0.00403542,0.00391419
-0.768,0.00422834,0.00409835
-0.7424,0.00442733,0.00428818
-0.7168,0.00463211,0.00448343
-0.6912,0.00484237,0.0046838
-0.6656,0.00505771,0.00488889
-0.64,0.00527766,0.00509827
-0.6144,0.00550166,0.0053114
-0.5888,0.00572909,0.00552768
-0.5632,0.00595923,0.00574645
-0.5376,0.0061913,0.00596695
-0.512,0.0064244,0.00618834
-0.4864,0.00665759,0.00640972
-0.4608,0.00688981,0.00663009
-0.4352,0.00711996,0.00684842
-0.4096,0.00734685,0.00706359
-0.384,0.00756925,0.00727442
-0.3584,0.00778586,0.0074797
-0.3328,0.00799536,0.00767818
-0.3072,0.0081964,0.0078686
-0.2816,0.00838763,0.00804968
-0.256,0.0085677,0.00822016
-0.2304,0.0087353,0.00837879
-0.2048,0.00888916,0.00852439
-0.1792,0.00902807,0.00865582
-0.1536,0.00915092,0.00877205
-0.128,0.0092567,0.00887211
-0.1024,0.00934453,0.00895517
-0.0768,0.00941364,0.00902054
-0.0512,0.00946345,0.00906764
-0.0256,0.00949351,0.00909606
-6.245e-17,0.00950356,0.00910557
0.0256,0.00949351,0.00909606
0.0512,0.00946345,0.00906764
0.0768,0.00941364,0.00902054
0.1024,0.00934453,0.00895517
0.128,0.0092567,0.00887211
0.1536,0.00915092,0.00877205
0.1792,0.00902807,0.00865582
0.2048,0.00888916,0.00852439
0.2304,0.0087353,0.00837879
0.256,0.0085677,0.00822016
0.2816,0.00838763,0.00804968
0.3072,0.0081964,0.0078686
0.3328,0.00799536,0.00767818
0.3584,0.00778586,0.0074797
0.384,0.00756925,0.00727442
0.4096,0.00734685,0.00706359
0.4352,0.00711996,0.00684842
0.4608,0.00688981,0.00663009
0.4864,0.00665759,0.00640972
0.512,0.0064244,0.00618834
0.5376,0.0061913,0.00596695
0.5632,0.00595923,0.00574645
0.5888,0.00572909,0.00552768
0.6144,0.00550166,0.0053114
0.64,0.00527766,0.00509827
0.6656,0.00505771,0.00488889
0.6912,0.00484237,0.0046838
0.7168,0.00463211,0.00448343
0.7424,0.00442733,0.00428818
0.768,0.00422834,0.00409835
0.7936,0.00403542,0.00391419
0.8192,0.00384876,0.00373591
0.8448,0.00366851,0.00356364
0.8704,0.00349475,0.00339748
0.896,0.00332755,0.00323749
0.9216,0.0031669,0.00308366
0.9472,0.00301278,0.00293598
0.9728,0.00286511,0.0027944
0.9984,0.00272382,0.00265884
1.024,0.00258879,0.00252919
1.0496,0.00245989,0.00240533
1.0752,0.00233696,0.00228713
1.1008,0.00221984,0.00217443
1.1264,0.00210835,0.00206708
1.152,0.00200232,0.00196489
1.1776,0.00190154,0.00186771
1.2032,0.00180584,0.00177533
1.2288,0.001715,0.0016876
1.2544,0.00162884,0.00160431
1.28,0.00154716,0.00152528
