phi,Alice,CMS
-1.28,0.00279718,0.00276902
-1.2544,0.00293187,0.00289762
-1.2288,0.00307412,0.00303328
-1.2032,0.00322435,0.00317638
-1.1776,0.00338298,0.0033273
-1.152,0.00355045,0.00348644
-1.1264,0.00372722,0.00365424
-1.1008,0.00391376,0.00383112
-1.0752,0.00411055,0.00401751
-1.0496,0.00431809,0.00421388
-1.024,0.00453689,0.00442067
-0.9984,0.00476745,0.00463836
-0.9728,0.00501029,0.00486741
-0.9472,0.00526591,0.00510829
-0.9216,0.00553483,0.00536145
-0.896,0.00581753,0.00562734
-0.8704,0.0061145,0.00590639
-0.8448,0.00642617,0.00619899
-0.8192,0.00675295,0.00650553
-0.7936,0.00709522,0.00682632
-0.768,0.00745327,0.00716164
-0.7424,0.00782734,0.00751169
-0.7168,0.00821758,0.0078766
-0.6912,0.00862402,0.00825639
-0.6656,0.00904659,0.00865098
-0.64,0.00948505,0.00906015
-0.6144,0.00993903,0.00948353
-0.5888,0.0104079,0.00992058
-0.5632,0.010891,0.0103706
-0.5376,0.0113872,0.0108325
-0.512,0.0118951,0.0113052
-0.4864,0.0124133,0.0117872
-0.4608,0.0129398,0.0122767
-0.4352,0.0134724,0.0127716
-0.4096,0.0140084,0.0132696
-0.384,0.0145449,0.0137678
-0.3584,0.0150785,0.0142633
-0.3328,0.0156056,0.0147524
-0.3072,0.0161219,0.0152315
-0.2816,0.0166232,0.0156965
-0.256,0.0171046,0.016143
-0.2304,0.0175612,0.0165664
-0.2048,0.017988,0.0169622
-0.1792,0.01838,0.0173255
-0.1536,0.0187319,0.0176517
-0.128,0.0190392,0.0179365
-0.1024,0.0192973,0.0181757
-0.0768,0.0195024,0.0183658
-0.0512,0.0196514,0.0185038
-0.0256,0.0197417,0.0185875
-6.245e-17,0.019772,0.0186156
0.0256,0.0197417,0.0185875
0.0512,0.0196514,0.0185038
0.0768,0.0195024,0.0183658
0.1024,0.0192973,0.0181757
0.128,0.0190392,0.0179365
0.1536,0.0187319,0.0176517
0.1792,0.01838,0.0173255
0.2048,0.017988,0.0169622
0.2304,0.0175612,0.0165664
0.256,0.0171046,0.016143
0.2816,0.0166232,0.0156965
0.3072,0.0161219,0.0152315
0.3328,0.0156056,0.0147524
0.3584,0.0150785,0.0142633
0.384,0.0145449,0.0137678
0.4096,0.0140084,0.0132696
0.4352,0.0134724,0.0127716
0.4608,0.0129398,0.0122767
0.4864,0.0124133,0.0117872
0.512,0.0118951,0.0113052
0.5376,0.0113872,0.0108325
0.5632,0.010891,0.0103706
0.5888,0.0104079,0.00992058
0.6144,0.00993903,0.00948353
0.64,0.00948505,0.00906015
0.6656,0.00904659,0.00865098
0.6912,0.00862402,0.00825639
0.7168,0.00821758,0.0078766
0.7424,0.00782734,0.00751169
0.768,0.00745327,0.00716164
0.7936,0.00709522,0.00682632
0.8192,0.00675295,0.00650553
0.8448,0.00642617,0.00619899
0.8704,0.0061145,0.00590639
0.896,0.00581753,0.00562734
0.9216,0.00553483,0.00536145
0.9472,0.00526591,0.00510829
0.9728,0.00501029,0.00486741
0.9984,0.00476745,0.00463836
1.024,0.00453689,0.00442067
1.0496,0.00431809,0.00421388
1.0752,0.00411055,0.00401751
1.1008,0.00391376,0.00383112
1.1264,0.00372722,0.00365424
1.152,0.00355045,0.00348644
1.1776,0.00338298,0.0033273
1.2032,0.00322435,0.00317638
1.2288,0.00307412,0.00303328
1.2544,0.00293187,0.00289762
1.28,0.00279718,0.00276902
