phi,ALICE,CMS
-1.28,0.00402701,0.00396995
-1.2544,0.00423413,0.00416774
-1.2288,0.00445344,0.00437694
-1.2032,0.00468562,0.00459818
-1.1776,0.00493138,0.0048321
-1.152,0.00519146,0.00507937
-1.1264,0.0054666,0.0053407
-1.1008,0.00575758,0.00561679
-1.0752,0.0060652,0.00590836
-1.0496,0.00639026,0.00621616
-1.024,0.0067336,0.00654094
-0.9984,0.00709602,0.00688345
-0.9728,0.00747836,0.00724444
-0.9472,0.00788143,0.00762465
-0.9216,0.00830602,0.0080248
-0.896,0.0087529,0.00844559
-0.8704,0.00922279,0.00888766
-0.8448,0.00971635,0.00935162
-0.8192,0.0102342,0.009838
-0.7936,0.0107768,0.0103472
-0.768,0.0113446,0.0108797
-0.7424,0.0119378,0.0114356
-0.7168,0.0125566,0.012015
-0.6912,0.0132007,0.0126179
-0.6656,0.0138701,0.0132438
-0.64,0.014564,0.0138924
-0.6144,0.0152818,0.0145627
-0.5888,0.0160221,0.0152539
-0.5632,0.0167837,0.0159643
-0.5376,0.0175645,0.0166924
-0.512,0.0183623,0.0174359
-0.4864,0.0191743,0.0181924
-0.4608,0.0199974,0.0189588
-0.4352,0.0208278,0.0197317
-0.4096,0.0216612,0.0205071
-0.384,0.0224929,0.0212806
-0.3584,0.0233177,0.0220474
-0.3328,0.0241296,0.0228021
-0.3072,0.0249225,0.0235388
-0.2816,0.0256896,0.0242514
-0.256,0.026424,0.0249334
-0.2304,0.0271183,0.0255782
-0.2048,0.0277653,0.0261788
-0.1792,0.0283576,0.0267286
-0.1536,0.0288881,0.0272209
-0.128,0.0293501,0.0276496
-0.1024,0.0297373,0.0280089
-0.0768,0.0300445,0.0282939
-0.0512,0.0302672,0.0285005
-0.0256,0.0304022,0.0286258
-6.245e-17,0.0304474,0.0286677
0.0256,0.0304022,0.0286258
0.0512,0.0302672,0.0285005
0.0768,0.0300445,0.0282939
0.1024,0.0297373,0.0280089
0.128,0.0293501,0.0276496
0.1536,0.0288881,0.0272209
0.1792,0.0283576,0.0267286
0.2048,0.0277653,0.0261788
0.2304,0.0271183,0.0255782
0.256,0.026424,0.0249334
0.2816,0.0256896,0.0242514
0.3072,0.0249225,0.0235388
0.3328,0.0241296,0.0228021
0.3584,0.0233177,0.0220474
0.384,0.0224929,0.0212806
0.4096,0.0216612,0.0205071
0.4352,0.0208278,0.0197317
0.4608,0.0199974,0.0189588
0.4864,0.0191743,0.0181924
0.512,0.0183623,0.0174359
0.5376,0.0175645,0.0166924
0.5632,0.0167837,0.0159643
0.5888,0.0160221,0.0152539
0.6144,0.0152818,0.0145627
0.64,0.014564,0.0138924
0.6656,0.0138701,0.0132438
0.6912,0.0132007,0.0126179
0.7168,0.0125566,0.012015
0.7424,0.0119378,0.0114356
0.768,0.0113446,0.0108797
0.7936,0.0107768,0.0103472
0.8192,0.0102342,0.009838
0.8448,0.00971635,0.00935162
0.8704,0.00922279,0.00888766
0.896,0.0087529,0.00844559
0.9216,0.00830602,0.0080248
0.9472,0.00788143,0.00762465
0.9728,0.00747836,0.00724444
0.9984,0.00709602,0.00688345
1.024,0.0067336,0.00654094
1.0496,0.00639026,0.00621616
1.0752,0.0060652,0.00590836
1.1008,0.00575758,0.00561679
1.1264,0.0054666,0.0053407
1.152,0.00519146,0.00507937
1.1776,0.00493138,0.0048321
1.2032,0.00468562,0.00459818
1.2288,0.00445344,0.00437694
1.2544,0.00423413,0.00416774
1.28,0.00402701,0.00396995
