phi,d^2N/dphi
-1.28,0
-1.2544,0
-1.2288,0
-1.2032,0
-1.1776,0
-1.152,0
-1.1264,0
-1.1008,0
-1.0752,0
-1.0496,0
-1.024,1.3241e-321
-0.9984,5.65632e-317
-0.9728,1.51896e-312
-0.9472,3.12995e-308
-0.9216,4.94891e-304
-0.896,6.00429e-300
-0.8704,5.58974e-296
-0.8448,3.993e-292
-0.8192,2.18868e-288
-0.7936,9.20535e-285
-0.768,2.97078e-281
-0.7424,7.35654e-278
-0.7168,1.3978e-274
-0.6912,2.03792e-271
-0.6656,2.2798e-268
-0.64,1.95692e-265
-0.6144,1.28889e-262
-0.5888,6.51358e-260
-0.5632,2.52573e-257
-0.5376,7.51478e-255
-0.512,1.71556e-252
-0.4864,3.00507e-250
-0.4608,4.03889e-248
-0.4352,4.16511e-246
-0.4096,3.2957e-244
-0.384,2.00089e-242
-0.3584,9.3208e-241
-0.3328,3.33148e-239
-0.3072,9.13636e-238
-0.2816,1.92248e-236
-0.256,3.10385e-235
-0.2304,3.84495e-234
-0.2048,3.65453e-233
-0.1792,2.66514e-232
-0.1536,1.49128e-231
-0.128,6.40246e-231
-0.1024,2.10903e-230
-0.0768,5.33047e-230
-0.0512,1.03371e-229
-0.0256,1.53807e-229
-6.245e-17,1.75591e-229
0.0256,1.53807e-229
0.0512,1.03371e-229
0.0768,5.33047e-230
0.1024,2.10903e-230
0.128,6.40246e-231
0.1536,1.49128e-231
0.1792,2.66514e-232
0.2048,3.65453e-233
0.2304,3.84495e-234
0.256,3.10385e-235
0.2816,1.92248e-236
0.3072,9.13636e-238
0.3328,3.33148e-239
0.3584,9.3208e-241
0.384,2.00089e-242
0.4096,3.2957e-244
0.4352,4.16511e-246
0.4608,4.03889e-248
0.4864,3.00507e-250
0.512,1.71556e-252
0.5376,7.51478e-255
0.5632,2.52573e-257
0.5888,6.51358e-260
0.6144,1.28889e-262
0.64,1.95692e-265
0.6656,2.2798e-268
0.6912,2.03792e-271
0.7168,1.3978e-274
0.7424,7.35654e-278
0.768,2.97078e-281
0.7936,9.20535e-285
0.8192,2.18868e-288
0.8448,3.993e-292
0.8704,5.58974e-296
0.896,6.00429e-300
0.9216,4.94891e-304
0.9472,3.12995e-308
0.9728,1.51896e-312
0.9984,5.65632e-317
1.024,1.3241e-321
1.0496,0
1.0752,0
1.1008,0
1.1264,0
1.152,0
1.1776,0
1.2032,0
1.2288,0
1.2544,0
1.28,0
