phi,Alice,CMS,ATLAS
-1.28,0.00626047,0.00620102,0.0061194
-1.27147,0.00635386,0.00629074,0.0062078
-1.26293,0.0064488,0.00638192,0.00629764
-1.2544,0.00654532,0.00647459,0.00638893
-1.24587,0.00664344,0.00656875,0.0064817
-1.23733,0.00674317,0.00666444,0.00657597
-1.2288,0.00684456,0.00676167,0.00667177
-1.22027,0.00694761,0.00686047,0.0067691
-1.21173,0.00705235,0.00696086,0.006868
-1.2032,0.0071588,0.00706285,0.00696848
-1.19467,0.007267,0.00716648,0.00707057
-1.18613,0.00737695,0.00727176,0.00717429
-1.1776,0.0074887,0.00737872,0.00727966
-1.16907,0.00760225,0.00748737,0.0073867
-1.16053,0.00771764,0.00759774,0.00749543
-1.152,0.00783489,0.00770986,0.00760587
-1.14347,0.00795402,0.00782374,0.00771805
-1.13493,0.00807506,0.0079394,0.00783199
-1.1264,0.00819803,0.00805687,0.00794772
-1.11787,0.00832296,0.00817617,0.00806524
-1.10933,0.00844986,0.00829733,0.00818458
-1.1008,0.00857877,0.00842035,0.00830578
-1.09227,0.00870972,0.00854528,0.00842884
-1.08373,0.00884271,0.00867212,0.00855378
-1.0752,0.00897778,0.0088009,0.00868064
-1.06667,0.00911495,0.00893165,0.00880943
-1.05813,0.00925424,0.00906438,0.00894018
-1.0496,0.00939569,0.00919911,0.00907289
-1.04107,0.0095393,0.00933587,0.0092076
-1.03253,0.00968511,0.00947467,0.00934433
-1.024,0.00983313,0.00961555,0.0094831
-1.01547,0.0099834,0.00975851,0.00962391
-1.00693,0.0101359,0.00990357,0.00976681
-0.9984,0.0102907,0.0100508,0.0099118
-0.989867,0.0104479,0.0102001,0.0100589
-0.981333,0.0106073,0.0103516,0.0102081
-0.9728,0.0107691,0.0105053,0.0103595
-0.964267,0.0109333,0.0106612,0.0105131
-0.955733,0.0110998,0.0108193,0.0106688
-0.9472,0.0112688,0.0109797,0.0108268
-0.938667,0.0114401,0.0111423,0.010987
-0.930133,0.011614,0.0113072,0.0111494
-0.9216,0.0117902,0.0114744,0.011314
-0.913067,0.011969,0.0116438,0.011481
-0.904533,0.0121503,0.0118156,0.0116502
-0.896,0.012334,0.0119897,0.0118217
-0.887467,0.0125203,0.0121662,0.0119955
-0.878933,0.0127092,0.012345,0.0121716
-0.8704,0.0129005,0.0125262,0.0123501
-0.861867,0.0130945,0.0127097,0.0125309
-0.853333,0.013291,0.0128957,0.012714
-0.8448,0.0134901,0.013084,0.0128995
-0.836267,0.0136917,0.0132747,0.0130874
-0.827733,0.013896,0.0134678,0.0132776
-0.8192,0.0141029,0.0136633,0.0134702
-0.810667,0.0143123,0.0138613,0.0136651
-0.802133,0.0145244,0.0140616,0.0138625
-0.7936,0.0147391,0.0142644,0.0140622
-0.785067,0.0149564,0.0144695,0.0142643
-0.776533,0.0151763,0.0146771,0.0144688
-0.768,0.0153988,0.0148871,0.0146756
-0.759467,0.0156239,0.0150995,0.0148848
-0.750933,0.0158516,0.0153142,0.0150963
-0.7424,0.0160819,0.0155314,0.0153102
-0.733867,0.0163147,0.0157509,0.0155265
-0.725333,0.0165501,0.0159728,0.015745
-0.7168,0.016788,0.016197,0.0159659
-0.708267,0.0170285,0.0164235,0.016189
-0.699733,0.0172714,0.0166523,0.0164144
-0.6912,0.0175169,0.0168834,0.0166421
-0.682667,0.0177648,0.0171168,0.016872
-0.674133,0.0180151,0.0173524,0.0171041
-0.6656,0.0182678,0.0175902,0.0173384
-0.657067,0.0185229,0.0178302,0.0175748
-0.648533,0.0187803,0.0180723,0.0178133
-0.64,0.01904,0.0183165,0.0180538
-0.631467,0.0193019,0.0185628,0.0182965
-0.622933,0.019566,0.0188111,0.0185411
-0.6144,0.0198323,0.0190613,0.0187876
-0.605867,0.0201007,0.0193135,0.019036
-0.597333,0.0203711,0.0195675,0.0192863
-0.5888,0.0206435,0.0198234,0.0195384
-0.580267,0.0209179,0.020081,0.0197922
-0.571733,0.0211941,0.0203403,0.0200476
-0.5632,0.0214721,0.0206012,0.0203047
-0.554667,0.0217517,0.0208637,0.0205633
-0.546133,0.0220331,0.0211277,0.0208234
-0.5376,0.0223159,0.0213931,0.0210848
-0.529067,0.0226003,0.0216598,0.0213476
-0.520533,0.022886,0.0219277,0.0216116
-0.512,0.023173,0.0221968,0.0218767
-0.503467,0.0234611,0.0224669,0.0221429
-0.494933,0.0237504,0.022738,0.02241
-0.4864,0.0240406,0.02301,0.022678
-0.477867,0.0243316,0.0232827,0.0229467
-0.469333,0.0246234,0.023556,0.0232161
-0.4608,0.0249158,0.0238299,0.023486
-0.452267,0.0252087,0.0241042,0.0237562
-0.443733,0.0255019,0.0243787,0.0240268
-0.4352,0.0257953,0.0246534,0.0242975
-0.426667,0.0260887,0.0249281,0.0245682
-0.418133,0.0263821,0.0252027,0.0248388
-0.4096,0.0266752,0.025477,0.0251091
-0.401067,0.0269679,0.0257509,0.025379
-0.392533,0.02726,0.0260242,0.0256484
-0.384,0.0275514,0.0262968,0.025917
-0.375467,0.0278418,0.0265684,0.0261848
-0.366933,0.0281312,0.026839,0.0264515
-0.3584,0.0284192,0.0271084,0.0267169
-0.349867,0.0287057,0.0273763,0.026981
-0.341333,0.0289906,0.0276425,0.0272434
-0.3328,0.0292735,0.027907,0.0275041
-0.324267,0.0295543,0.0281695,0.0277628
