phi,ALICE,CMS
-1.28,0.00193966,0.00190978
-1.2544,0.00202837,0.00199513
-1.2288,0.00212138,0.00208456
-1.2032,0.00221886,0.00217821
-1.1776,0.00232097,0.00227622
-1.152,0.00242786,0.00237876
-1.1264,0.00253969,0.00248594
-1.1008,0.00265661,0.00259792
-1.0752,0.00277874,0.0027148
-1.0496,0.00290624,0.00283673
-1.024,0.0030392,0.00296379
-0.9984,0.00317774,0.00309608
-0.9728,0.00332194,0.00323369
-0.9472,0.00347186,0.00337666
-0.9216,0.00362757,0.00352504
-0.896,0.00378906,0.00367883
-0.8704,0.00395634,0.00383803
-0.8448,0.00412935,0.00400258
-0.8192,0.00430801,0.0041724
-0.7936,0.00449221,0.00434737
-0.768,0.00468176,0.00452733
-0.7424,0.00487646,0.00471206
-0.7168,0.00507603,0.00490131
-0.6912,0.00528014,0.00509476
-0.6656,0.00548839,0.00529203
-0.64,0.00570035,0.00549271
-0.6144,0.00591547,0.00569629
-0.5888,0.00613317,0.00590221
-0.5632,0.00635279,0.00610984
-0.5376,0.00657358,0.0063185
-0.512,0.00679475,0.00652743
-0.4864,0.00701541,0.00673579
-0.4608,0.00723463,0.0069427
-0.4352,0.00745138,0.00714722
-0.4096,0.0076646,0.00734834
-0.384,0.00787318,0.00754502
-0.3584,0.00807596,0.00773617
-0.3328,0.00827175,0.00792068
-0.3072,0.00845934,0.00809741
-0.2816,0.00863752,0.00826525
-0.256,0.0088051,0.00842305
-0.2304,0.00896089,0.00856972
-0.2048,0.00910376,0.00870421
-0.1792,0.00923264,0.00882551
-0.1536,0.00934653,0.00893269
-0.128,0.00944454,0.00902491
-0.1024,0.00952586,0.00910142
-0.0768,0.00958983,0.0091616
-0.0512,0.00963592,0.00920495
-0.0256,0.00966373,0.00923111
-6.245e-17,0.00967303,0.00923986
0.0256,0.00966373,0.00923111
0.0512,0.00963592,0.00920495
0.0768,0.00958983,0.0091616
0.1024,0.00952586,0.00910142
0.128,0.00944454,0.00902491
0.1536,0.00934653,0.00893269
0.1792,0.00923264,0.00882551
0.2048,0.00910376,0.00870421
0.2304,0.00896089,0.00856972
0.256,0.0088051,0.00842305
0.2816,0.00863752,0.00826525
0.3072,0.00845934,0.00809741
0.3328,0.00827175,0.00792068
0.3584,0.00807596,0.00773617
0.384,0.00787318,0.00754502
0.4096,0.0076646,0.00734834
0.4352,0.00745138,0.00714722
0.4608,0.00723463,0.0069427
0.4864,0.00701541,0.00673579
0.512,0.00679475,0.00652743
0.5376,0.00657358,0.0063185
0.5632,0.00635279,0.00610984
0.5888,0.00613317,0.00590221
0.6144,0.00591547,0.00569629
0.64,0.00570035,0.00549271
0.6656,0.00548839,0.00529203
0.6912,0.00528014,0.00509476
0.7168,0.00507603,0.00490131
0.7424,0.00487646,0.00471206
0.768,0.00468176,0.00452733
0.7936,0.00449221,0.00434737
0.8192,0.00430801,0.0041724
0.8448,0.00412935,0.00400258
0.8704,0.00395634,0.00383803
0.896,0.00378906,0.00367883
0.9216,0.00362757,0.00352504
0.9472,0.00347186,0.00337666
0.9728,0.00332194,0.00323369
0.9984,0.00317774,0.00309608
1.024,0.0030392,0.00296379
1.0496,0.00290624,0.00283673
1.0752,0.00277874,0.0027148
1.1008,0.00265661,0.00259792
1.1264,0.00253969,0.00248594
1.152,0.00242786,0.00237876
1.1776,0.00232097,0.00227622
1.2032,0.00221886,0.00217821
1.2288,0.00212138,0.00208456
1.2544,0.00202837,0.00199513
1.28,0.00193966,0.00190978
