phi,Alice,CMS
-1.28,0.000247874,0.000242799
-1.27147,0.000251431,0.000246225
-1.26293,0.00025504,0.000249699
-1.2544,0.0002587,0.000253222
-1.24587,0.000262412,0.000256795
-1.23733,0.000266176,0.000260417
-1.2288,0.000269994,0.00026409
-1.22027,0.000273865,0.000267813
-1.21173,0.00027779,0.000271587
-1.2032,0.000281769,0.000275413
-1.19467,0.000285802,0.00027929
-1.18613,0.000289891,0.000283219
-1.1776,0.000294035,0.000287201
-1.16907,0.000298234,0.000291235
-1.16053,0.00030249,0.000295323
-1.152,0.000306802,0.000299464
-1.14347,0.000311171,0.000303658
-1.13493,0.000315597,0.000307907
-1.1264,0.00032008,0.00031221
-1.11787,0.000324621,0.000316567
-1.10933,0.000329219,0.000320979
-1.1008,0.000333876,0.000325445
-1.09227,0.000338591,0.000329967
-1.08373,0.000343365,0.000334544
-1.0752,0.000348197,0.000339176
-1.06667,0.000353088,0.000343864
-1.05813,0.000358038,0.000348607
-1.0496,0.000363047,0.000353407
-1.04107,0.000368115,0.000358261
-1.03253,0.000373242,0.000363172
-1.024,0.000378428,0.000368138
-1.01547,0.000383673,0.00037316
-1.00693,0.000388978,0.000378237
-0.9984,0.000394341,0.00038337
-0.989867,0.000399764,0.000388559
-0.981333,0.000405245,0.000393803
-0.9728,0.000410785,0.000399102
-0.964267,0.000416383,0.000404456
-0.955733,0.000422039,0.000409864
-0.9472,0.000427753,0.000415327
-0.938667,0.000433525,0.000420845
-0.930133,0.000439354,0.000426415
-0.9216,0.00044524,0.000432039
-0.913067,0.000451182,0.000437716
-0.904533,0.00045718,0.000443446
-0.896,0.000463234,0.000449227
-0.887467,0.000469342,0.00045506
-0.878933,0.000475504,0.000460943
-0.8704,0.00048172,0.000466877
-0.861867,0.000487989,0.00047286
-0.853333,0.00049431,0.000478892
-0.8448,0.000500682,0.000484972
-0.836267,0.000507105,0.000491099
-0.827733,0.000513577,0.000497272
-0.8192,0.000520097,0.00050349
-0.810667,0.000526666,0.000509753
-0.802133,0.00053328,0.000516059
-0.7936,0.00053994,0.000522407
-0.785067,0.000546644,0.000528797
-0.776533,0.000553391,0.000535227
-0.768,0.00056018,0.000541695
-0.759467,0.000567009,0.0005482
-0.750933,0.000573877,0.000554742
-0.7424,0.000580783,0.000561319
-0.733867,0.000587724,0.000567928
-0.725333,0.0005947,0.00057457
-0.7168,0.000601708,0.000581242
-0.708267,0.000608747,0.000587942
-0.699733,0.000615816,0.000594669
-0.6912,0.000622912,0.000601421
-0.682667,0.000630033,0.000608197
-0.674133,0.000637179,0.000614994
-0.6656,0.000644345,0.000621811
-0.657067,0.000651531,0.000628645
-0.648533,0.000658735,0.000635495
-0.64,0.000665954,0.000642359
-0.631467,0.000673185,0.000649234
-0.622933,0.000680427,0.000656118
-0.6144,0.000687678,0.000663009
-0.605867,0.000694934,0.000669905
-0.597333,0.000702193,0.000676803
-0.5888,0.000709454,0.000683701
-0.580267,0.000716712,0.000690596
-0.571733,0.000723966,0.000697487
-0.5632,0.000731213,0.000704369
-0.554667,0.000738449,0.000711242
-0.546133,0.000745673,0.000718101
-0.5376,0.000752881,0.000724945
-0.529067,0.000760071,0.00073177
-0.520533,0.000767239,0.000738574
-0.512,0.000774382,0.000745354
-0.503467,0.000781498,0.000752107
-0.494933,0.000788583,0.000758831
-0.4864,0.000795634,0.000765521
-0.477867,0.000802648,0.000772175
-0.469333,0.000809621,0.000778791
-0.4608,0.000816551,0.000785365
-0.452267,0.000823434,0.000791893
-0.443733,0.000830267,0.000798373
-0.4352,0.000837047,0.000804802
-0.426667,0.000843769,0.000811177
-0.418133,0.000850432,0.000817494
-0.4096,0.00085703,0.00082375
-0.401067,0.000863562,0.000829942
-0.392533,0.000870023,0.000836066
-0.384,0.00087641,0.00084212
-0.375467,0.00088272,0.0008481
-0.366933,0.000888949,0.000854004
-0.3584,0.000895094,0.000859826
-0.349867,0.000901152,0.000865566
-0.341333,0.000907118,0.000871219
-0.3328,0.000912989,0.000876781
-0.324267,0.000918763,0.000882251
-0.315733,0.000924436,0.000887624
-0.3072,0.000930004,0.000892898
-0.298667,0.000935464,0.00089807
-0.290133,0.000940813,0.000903136
-0.2816,0.000946047,0.000908093
-0.273067,0.000951164,0.000912938
-0.264533,0.00095616,0.000917669
-0.256,0.000961032,0.000922282
-0.247467,0.000965777,0.000926775
-0.238933,0.000970392,0.000931144
-0.2304,0.000974874,0.000935388
-0.221867,0.000979221,0.000939502
-0.213333,0.000983428,0.000943485
-0.2048,0.000987495,0.000947334
-0.196267,0.000991417,0.000951047
-0.187733,0.000995192,0.00095462
-0.1792,0.000998819,0.000958053
-0.170667,0.00100229,0.000961341
-0.162133,0.00100561,0.000964484
-0.1536,0.00100878,0.000967479
-0.145067,0.00101178,0.000970323
-0.136533,0.00101463,0.000973016
-0.128,0.00101731,0.000975556
-0.119467,0.00101983,0.000977939
-0.110933,0.00102219,0.000980166
-0.1024,0.00102437,0.000982234
-0.0938667,0.00102639,0.000984142
-0.0853333,0.00102823,0.000985888
-0.0768,0.00102991,0.000987472
-0.0682667,0.00103141,0.000988893
-0.0597333,0.00103274,0.000990148
-0.0512,0.00103389,0.000991238
-0.0426667,0.00103486,0.000992161
-0.0341333,0.00103566,0.000992918
-0.0256,0.00103629,0.000993507
-0.0170667,0.00103673,0.000993928
-0.00853333,0.001037,0.00099418
