phi,Alice,CMS
-1.28,0.00292569,0.0029276
-1.27147,0.00297327,0.00297334
-1.26293,0.00302176,0.00301992
-1.2544,0.00307118,0.00306738
-1.24587,0.00312154,0.00311572
-1.23733,0.00317287,0.00316497
-1.2288,0.00322518,0.00321514
-1.22027,0.0032785,0.00326625
-1.21173,0.00333283,0.00331831
-1.2032,0.00338821,0.00337134
-1.19467,0.00344465,0.00342537
-1.18613,0.00350217,0.0034804
-1.1776,0.00356079,0.00353647
-1.16907,0.00362053,0.00359358
-1.16053,0.00368142,0.00365176
-1.152,0.00374347,0.00371102
-1.14347,0.00380671,0.0037714
-1.13493,0.00387115,0.00383289
-1.1264,0.00393683,0.00389554
-1.11787,0.00400375,0.00395935
-1.10933,0.00407196,0.00402435
-1.1008,0.00414146,0.00409056
-1.09227,0.00421229,0.00415801
-1.08373,0.00428446,0.0042267
-1.0752,0.00435801,0.00429667
-1.06667,0.00443294,0.00436794
-1.05813,0.0045093,0.00444053
-1.0496,0.00458711,0.00451447
-1.04107,0.00466638,0.00458977
-1.03253,0.00474716,0.00466646
-1.024,0.00482945,0.00474456
-1.01547,0.00491329,0.0048241
-1.00693,0.00499871,0.00490511
-0.9984,0.00508573,0.00498759
-0.989867,0.00517438,0.00507159
-0.981333,0.00526468,0.00515713
-0.9728,0.00535666,0.00524423
-0.964267,0.00545036,0.00533291
-0.955733,0.00554579,0.0054232
-0.9472,0.00564299,0.00551513
-0.938667,0.00574199,0.00560872
-0.930133,0.0058428,0.00570399
-0.9216,0.00594547,0.00580098
-0.913067,0.00605001,0.00589971
-0.904533,0.00615646,0.0060002
-0.896,0.00626484,0.00610249
-0.887467,0.00637519,0.00620658
-0.878933,0.00648753,0.00631253
-0.8704,0.00660189,0.00642033
-0.861867,0.0067183,0.00653004
-0.853333,0.00683679,0.00664166
-0.8448,0.00695738,0.00675522
-0.836267,0.0070801,0.00687076
-0.827733,0.00720499,0.00698829
-0.8192,0.00733205,0.00710784
-0.810667,0.00746134,0.00722944
-0.802133,0.00759286,0.0073531
-0.7936,0.00772665,0.00747885
-0.785067,0.00786274,0.00760672
-0.776533,0.00800114,0.00773673
-0.768,0.00814188,0.0078689
-0.759467,0.00828499,0.00800325
-0.750933,0.00843049,0.00813981
-0.7424,0.0085784,0.00827859
-0.733867,0.00872875,0.00841961
-0.725333,0.00888155,0.00856289
-0.7168,0.00903682,0.00870846
-0.708267,0.00919459,0.00885632
-0.699733,0.00935487,0.00900649
-0.6912,0.00951767,0.00915899
-0.682667,0.00968302,0.00931383
-0.674133,0.00985092,0.00947102
-0.6656,0.0100214,0.00963058
-0.657067,0.0101944,0.00979251
-0.648533,0.0103701,0.00995682
-0.64,0.0105483,0.0101235
-0.631467,0.0107291,0.0102926
-0.622933,0.0109125,0.0104641
-0.6144,0.0110986,0.0106379
-0.605867,0.0112872,0.0108142
-0.597333,0.0114784,0.0109929
-0.5888,0.0116722,0.0111739
-0.580267,0.0118686,0.0113573
-0.571733,0.0120675,0.011543
-0.5632,0.012269,0.0117311
-0.554667,0.0124731,0.0119216
-0.546133,0.0126796,0.0121143
-0.5376,0.0128886,0.0123093
-0.529067,0.0131001,0.0125066
-0.520533,0.013314,0.012706
-0.512,0.0135303,0.0129077
-0.503467,0.0137489,0.0131115
-0.494933,0.0139698,0.0133175
-0.4864,0.014193,0.0135254
-0.477867,0.0144183,0.0137354
-0.469333,0.0146458,0.0139474
-0.4608,0.0148753,0.0141612
-0.452267,0.0151068,0.0143769
-0.443733,0.0153403,0.0145943
-0.4352,0.0155755,0.0148134
-0.426667,0.0158125,0.015034
-0.418133,0.0160512,0.0152562
-0.4096,0.0162914,0.0154798
-0.401067,0.016533,0.0157047
-0.392533,0.0167759,0.0159308
-0.384,0.01702,0.016158
-0.375467,0.0172652,0.0163861
-0.366933,0.0175112,0.0166151
-0.3584,0.0177581,0.0168447
-0.349867,0.0180055,0.0170749
-0.341333,0.0182535,0.0173055
-0.3328,0.0185016,0.0175364
-0.324267,0.0187499,0.0177673
-0.315733,0.018998,0.0179981
-0.3072,0.0192459,0.0182286
-0.298667,0.0194932,0.0184586
-0.290133,0.0197398,0.0186879
-0.2816,0.0199854,0.0189162
-0.273067,0.0202297,0.0191434
-0.264533,0.0204726,0.0193693
-0.256,0.0207137,0.0195934
-0.247467,0.0209527,0.0198157
-0.238933,0.0211895,0.0200358
-0.2304,0.0214235,0.0202535
-0.221867,0.0216547,0.0204683
-0.213333,0.0218825,0.0206801
-0.2048,0.0221066,0.0208886
-0.196267,0.0223268,0.0210933
-0.187733,0.0225426,0.0212939
-0.1792,0.0227536,0.0214901
-0.170667,0.0229594,0.0216815
-0.162133,0.0231596,0.0218676
-0.1536,0.0233538,0.0220482
-0.145067,0.0235415,0.0222228
-0.136533,0.0237223,0.0223909
-0.128,0.0238956,0.0225521
-0.119467,0.0240611,0.022706
-0.110933,0.0242182,0.0228521
-0.1024,0.0243664,0.0229899
-0.0938667,0.0245052,0.023119
-0.0853333,0.0246341,0.023239
-0.0768,0.0247526,0.0233492
-0.0682667,0.0248603,0.0234494
-0.0597333,0.0249566,0.0235389
-0.0512,0.025041,0.0236175
-0.0426667,0.0251133,0.0236848
-0.0341333,0.025173,0.0237403
-0.0256,0.0252198,0.0237838
-0.0170667,0.0252534,0.0238151
-0.00853333,0.0252736,0.0238339
-4.51028e-15,0.0252804,0.0238402
0.00853333,0.0252736,0.0238339
0.0170667,0.0252534,0.0238151
0.0256,0.0252198,0.0237838
0.0341333,0.025173,0.0237403
0.0426667,0.0251133,0.0236848
0.0512,0.025041,0.0236175
0.0597333,0.0249566,0.0235389
0.0682667,0.0248603,0.0234494
0.0768,0.0247526,0.0233492
0.0853333,0.0246341,0.023239
0.0938667,0.0245052,0.023119
0.1024,0.0243664,0.0229899
0.110933,0.0242182,0.0228521
0.119467,0.0240611,0.022706
0.128,0.0238956,0.0225521
0.136533,0.0237223,0.0223909
0.145067,0.0235415,0.0222228
0.1536,0.0233538,0.0220482
0.162133,0.0231596,0.0218676
0.170667,0.0229594,0.0216815
0.1792,0.0227536,0.0214901
0.187733,0.0225426,0.0212939
0.196267,0.0223268,0.0210933
0.2048,0.0221066,0.0208886
0.213333,0.0218825,0.0206801
0.221867,0.0216547,0.0204683
0.2304,0.0214235,0.0202535
0.238933,0.0211895,0.0200358
0.247467,0.0209527,0.0198157
0.256,0.0207137,0.0195934
0.264533,0.0204726,0.0193693
0.273067,0.0202297,0.0191434
0.2816,0.0199854,0.0189162
0.290133,0.0197398,0.0186879
0.298667,0.0194932,0.0184586
0.3072,0.0192459,0.0182286
0.315733,0.018998,0.0179981
0.324267,0.0187499,0.0177673
0.3328,0.0185016,0.0175364
0.341333,0.0182535,0.0173055
0.349867,0.0180055,0.0170749
0.3584,0.0177581,0.0168447
0.366933,0.0175112,0.0166151
0.375467,0.0172652,0.0163861
0.384,0.01702,0.016158
0.392533,0.0167759,0.0159308
0.401067,0.016533,0.0157047
0.4096,0.0162914,0.0154798
0.418133,0.0160512,0.0152562
0.426667,0.0158125,0.015034
0.4352,0.0155755,0.0148134
0.443733,0.0153403,0.0145943
0.452267,0.0151068,0.0143769
0.4608,0.0148753,0.0141612
0.469333,0.0146458,0.0139474
0.477867,0.0144183,0.0137354
0.4864,0.014193,0.0135254
0.494933,0.0139698,0.0133175
0.503467,0.0137489,0.0131115
0.512,0.0135303,0.0129077
0.520533,0.013314,0.012706
0.529067,0.0131001,0.0125066
0.5376,0.0128886,0.0123093
0.546133,0.0126796,0.0121143
0.554667,0.0124731,0.0119216
0.5632,0.012269,0.0117311
0.571733,0.0120675,0.011543
0.580267,0.0118686,0.0113573
0.5888,0.0116722,0.0111739
0.597333,0.0114784,0.0109929
0.605867,0.0112872,0.0108142
0.6144,0.0110986,0.0106379
0.622933,0.0109125,0.0104641
0.631467,0.0107291,0.0102926
0.64,0.0105483,0.0101235
0.648533,0.0103701,0.00995682
0.657067,0.0101944,0.00979251
0.6656,0.0100214,0.00963058
0.674133,0.00985092,0.00947102
0.682667,0.00968302,0.00931383
0.6912,0.00951767,0.00915899
0.699733,0.00935487,0.00900649
0.708267,0.00919459,0.00885632
0.7168,0.00903682,0.00870846
0.725333,0.00888155,0.00856289
0.733867,0.00872875,0.00841961
0.7424,0.0085784,0.00827859
0.750933,0.00843049,0.00813981
0.759467,0.00828499,0.00800325
0.768,0.00814188,0.0078689
0.776533,0.00800114,0.00773673
0.785067,0.00786274,0.00760672
0.7936,0.00772665,0.00747885
0.802133,0.00759286,0.0073531
0.810667,0.00746134,0.00722944
0.8192,0.00733205,0.00710784
0.827733,0.00720499,0.00698829
0.836267,0.0070801,0.00687076
