phi,Alice,CMS,ATLAS
-1,0.012352,0.0121421,0.0119612
-0.993333,0.0125401,0.0123214,0.0121374
-0.986667,0.0127311,0.0125033,0.0123163
-0.98,0.0129251,0.012688,0.0124979
-0.973333,0.013122,0.0128755,0.0126822
-0.966667,0.013322,0.0130659,0.0128693
-0.96,0.0135251,0.013259,0.0130592
-0.953333,0.0137312,0.0134551,0.013252
-0.946667,0.0139405,0.0136541,0.0134477
-0.94,0.014153,0.0138561,0.0136462
-0.933333,0.0143687,0.0140611,0.0138477
-0.926667,0.0145877,0.0142691,0.0140522
-0.92,0.0148099,0.0144802,0.0142597
-0.913333,0.0150355,0.0146944,0.0144703
-0.906667,0.0152645,0.0149117,0.0146839
-0.9,0.0154969,0.0151322,0.0149007
-0.893333,0.0157327,0.0153559,0.0151206
-0.886667,0.015972,0.0155829,0.0153437
-0.88,0.0162148,0.0158131,0.01557
-0.873333,0.0164612,0.0160466,0.0157996
-0.866667,0.0167113,0.0162835,0.0160325
-0.86,0.0169649,0.0165238,0.0162687
-0.853333,0.0172222,0.0167675,0.0165082
-0.846667,0.0174832,0.0170146,0.0167511
-0.84,0.017748,0.0172652,0.0169975
-0.833333,0.0180166,0.0175193,0.0172473
-0.826667,0.018289,0.017777,0.0175005
-0.82,0.0185652,0.0180382,0.0177573
-0.813333,0.0188453,0.018303,0.0180177
-0.806667,0.0191293,0.0185715,0.0182816
-0.8,0.0194173,0.0188436,0.0185491
-0.793333,0.0197093,0.0191195,0.0188202
-0.786667,0.0200053,0.019399,0.019095
-0.78,0.0203053,0.0196823,0.0193735
-0.773333,0.0206095,0.0199694,0.0196557
-0.766667,0.0209177,0.0202603,0.0199417
-0.76,0.0212301,0.020555,0.0202314
-0.753333,0.0215466,0.0208536,0.0205249
-0.746667,0.0218673,0.021156,0.0208222
-0.74,0.0221923,0.0214624,0.0211233
-0.733333,0.0225214,0.0217727,0.0214283
-0.726667,0.0228549,0.0220869,0.0217372
-0.72,0.0231926,0.0224051,0.02205
-0.713333,0.0235347,0.0227272,0.0223667
-0.706667,0.023881,0.0230534,0.0226873
-0.7,0.0242317,0.0233836,0.0230119
-0.693333,0.0245868,0.0237178,0.0233404
-0.686667,0.0249462,0.024056,0.0236729
-0.68,0.02531,0.0243983,0.0240094
-0.673333,0.0256783,0.0247446,0.0243498
-0.666667,0.0260509,0.025095,0.0246943
-0.66,0.0264279,0.0254495,0.0250428
-0.653333,0.0268094,0.0258081,0.0253953
-0.646667,0.0271953,0.0261707,0.0257518
-0.64,0.0275856,0.0265374,0.0261123
-0.633333,0.0279803,0.0269082,0.0264768
-0.626667,0.0283794,0.0272831,0.0268453
-0.62,0.028783,0.027662,0.0272179
-0.613333,0.0291909,0.028045,0.0275944
-0.606667,0.0296033,0.028432,0.0279749
-0.6,0.03002,0.0288231,0.0283593
-0.593333,0.0304411,0.0292182,0.0287477
-0.586667,0.0308665,0.0296172,0.0291401
-0.58,0.0312962,0.0300203,0.0295363
-0.573333,0.0317302,0.0304273,0.0299365
-0.566667,0.0321685,0.0308381,0.0303404
-0.56,0.032611,0.0312529,0.0307483
-0.553333,0.0330577,0.0316716,0.0311599
-0.546667,0.0335085,0.032094,0.0315752
-0.54,0.0339635,0.0325202,0.0319943
-0.533333,0.0344225,0.0329501,0.032417
-0.526667,0.0348855,0.0333838,0.0328434
-0.52,0.0353524,0.033821,0.0332733
-0.513333,0.0358233,0.0342618,0.0337067
-0.506667,0.0362979,0.0347061,0.0341436
-0.5,0.0367763,0.0351538,0.0345839
-0.493333,0.0372584,0.0356049,0.0350275
-0.486667,0.0377441,0.0360594,0.0354743
-0.48,0.0382333,0.036517,0.0359243
-0.473333,0.038726,0.0369777,0.0363774
-0.466667,0.0392219,0.0374416,0.0368335
-0.46,0.0397211,0.0379083,0.0372926
-0.453333,0.0402234,0.0383779,0.0377544
-0.446667,0.0407288,0.0388503,0.038219
-0.44,0.041237,0.0393253,0.0386861
-0.433333,0.0417481,0.0398029,0.0391558
-0.426667,0.0422617,0.0402828,0.0396279
-0.42,0.0427779,0.0407651,0.0401022
-0.413333,0.0432965,0.0412495,0.0405786
-0.406667,0.0438173,0.0417359,0.0410571
-0.4,0.0443401,0.0422242,0.0415373
-0.393333,0.0448649,0.0427142,0.0420193
-0.386667,0.0453914,0.0432058,0.0425029
