phi,Alice,CMS,ATLAS
-0.96,0.0132258,0.0129452,0.0127693
-0.9536,0.0133722,0.013084,0.0129061
-0.9472,0.0135202,0.0132242,0.0130442
-0.9408,0.0136697,0.0133659,0.0131837
-0.9344,0.0138208,0.013509,0.0133247
-0.928,0.0139734,0.0136535,0.013467
-0.9216,0.0141276,0.0137995,0.0136108
-0.9152,0.0142834,0.013947,0.0137561
-0.9088,0.0144407,0.014096,0.0139028
-0.9024,0.0145997,0.0142464,0.0140509
-0.896,0.0147602,0.0143983,0.0142005
-0.8896,0.0149224,0.0145516,0.0143516
-0.8832,0.0150862,0.0147065,0.0145041
-0.8768,0.0152515,0.0148629,0.0146581
-0.8704,0.0154186,0.0150207,0.0148136
-0.864,0.0155872,0.0151801,0.0149706
-0.8576,0.0157575,0.015341,0.015129
-0.8512,0.0159294,0.0155033,0.0152889
-0.8448,0.0161029,0.0156672,0.0154504
-0.8384,0.0162781,0.0158326,0.0156133
-0.832,0.016455,0.0159996,0.0157777
-0.8256,0.0166335,0.016168,0.0159436
-0.8192,0.0168136,0.016338,0.016111
-0.8128,0.0169954,0.0165095,0.0162799
-0.8064,0.0171789,0.0166825,0.0164504
-0.8,0.017364,0.0168571,0.0166223
-0.7936,0.0175508,0.0170332,0.0167957
-0.7872,0.0177392,0.0172108,0.0169706
-0.7808,0.0179293,0.0173899,0.0171471
-0.7744,0.018121,0.0175705,0.017325
-0.768,0.0183144,0.0177527,0.0175044
-0.7616,0.0185094,0.0179363,0.0176853
-0.7552,0.0187061,0.0181215,0.0178677
-0.7488,0.0189044,0.0183082,0.0180516
-0.7424,0.0191043,0.0184964,0.018237
-0.736,0.0193059,0.0186861,0.0184238
-0.7296,0.0195091,0.0188773,0.0186122
-0.7232,0.0197139,0.01907,0.0188019
-0.7168,0.0199204,0.0192641,0.0189932
-0.7104,0.0201284,0.0194597,0.0191859
-0.704,0.020338,0.0196568,0.01938
-0.6976,0.0205492,0.0198553,0.0195755
-0.6912,0.020762,0.0200553,0.0197725
-0.6848,0.0209763,0.0202566,0.0199709
-0.6784,0.0211922,0.0204594,0.0201707
-0.672,0.0214096,0.0206637,0.0203718
-0.6656,0.0216285,0.0208692,0.0205743
-0.6592,0.0218489,0.0210762,0.0207782
-0.6528,0.0220708,0.0212845,0.0209835
-0.6464,0.0222942,0.0214942,0.02119
-0.64,0.022519,0.0217052,0.0213979
-0.6336,0.0227453,0.0219175,0.021607
