etaf, ptf, dF
-5.000000, 0.150000, 0.000000
-5.000000, 0.188500, 0.000000
-5.000000, 0.227000, 0.000000
-5.000000, 0.265500, 0.000000
-5.000000, 0.304000, 0.000000
-5.000000, 0.342500, 0.000000
-5.000000, 0.381000, 0.000000
-5.000000, 0.419500, 0.000000
-5.000000, 0.458000, 0.000000
-5.000000, 0.496500, 0.000000
-5.000000, 0.535000, 0.000000
-5.000000, 0.573500, 0.000000
-5.000000, 0.612000, 0.000000
-5.000000, 0.650500, 0.000000
-5.000000, 0.689000, 0.000000
-5.000000, 0.727500, 0.000000
-5.000000, 0.766000, 0.000000
-5.000000, 0.804500, -0.004261
-5.000000, 0.843000, -0.011445
-5.000000, 0.881500, -0.013293
-5.000000, 0.920000, -0.011976
-5.000000, 0.958500, -0.007753
-5.000000, 0.997000, -0.000792
-5.000000, 1.035500, 0.007081
-5.000000, 1.074000, 0.013180
-5.000000, 1.112500, 0.016615
-5.000000, 1.151000, 0.016404
-5.000000, 1.189500, 0.009511
-5.000000, 1.228000, 0.000190
-5.000000, 1.266500, 0.000004
-5.000000, 1.305000, 0.000000
-5.000000, 1.343500, 0.000000
-5.000000, 1.382000, 0.000000
-5.000000, 1.420500, 0.000000
-5.000000, 1.459000, 0.000000
-5.000000, 1.497500, 0.000000
-5.000000, 1.536000, 0.000000
-5.000000, 1.574500, 0.000000
-5.000000, 1.613000, 0.000000
-5.000000, 1.651500, 0.000000
-5.000000, 1.690000, 0.000000
-5.000000, 1.728500, 0.000000
-5.000000, 1.767000, 0.000000
-5.000000, 1.805500, 0.000000
-5.000000, 1.844000, 0.000000
-5.000000, 1.882500, 0.000000
-5.000000, 1.921000, 0.000000
-5.000000, 1.959500, 0.000000
-5.000000, 1.998000, 0.000000
-5.000000, 2.036500, 0.000000
-5.000000, 2.075000, 0.000000
-5.000000, 2.113500, 0.000000
-5.000000, 2.152000, 0.000000
-5.000000, 2.190500, 0.000000
-5.000000, 2.229000, 0.000000
-5.000000, 2.267500, 0.000000
-5.000000, 2.306000, 0.000000
-5.000000, 2.344500, 0.000000
-5.000000, 2.383000, 0.000000
-5.000000, 2.421500, 0.000000
-5.000000, 2.460000, 0.000000
-5.000000, 2.498500, 0.000000
-5.000000, 2.537000, 0.000000
-5.000000, 2.575500, 0.000000
-5.000000, 2.614000, 0.000000
-5.000000, 2.652500, 0.000000
-5.000000, 2.691000, 0.000000
-5.000000, 2.729500, 0.000000
-5.000000, 2.768000, 0.000000
-5.000000, 2.806500, 0.000000
-5.000000, 2.845000, 0.000000
-5.000000, 2.883500, 0.000000
-5.000000, 2.922000, 0.000000
-5.000000, 2.960500, 0.000000
-5.000000, 2.999000, 0.000000
-5.000000, 3.037500, 0.000000
-5.000000, 3.076000, 0.000000
-5.000000, 3.114500, 0.000000
-5.000000, 3.153000, 0.000000
-5.000000, 3.191500, 0.000000
-5.000000, 3.230000, 0.000000
-5.000000, 3.268500, 0.000000
-5.000000, 3.307000, 0.000000
-5.000000, 3.345500, 0.000000
-5.000000, 3.384000, 0.000000
-5.000000, 3.422500, 0.000000
-5.000000, 3.461000, 0.000000
-5.000000, 3.499500, 0.000000
-5.000000, 3.538000, 0.000000
-5.000000, 3.576500, 0.000000
-5.000000, 3.615000, 0.000000
-5.000000, 3.653500, 0.000000
-5.000000, 3.692000, 0.000000
-5.000000, 3.730500, 0.000000
-5.000000, 3.769000, 0.000000
-5.000000, 3.807500, 0.000000
-5.000000, 3.846000, 0.000000
-5.000000, 3.884500, 0.000000
-5.000000, 3.923000, 0.000000
-5.000000, 3.961500, 0.000000
-5.000000, 4.000000, 0.000000
-4.900000, 0.150000, 0.000000
-4.900000, 0.188500, 0.000000
-4.900000, 0.227000, 0.000000
-4.900000, 0.265500, 0.000000
-4.900000, 0.304000, 0.000000
-4.900000, 0.342500, 0.000000
-4.900000, 0.381000, 0.000000
-4.900000, 0.419500, 0.000000
-4.900000, 0.458000, 0.000000
-4.900000, 0.496500, 0.000000
-4.900000, 0.535000, 0.000000
-4.900000, 0.573500, 0.000000
-4.900000, 0.612000, 0.000000
-4.900000, 0.650500, 0.000000
-4.900000, 0.689000, 0.000000
-4.900000, 0.727500, 0.000000
-4.900000, 0.766000, 0.000000
-4.900000, 0.804500, -0.009297
-4.900000, 0.843000, -0.013355
-4.900000, 0.881500, -0.014201
-4.900000, 0.920000, -0.012359
-4.900000, 0.958500, -0.007853
-4.900000, 0.997000, -0.000795
-4.900000, 1.035500, 0.007154
-4.900000, 1.074000, 0.013539
-4.900000, 1.112500, 0.017589
-4.900000, 1.151000, 0.018610
-4.900000, 1.189500, 0.015313
-4.900000, 1.228000, 0.000306
-4.900000, 1.266500, 0.000006
-4.900000, 1.305000, 0.000000
-4.900000, 1.343500, 0.000000
-4.900000, 1.382000, 0.000000
-4.900000, 1.420500, 0.000000
-4.900000, 1.459000, 0.000000
-4.900000, 1.497500, 0.000000
-4.900000, 1.536000, 0.000000
-4.900000, 1.574500, 0.000000
-4.900000, 1.613000, 0.000000
-4.900000, 1.651500, 0.000000
-4.900000, 1.690000, 0.000000
-4.900000, 1.728500, 0.000000
-4.900000, 1.767000, 0.000000
-4.900000, 1.805500, 0.000000
-4.900000, 1.844000, 0.000000
-4.900000, 1.882500, 0.000000
-4.900000, 1.921000, 0.000000
-4.900000, 1.959500, 0.000000
-4.900000, 1.998000, 0.000000
-4.900000, 2.036500, 0.000000
-4.900000, 2.075000, 0.000000
-4.900000, 2.113500, 0.000000
-4.900000, 2.152000, 0.000000
-4.900000, 2.190500, 0.000000
-4.900000, 2.229000, 0.000000
