etaf, phif, dF
-2.800000, -1.000000, 9.288763
-2.800000, -0.980000, 9.646380
-2.800000, -0.960000, 9.660149
-2.800000, -0.940000, 9.660679
-2.800000, -0.920000, 9.660699
-2.800000, -0.900000, 9.660700
-2.800000, -0.880000, 9.660700
-2.800000, -0.860000, 9.660700
-2.800000, -0.840000, 9.660700
-2.800000, -0.820000, 9.660700
-2.800000, -0.800000, 9.660700
-2.800000, -0.780000, 9.660700
-2.800000, -0.760000, 9.660700
-2.800000, -0.740000, 9.660700
-2.800000, -0.720000, 9.660700
-2.800000, -0.700000, 9.660700
-2.800000, -0.680000, 9.660700
-2.800000, -0.660000, 9.660700
-2.800000, -0.640000, 9.660700
-2.800000, -0.620000, 9.660700
-2.800000, -0.600000, 9.660700
-2.800000, -0.580000, 9.660700
-2.800000, -0.560000, 9.660700
-2.800000, -0.540000, 9.660700
-2.800000, -0.520000, 9.660700
-2.800000, -0.500000, 9.660700
-2.800000, -0.480000, 9.660700
-2.800000, -0.460000, 9.660700
-2.800000, -0.440000, 9.660700
-2.800000, -0.420000, 9.660700
-2.800000, -0.400000, 9.660700
-2.800000, -0.380000, 9.660700
-2.800000, -0.360000, 9.660700
-2.800000, -0.340000, 9.660700
-2.800000, -0.320000, 9.660700
-2.800000, -0.300000, 9.660700
-2.800000, -0.280000, 9.660700
-2.800000, -0.260000, 9.660700
-2.800000, -0.240000, 9.660700
-2.800000, -0.220000, 9.660700
-2.800000, -0.200000, 9.660700
-2.800000, -0.180000, 9.660700
-2.800000, -0.160000, 9.660700
-2.800000, -0.140000, 9.660700
-2.800000, -0.120000, 9.660700
-2.800000, -0.100000, 9.660700
-2.800000, -0.080000, 9.660700
-2.800000, -0.060000, 9.660700
-2.800000, -0.040000, 9.660700
-2.800000, -0.020000, 9.660700
-2.800000, 0.000000, 9.660700
-2.800000, 0.020000, 9.660700
-2.800000, 0.040000, 9.660700
-2.800000, 0.060000, 9.660700
-2.800000, 0.080000, 9.660700
-2.800000, 0.100000, 9.660700
-2.800000, 0.120000, 9.660700
-2.800000, 0.140000, 9.660700
-2.800000, 0.160000, 9.660700
-2.800000, 0.180000, 9.660700
-2.800000, 0.200000, 9.660700
-2.800000, 0.220000, 9.660700
-2.800000, 0.240000, 9.660700
-2.800000, 0.260000, 9.660700
-2.800000, 0.280000, 9.660700
-2.800000, 0.300000, 9.660700
-2.800000, 0.320000, 9.660700
-2.800000, 0.340000, 9.660700
-2.800000, 0.360000, 9.660700
-2.800000, 0.380000, 9.660700
-2.800000, 0.400000, 9.660700
-2.800000, 0.420000, 9.660700
-2.800000, 0.440000, 9.660700
-2.800000, 0.460000, 9.660700
-2.800000, 0.480000, 9.660700
-2.800000, 0.500000, 9.660700
-2.800000, 0.520000, 9.660700
-2.800000, 0.540000, 9.660700
-2.800000, 0.560000, 9.660700
-2.800000, 0.580000, 9.660700
-2.800000, 0.600000, 9.660700
-2.800000, 0.620000, 9.660700
-2.800000, 0.640000, 9.660700
-2.800000, 0.660000, 9.660700
-2.800000, 0.680000, 9.660700
-2.800000, 0.700000, 9.660700
-2.800000, 0.720000, 9.660700
-2.800000, 0.740000, 9.660700
-2.800000, 0.760000, 9.660700
-2.800000, 0.780000, 9.660700
-2.800000, 0.800000, 9.660700
-2.800000, 0.820000, 9.660700
-2.800000, 0.840000, 9.660700
-2.800000, 0.860000, 9.660700
-2.800000, 0.880000, 9.660700
-2.800000, 0.900000, 9.660700
-2.800000, 0.920000, 9.660700
-2.800000, 0.940000, 9.660700
-2.800000, 0.960000, 9.660700
-2.800000, 0.980000, 9.660700
-2.800000, 1.000000, 9.660700
-2.744000, -1.000000, 9.770954
-2.744000, -0.980000, 9.775199
-2.744000, -0.960000, 9.775362
-2.744000, -0.940000, 9.775369
-2.744000, -0.920000, 9.775369
-2.744000, -0.900000, 9.775369
-2.744000, -0.880000, 9.775369
-2.744000, -0.860000, 9.775369
-2.744000, -0.840000, 9.775369
-2.744000, -0.820000, 9.775369
-2.744000, -0.800000, 9.775369
-2.744000, -0.780000, 9.775369
-2.744000, -0.760000, 9.775369
-2.744000, -0.740000, 9.775369
-2.744000, -0.720000, 9.775369
-2.744000, -0.700000, 9.775369
-2.744000, -0.680000, 9.775369
-2.744000, -0.660000, 9.775369
-2.744000, -0.640000, 9.775369
-2.744000, -0.620000, 9.775369
-2.744000, -0.600000, 9.775369
-2.744000, -0.580000, 9.775369
-2.744000, -0.560000, 9.775369
-2.744000, -0.540000, 9.775369
-2.744000, -0.520000, 9.775369
