etaf,Ridge,Jet
-1,0.0627292,5.28001e-06
-0.99,0.0629971,6.36535e-06
-0.98,0.0632677,7.66158e-06
-0.97,0.063541,9.20712e-06
-0.96,0.0638172,1.10469e-05
-0.95,0.0640962,1.32332e-05
-0.94,0.0643782,1.58271e-05
-0.93,0.0646632,1.88994e-05
-0.92,0.0649512,2.25324e-05
-0.91,0.0652424,2.68213e-05
-0.9,0.0655367,3.18762e-05
-0.89,0.0658343,3.78238e-05
-0.88,0.0661352,4.48103e-05
-0.87,0.0664394,5.30036e-05
-0.86,0.066747,6.25962e-05
-0.85,0.0670581,7.38085e-05
-0.84,0.0673727,8.68922e-05
-0.83,0.0676909,0.000102134
-0.82,0.0680127,0.000119862
-0.81,0.0683381,0.000140445
-0.8,0.0686673,0.000164305
-0.79,0.0690002,0.000191917
-0.78,0.0693369,0.000223818
-0.77,0.0696774,0.000260614
-0.76,0.0700218,0.000302983
-0.75,0.0703701,0.00035169
-0.74,0.0707222,0.000407589
-0.73,0.0710784,0.000471635
-0.72,0.0714385,0.000544892
-0.71,0.0718025,0.000628545
-0.7,0.0721706,0.000723909
-0.69,0.0725426,0.000832442
-0.68,0.0729187,0.000955754
-0.67,0.0732987,0.00109562
-0.66,0.0736827,0.001254
-0.65,0.0740707,0.00143303
-0.64,0.0744625,0.00163507
-0.63,0.0748583,0.00186269
-0.62,0.075258,0.00211868
-0.61,0.0756614,0.00240609
-0.6,0.0760686,0.00272821
-0.59,0.0764795,0.00308863
-0.58,0.076894,0.00349119
-0.57,0.0773121,0.00394002
-0.56,0.0777335,0.00443959
-0.55,0.0781583,0.00499462
-0.54,0.0785863,0.0056102
-0.53,0.0790174,0.00629169
-0.52,0.0794514,0.00704478
-0.51,0.0798882,0.00787549
-0.5,0.0803276,0.00879012
-0.49,0.0807694,0.00979526
-0.48,0.0812134,0.0108978
-0.47,0.0816595,0.0121048
-0.46,0.0821073,0.0134237
-0.45,0.0825567,0.014862
-0.44,0.0830073,0.0164273
-0.43,0.0834589,0.0181273
-0.42,0.0839112,0.0199699
-0.41,0.0843639,0.0219627
-0.4,0.0848166,0.0241132
-0.39,0.0852691,0.0264289
-0.38,0.0857208,0.0289165
-0.37,0.0861715,0.0315827
-0.36,0.0866207,0.0344334
-0.35,0.0870681,0.0374737
-0.34,0.087513,0.040708
-0.33,0.0879552,0.0441395
-0.32,0.0883941,0.0477702
-0.31,0.0888293,0.0516008
-0.3,0.0892601,0.0556304
-0.29,0.0896861,0.0598565
-0.28,0.0901068,0.0642744
-0.27,0.0905216,0.0688777
-0.26,0.0909299,0.0736576
-0.25,0.0913311,0.078603
-0.24,0.0917247,0.0837003
-0.23,0.0921101,0.0889335
-0.22,0.0924866,0.0942839
-0.21,0.0928537,0.0997304
-0.2,0.0932108,0.105249
-0.19,0.0935572,0.110814
-0.18,0.0938923,0.116396
-0.17,0.0942157,0.121964
-0.16,0.0945266,0.127486
-0.15,0.0948245,0.132928
-0.14,0.0951089,0.138253
-0.13,0.0953792,0.143425
-0.12,0.0956349,0.148406
-0.11,0.0958754,0.15316
-0.1,0.0961005,0.157649
-0.09,0.0963094,0.161837
-0.08,0.096502,0.165689
-0.07,0.0966778,0.169174
-0.06,0.0968364,0.17226
-0.05,0.0969775,0.17492
-0.04,0.097101,0.177131
-0.03,0.0972065,0.178872
-0.02,0.097294,0.180128
-0.01,0.0973632,0.180885
7.5287e-16,0.097414,0.181139
0.01,0.0973632,0.180885
0.02,0.097294,0.180128
0.03,0.0972065,0.178872
0.04,0.097101,0.177131
0.05,0.0969775,0.17492
0.06,0.0968364,0.17226
0.07,0.0966778,0.169174
0.08,0.096502,0.165689
0.09,0.0963094,0.161837
0.1,0.0961005,0.157649
0.11,0.0958754,0.15316
0.12,0.0956349,0.148406
0.13,0.0953792,0.143425
0.14,0.0951089,0.138253
0.15,0.0948245,0.132928
0.16,0.0945266,0.127486
0.17,0.0942157,0.121964
0.18,0.0938923,0.116396
0.19,0.0935572,0.110814
0.2,0.0932108,0.105249
0.21,0.0928537,0.0997304
0.22,0.0924866,0.0942839
0.23,0.0921101,0.0889335
0.24,0.0917247,0.0837003
0.25,0.0913311,0.078603
0.26,0.0909299,0.0736576
0.27,0.0905216,0.0688777
0.28,0.0901068,0.0642744
0.29,0.0896861,0.0598565
0.3,0.0892601,0.0556304
0.31,0.0888293,0.0516008
0.32,0.0883941,0.0477702
0.33,0.0879552,0.0441395
0.34,0.087513,0.040708
0.35,0.0870681,0.0374737
0.36,0.0866207,0.0344334
0.37,0.0861715,0.0315827
0.38,0.0857208,0.0289165
0.39,0.0852691,0.0264289
0.4,0.0848166,0.0241132
0.41,0.0843639,0.0219627
0.42,0.0839112,0.0199699
0.43,0.0834589,0.0181273
0.44,0.0830073,0.0164273
0.45,0.0825567,0.014862
0.46,0.0821073,0.0134237
0.47,0.0816595,0.0121048
0.48,0.0812134,0.0108978
0.49,0.0807694,0.00979526
0.5,0.0803276,0.00879012
0.51,0.0798882,0.00787549
0.52,0.0794514,0.00704478
0.53,0.0790174,0.00629169
0.54,0.0785863,0.0056102
0.55,0.0781583,0.00499462
0.56,0.0777335,0.00443959
0.57,0.0773121,0.00394002
0.58,0.076894,0.00349119
0.59,0.0764795,0.00308863
0.6,0.0760686,0.00272821
0.61,0.0756614,0.00240609
0.62,0.075258,0.00211868
0.63,0.0748583,0.00186269
0.64,0.0744625,0.00163507
0.65,0.0740707,0.00143303
0.66,0.0736827,0.001254
0.67,0.0732987,0.00109562
0.68,0.0729187,0.000955754
0.69,0.0725426,0.000832442
0.7,0.0721706,0.000723909
0.71,0.0718025,0.000628545
0.72,0.0714385,0.000544892
0.73,0.0710784,0.000471635
0.74,0.0707222,0.000407589
0.75,0.0703701,0.00035169
0.76,0.0700218,0.000302983
0.77,0.0696774,0.000260614
0.78,0.0693369,0.000223818
0.79,0.0690002,0.000191917
0.8,0.0686673,0.000164305
0.81,0.0683381,0.000140445
0.82,0.0680127,0.000119862
0.83,0.0676909,0.000102134
0.84,0.0673727,8.68922e-05
0.85,0.0670581,7.38085e-05
0.86,0.066747,6.25962e-05
0.87,0.0664394,5.30036e-05
0.88,0.0661352,4.48103e-05
0.89,0.0658343,3.78238e-05
0.9,0.0655367,3.18762e-05
0.91,0.0652424,2.68213e-05
0.92,0.0649512,2.25324e-05
0.93,0.0646632,1.88994e-05
0.94,0.0643782,1.58271e-05
0.95,0.0640962,1.32332e-05
0.96,0.0638172,1.10469e-05
0.97,0.063541,9.20712e-06
0.98,0.0632677,7.66158e-06
0.99,0.0629971,6.36535e-06
1,0.0627292,5.28001e-06
1.01,0.0624639,4.37276e-06
1.02,0.0622011,3.61563e-06
1.03,0.0619409,2.98483e-06
1.04,0.061683,2.46015e-06
1.05,0.0614276,2.02446e-06
1.06,0.0611744,1.66327e-06
1.07,0.0609235,1.36434e-06
1.08,0.0606747,1.11734e-06
1.09,0.0604281,9.1359e-07
1.1,0.0601835,7.458e-07
1.11,0.0599408,6.07849e-07
1.12,0.0597001,4.9462e-07
1.13,0.0594613,4.01837e-07
1.14,0.0592242,3.25934e-07
1.15,0.0589889,2.63943e-07
1.16,0.0587552,2.13399e-07
1.17,0.0585231,1.72255e-07
1.18,0.0582925,1.3882e-07
1.19,0.0580635,1.11695e-07
1.2,0.0578358,8.97247e-08
1.21,0.0576095,7.19597e-08
1.22,0.0573844,5.76187e-08
1.23,0.0571606,4.60613e-08
1.24,0.056938,3.67625e-08
1.25,0.0567165,2.92934e-08
1.26,0.056496,2.33041e-08
1.27,0.0562765,1.85092e-08
1.28,0.0560579,1.46771e-08
1.29,0.0558402,1.16195e-08
1.3,0.0556233,9.18394e-09
1.31,0.0554071,7.2471e-09
1.32,0.0551916,5.70943e-09
1.33,0.0549768,4.49071e-09
1.34,0.0547625,3.52638e-09
1.35,0.0545487,2.76463e-09
1.36,0.0543354,2.16389e-09
1.37,0.0541224,1.69093e-09
1.38,0.0539098,1.31919e-09
1.39,0.0536974,1.0275e-09
1.4,0.0534853,7.98997e-10
1.41,0.0532733,6.20295e-10
1.42,0.0530614,4.80775e-10
1.43,0.0528495,3.72027e-10
1.44,0.0526377,2.87406e-10
1.45,0.0524257,2.2167e-10
1.46,0.0522136,1.70689e-10
1.47,0.0520012,1.31218e-10
1.48,0.0517887,1.00709e-10
1.49,0.0515758,7.71669e-11
