phi,Ridge,Jet
-1,0.0737372,0.00276002
-0.995,0.0748209,0.00288266
-0.99,0.0759215,0.00301028
-0.985,0.0770395,0.00314306
-0.98,0.0781751,0.00328118
-0.975,0.0793286,0.00342483
-0.97,0.0805002,0.00357422
-0.965,0.0816902,0.00372954
-0.96,0.082899,0.003891
-0.955,0.0841267,0.00405881
-0.95,0.0853738,0.0042332
-0.945,0.0866404,0.0044144
-0.94,0.0879269,0.00460264
-0.935,0.0892337,0.00479816
-0.93,0.0905609,0.0050012
-0.925,0.091909,0.00521202
-0.92,0.0932782,0.00543089
-0.915,0.0946689,0.00565807
-0.91,0.0960814,0.00589383
-0.905,0.097516,0.00613847
-0.9,0.098973,0.00639227
-0.895,0.100453,0.00665553
-0.89,0.101956,0.00692856
-0.885,0.103482,0.00721167
-0.88,0.105033,0.00750519
-0.875,0.106607,0.00780945
-0.87,0.108206,0.00812478
-0.865,0.10983,0.00845154
-0.86,0.11148,0.00879008
-0.855,0.113155,0.00914077
-0.85,0.114856,0.00950399
-0.845,0.116583,0.00988011
-0.84,0.118337,0.0102695
-0.835,0.120119,0.0106727
-0.83,0.121928,0.0110899
-0.825,0.123765,0.0115217
-0.82,0.12563,0.0119684
-0.815,0.127525,0.0124306
-0.81,0.129448,0.0129086
-0.805,0.131401,0.0134029
-0.8,0.133385,0.0139141
-0.795,0.135399,0.0144425
-0.79,0.137443,0.0149886
-0.785,0.139519,0.015553
-0.78,0.141627,0.0161362
-0.775,0.143767,0.0167387
-0.77,0.14594,0.0173611
-0.765,0.148146,0.0180038
-0.76,0.150386,0.0186674
-0.755,0.152659,0.0193525
-0.75,0.154967,0.0200597
-0.745,0.15731,0.0207895
-0.74,0.159689,0.0215426
-0.735,0.162104,0.0223195
-0.73,0.164555,0.023121
-0.725,0.167042,0.0239475
-0.72,0.169568,0.0247997
-0.715,0.172131,0.0256784
-0.71,0.174732,0.0265841
-0.705,0.177373,0.0275175
-0.7,0.180052,0.0284794
-0.695,0.182772,0.0294703
-0.69,0.185532,0.030491
-0.685,0.188333,0.0315422
-0.68,0.191175,0.0326247
-0.675,0.194059,0.0337392
-0.67,0.196986,0.0348863
-0.665,0.199955,0.0360669
-0.66,0.202968,0.0372817
-0.655,0.206025,0.0385315
-0.65,0.209126,0.0398171
-0.645,0.212273,0.0411392
-0.64,0.215465,0.0424987
-0.635,0.218703,0.0438963
-0.63,0.221987,0.0453329
-0.625,0.225319,0.0468092
-0.62,0.228698,0.0483262
-0.615,0.232126,0.0498846
-0.61,0.235602,0.0514853
-0.605,0.239127,0.053129
-0.6,0.242702,0.0548168
-0.595,0.246328,0.0565494
-0.59,0.250004,0.0583276
-0.585,0.253731,0.0601524
-0.58,0.25751,0.0620246
-0.575,0.261342,0.0639451
-0.57,0.265226,0.0659147
-0.565,0.269164,0.0679343
-0.56,0.273155,0.0700048
-0.555,0.277201,0.072127
-0.55,0.281301,0.0743019
-0.545,0.285457,0.0765302
-0.54,0.289668,0.0788128
-0.535,0.293936,0.0811507
-0.53,0.298261,0.0835445
-0.525,0.302642,0.0859953
-0.52,0.307081,0.0885038
-0.515,0.311578,0.0910708
-0.51,0.316134,0.0936972
-0.505,0.320748,0.0963838
-0.5,0.325422,0.0991314
-0.495,0.330155,0.101941
-0.49,0.334949,0.104813
-0.485,0.339802,0.107748
-0.48,0.344717,0.110747
-0.475,0.349692,0.113811
-0.47,0.354729,0.11694
-0.465,0.359827,0.120135
-0.46,0.364988,0.123397
-0.455,0.37021,0.126726
-0.45,0.375496,0.130124
-0.445,0.380843,0.133589
-0.44,0.386254,0.137124
-0.435,0.391727,0.140728
-0.43,0.397264,0.144402
-0.425,0.402864,0.148146
-0.42,0.408527,0.151961
-0.415,0.414254,0.155846
-0.41,0.420044,0.159803
-0.405,0.425898,0.163832
-0.4,0.431815,0.167932
-0.395,0.437795,0.172103
-0.39,0.443839,0.176346
-0.385,0.449945,0.180661
-0.38,0.456115,0.185047
-0.375,0.462346,0.189505
-0.37,0.46864,0.194033
-0.365,0.474996,0.198633
-0.36,0.481414,0.203302
-0.355,0.487893,0.208042
-0.35,0.494432,0.212851
-0.345,0.501031,0.217728
-0.34,0.50769,0.222673
-0.335,0.514407,0.227684
-0.33,0.521182,0.232762
-0.325,0.528014,0.237904
-0.32,0.534903,0.243109
-0.315,0.541847,0.248377
-0.31,0.548844,0.253704
-0.305,0.555895,0.259091
-0.3,0.562998,0.264535
-0.295,0.57015,0.270033
-0.29,0.577352,0.275585
-0.285,0.584601,0.281188
-0.28,0.591896,0.286838
-0.275,0.599235,0.292535
-0.27,0.606616,0.298274
-0.265,0.614036,0.304054
-0.26,0.621495,0.309871
-0.255,0.628989,0.315721
-0.25,0.636516,0.321602
-0.245,0.644074,0.327509
-0.24,0.651659,0.333439
-0.235,0.659269,0.339388
-0.23,0.6669,0.345351
-0.225,0.67455,0.351324
-0.22,0.682214,0.357303
-0.215,0.689889,0.363282
-0.21,0.697572,0.369256
-0.205,0.705256,0.375221
-0.2,0.712939,0.38117
-0.195,0.720616,0.387099
-0.19,0.728281,0.393002
-0.185,0.735929,0.398871
-0.18,0.743555,0.404702
-0.175,0.751153,0.410488
-0.17,0.758715,0.416223
-0.165,0.766237,0.421899
-0.16,0.77371,0.42751
-0.155,0.781128,0.43305
-0.15,0.788483,0.43851
-0.145,0.795765,0.443885
-0.14,0.802968,0.449167
-0.135,0.810082,0.454349
-0.13,0.817096,0.459423
-0.125,0.824002,0.464382
-0.12,0.830789,0.469219
-0.115,0.837446,0.473927
-0.11,0.843962,0.478498
-0.105,0.850325,0.482926
-0.1,0.856522,0.487203
-0.095,0.86254,0.491321
-0.09,0.868368,0.495276
-0.085,0.873991,0.499059
-0.08,0.879396,0.502664
-0.075,0.884568,0.506085
-0.07,0.889494,0.509316
-0.065,0.894159,0.512351
-0.06,0.89855,0.515185
-0.055,0.902652,0.517812
-0.05,0.906451,0.520228
-0.045,0.909935,0.522428
-0.04,0.91309,0.524408
-0.035,0.915905,0.526164
-0.03,0.918369,0.527693
-0.025,0.920472,0.528992
-0.02,0.922205,0.530058
-0.015,0.92356,0.530889
-0.01,0.924533,0.531484
-0.005,0.925118,0.531841
8.20524e-16,0.925314,0.531961
0.005,0.925118,0.531841
0.01,0.924533,0.531484
0.015,0.92356,0.530889
0.02,0.922205,0.530058
0.025,0.920472,0.528992
0.03,0.918369,0.527693
0.035,0.915905,0.526164
0.04,0.91309,0.524408
0.045,0.909935,0.522428
0.05,0.906451,0.520228
0.055,0.902652,0.517812
0.06,0.89855,0.515185
0.065,0.894159,0.512351
0.07,0.889494,0.509316
0.075,0.884568,0.506085
0.08,0.879396,0.502664
0.085,0.873991,0.499059
0.09,0.868368,0.495276
0.095,0.86254,0.491321
0.1,0.856522,0.487203
0.105,0.850325,0.482926
0.11,0.843962,0.478498
0.115,0.837446,0.473927
0.12,0.830789,0.469219
0.125,0.824002,0.464382
0.13,0.817096,0.459423
0.135,0.810082,0.454349
0.14,0.802968,0.449167
0.145,0.795765,0.443885
0.15,0.788483,0.43851
0.155,0.781128,0.43305
0.16,0.77371,0.42751
0.165,0.766237,0.421899
0.17,0.758715,0.416223
0.175,0.751153,0.410488
0.18,0.743555,0.404702
0.185,0.735929,0.398871
0.19,0.728281,0.393002
0.195,0.720616,0.387099
0.2,0.712939,0.38117
0.205,0.705256,0.375221
0.21,0.697572,0.369256
0.215,0.689889,0.363282
0.22,0.682214,0.357303
0.225,0.67455,0.351324
0.23,0.6669,0.345351
0.235,0.659269,0.339388
0.24,0.651659,0.333439
0.245,0.644074,0.327509
0.25,0.636516,0.321602
0.255,0.628989,0.315721
0.26,0.621495,0.309871
0.265,0.614036,0.304054
0.27,0.606616,0.298274
0.275,0.599235,0.292535
0.28,0.591896,0.286838
0.285,0.584601,0.281188
0.29,0.577352,0.275585
0.295,0.57015,0.270033
0.3,0.562998,0.264535
0.305,0.555895,0.259091
0.31,0.548844,0.253704
0.315,0.541847,0.248377
0.32,0.534903,0.243109
0.325,0.528014,0.237904
0.33,0.521182,0.232762
0.335,0.514407,0.227684
0.34,0.50769,0.222673
0.345,0.501031,0.217728
0.35,0.494432,0.212851
0.355,0.487893,0.208042
0.36,0.481414,0.203302
0.365,0.474996,0.198633
