eta,phi,E/Ei
-5,-1,0.0100003
-5,-0.98,0.0100003
-5,-0.96,0.0100003
-5,-0.94,0.0100003
-5,-0.92,0.0100003
-5,-0.9,0.0100003
-5,-0.88,0.0100004
-5,-0.86,0.0100004
-5,-0.84,0.0100004
-5,-0.82,0.0100004
-5,-0.8,0.0100004
-5,-0.78,0.0100004
-5,-0.76,0.0100004
-5,-0.74,0.0100004
-5,-0.72,0.0100005
-5,-0.7,0.0100005
-5,-0.68,0.0100005
-5,-0.66,0.0100005
-5,-0.64,0.0100005
-5,-0.62,0.0100005
-5,-0.6,0.0100005
-5,-0.58,0.0100005
-5,-0.56,0.0100005
-5,-0.54,0.0100006
-5,-0.52,0.0100006
-5,-0.5,0.0100006
-5,-0.48,0.0100006
-5,-0.46,0.0100006
-5,-0.44,0.0100006
-5,-0.42,0.0100006
-5,-0.4,0.0100006
-5,-0.38,0.0100006
-5,-0.36,0.0100006
-5,-0.34,0.0100006
-5,-0.32,0.0100006
-5,-0.3,0.0100006
-5,-0.28,0.0100006
-5,-0.26,0.0100007
-5,-0.24,0.0100007
-5,-0.22,0.0100007
-5,-0.2,0.0100007
-5,-0.18,0.0100007
-5,-0.16,0.0100007
-5,-0.14,0.0100007
-5,-0.12,0.0100007
-5,-0.1,0.0100007
-5,-0.08,0.0100007
-5,-0.06,0.0100007
-5,-0.04,0.0100007
-5,-0.02,0.0100007
-5,6.17562e-16,0.0100007
-5,0.02,0.0100007
-5,0.04,0.0100007
-5,0.06,0.0100007
-5,0.08,0.0100007
-5,0.1,0.0100007
-5,0.12,0.0100007
-5,0.14,0.0100007
-5,0.16,0.0100007
-5,0.18,0.0100007
-5,0.2,0.0100007
-5,0.22,0.0100007
-5,0.24,0.0100007
-5,0.26,0.0100007
-5,0.28,0.0100006
-5,0.3,0.0100006
-5,0.32,0.0100006
-5,0.34,0.0100006
-5,0.36,0.0100006
-5,0.38,0.0100006
-5,0.4,0.0100006
-5,0.42,0.0100006
-5,0.44,0.0100006
-5,0.46,0.0100006
-5,0.48,0.0100006
-5,0.5,0.0100006
-5,0.52,0.0100006
-5,0.54,0.0100006
-5,0.56,0.0100005
-5,0.58,0.0100005
-5,0.6,0.0100005
-5,0.62,0.0100005
-5,0.64,0.0100005
-5,0.66,0.0100005
-5,0.68,0.0100005
-5,0.7,0.0100005
-5,0.72,0.0100005
-5,0.74,0.0100004
-5,0.76,0.0100004
-5,0.78,0.0100004
-5,0.8,0.0100004
-5,0.82,0.0100004
-5,0.84,0.0100004
-5,0.86,0.0100004
-5,0.88,0.0100004
-5,0.9,0.0100003
-5,0.92,0.0100003
-5,0.94,0.0100003
-5,0.96,0.0100003
-5,0.98,0.0100003
-5,1,0.0100003
-4.9,-1,0.0100003
-4.9,-0.98,0.0100003
-4.9,-0.96,0.0100004
-4.9,-0.94,0.0100004
-4.9,-0.92,0.0100004
-4.9,-0.9,0.0100004
-4.9,-0.88,0.0100004
-4.9,-0.86,0.0100004
-4.9,-0.84,0.0100005
-4.9,-0.82,0.0100005
-4.9,-0.8,0.0100005
-4.9,-0.78,0.0100005
-4.9,-0.76,0.0100005
-4.9,-0.74,0.0100005
-4.9,-0.72,0.0100006
-4.9,-0.7,0.0100006
-4.9,-0.68,0.0100006
-4.9,-0.66,0.0100006
-4.9,-0.64,0.0100006
-4.9,-0.62,0.0100006
-4.9,-0.6,0.0100006
-4.9,-0.58,0.0100007
-4.9,-0.56,0.0100007
-4.9,-0.54,0.0100007
-4.9,-0.52,0.0100007
-4.9,-0.5,0.0100007
-4.9,-0.48,0.0100007
-4.9,-0.46,0.0100007
-4.9,-0.44,0.0100007
-4.9,-0.42,0.0100007
-4.9,-0.4,0.0100007
-4.9,-0.38,0.0100008
-4.9,-0.36,0.0100008
-4.9,-0.34,0.0100008
-4.9,-0.32,0.0100008
-4.9,-0.3,0.0100008
-4.9,-0.28,0.0100008
-4.9,-0.26,0.0100008
-4.9,-0.24,0.0100008
-4.9,-0.22,0.0100008
-4.9,-0.2,0.0100008
-4.9,-0.18,0.0100008
-4.9,-0.16,0.0100008
-4.9,-0.14,0.0100008
-4.9,-0.12,0.0100008
-4.9,-0.1,0.0100008
-4.9,-0.08,0.0100008
-4.9,-0.06,0.0100008
-4.9,-0.04,0.0100008
-4.9,-0.02,0.0100008
-4.9,6.17562e-16,0.0100008
-4.9,0.02,0.0100008
-4.9,0.04,0.0100008
-4.9,0.06,0.0100008
-4.9,0.08,0.0100008
-4.9,0.1,0.0100008
-4.9,0.12,0.0100008
-4.9,0.14,0.0100008
-4.9,0.16,0.0100008
-4.9,0.18,0.0100008
-4.9,0.2,0.0100008
-4.9,0.22,0.0100008
-4.9,0.24,0.0100008
-4.9,0.26,0.0100008
-4.9,0.28,0.0100008
-4.9,0.3,0.0100008
-4.9,0.32,0.0100008
-4.9,0.34,0.0100008
-4.9,0.36,0.0100008
-4.9,0.38,0.0100008
-4.9,0.4,0.0100007
-4.9,0.42,0.0100007
-4.9,0.44,0.0100007
-4.9,0.46,0.0100007
-4.9,0.48,0.0100007
-4.9,0.5,0.0100007
-4.9,0.52,0.0100007
-4.9,0.54,0.0100007
-4.9,0.56,0.0100007
-4.9,0.58,0.0100007
-4.9,0.6,0.0100006
-4.9,0.62,0.0100006
-4.9,0.64,0.0100006
-4.9,0.66,0.0100006
-4.9,0.68,0.0100006
-4.9,0.7,0.0100006
-4.9,0.72,0.0100006
-4.9,0.74,0.0100005
-4.9,0.76,0.0100005
-4.9,0.78,0.0100005
-4.9,0.8,0.0100005
-4.9,0.82,0.0100005
-4.9,0.84,0.0100005
-4.9,0.86,0.0100004
-4.9,0.88,0.0100004
-4.9,0.9,0.0100004
-4.9,0.92,0.0100004
-4.9,0.94,0.0100004
-4.9,0.96,0.0100004
-4.9,0.98,0.0100003
-4.9,1,0.0100003
-4.8,-1,0.0100004
-4.8,-0.98,0.0100004
-4.8,-0.96,0.0100004
-4.8,-0.94,0.0100005
-4.8,-0.92,0.0100005
-4.8,-0.9,0.0100005
-4.8,-0.88,0.0100005
-4.8,-0.86,0.0100005
-4.8,-0.84,0.0100006
-4.8,-0.82,0.0100006
-4.8,-0.8,0.0100006
-4.8,-0.78,0.0100006
-4.8,-0.76,0.0100006
-4.8,-0.74,0.0100007
-4.8,-0.72,0.0100007
-4.8,-0.7,0.0100007
-4.8,-0.68,0.0100007
-4.8,-0.66,0.0100007
-4.8,-0.64,0.0100007
-4.8,-0.62,0.0100008
-4.8,-0.6,0.0100008
-4.8,-0.58,0.0100008
-4.8,-0.56,0.0100008
-4.8,-0.54,0.0100008
-4.8,-0.52,0.0100008
-4.8,-0.5,0.0100009
-4.8,-0.48,0.0100009
-4.8,-0.46,0.0100009
-4.8,-0.44,0.0100009
-4.8,-0.42,0.0100009
-4.8,-0.4,0.0100009
-4.8,-0.38,0.0100009
-4.8,-0.36,0.0100009
-4.8,-0.34,0.0100009
-4.8,-0.32,0.0100009
-4.8,-0.3,0.010001
-4.8,-0.28,0.010001
-4.8,-0.26,0.010001
-4.8,-0.24,0.010001
-4.8,-0.22,0.010001
-4.8,-0.2,0.010001
-4.8,-0.18,0.010001
-4.8,-0.16,0.010001
-4.8,-0.14,0.010001
-4.8,-0.12,0.010001
-4.8,-0.1,0.010001
-4.8,-0.08,0.010001
-4.8,-0.06,0.010001
-4.8,-0.04,0.010001
-4.8,-0.02,0.010001
-4.8,6.17562e-16,0.010001
-4.8,0.02,0.010001
-4.8,0.04,0.010001
-4.8,0.06,0.010001
-4.8,0.08,0.010001
-4.8,0.1,0.010001
-4.8,0.12,0.010001
-4.8,0.14,0.010001
-4.8,0.16,0.010001
-4.8,0.18,0.010001
-4.8,0.2,0.010001
-4.8,0.22,0.010001
-4.8,0.24,0.010001
-4.8,0.26,0.010001
-4.8,0.28,0.010001
-4.8,0.3,0.010001
-4.8,0.32,0.0100009
-4.8,0.34,0.0100009
-4.8,0.36,0.0100009
-4.8,0.38,0.0100009
-4.8,0.4,0.0100009
-4.8,0.42,0.0100009
-4.8,0.44,0.0100009
-4.8,0.46,0.0100009
-4.8,0.48,0.0100009
