ptf,yi,yf,cosh(yf)/cosh(yi)
0.15,0,0,1
0.15385,0,0,1
0.1577,0,0,1
0.16155,0,0,1
0.1654,0,0,1
0.16925,0,0,1
0.1731,0,0,1
0.17695,0,0,1
0.1808,0,0,1
0.18465,0,0,1
0.1885,0,0,1
0.19235,0,0,1
0.1962,0,0,1
0.20005,0,0,1
0.2039,0,0,1
0.20775,0,0,1
0.2116,0,0,1
0.21545,0,0,1
0.2193,0,0,1
0.22315,0,0,1
0.227,0,0,1
0.23085,0,0,1
0.2347,0,0,1
0.23855,0,0,1
0.2424,0,0,1
0.24625,0,0,1
0.2501,0,0,1
0.25395,0,0,1
0.2578,0,0,1
0.26165,0,0,1
0.2655,0,0,1
0.26935,0,0,1
0.2732,0,0,1
0.27705,0,0,1
0.2809,0,0,1
0.28475,0,0,1
0.2886,0,0,1
0.29245,0,0,1
0.2963,0,0,1
0.30015,0,0,1
0.304,0,0,1
0.30785,0,0,1
0.3117,0,0,1
0.31555,0,0,1
0.3194,0,0,1
0.32325,0,0,1
0.3271,0,0,1
0.33095,0,0,1
0.3348,0,0,1
0.33865,0,0,1
0.3425,0,0,1
0.34635,0,0,1
0.3502,0,0,1
0.35405,0,0,1
0.3579,0,0,1
0.36175,0,0,1
0.3656,0,0,1
0.36945,0,0,1
0.3733,0,0,1
0.37715,0,0,1
0.381,0,0,1
0.38485,0,0,1
0.3887,0,0,1
0.39255,0,0,1
0.3964,0,0,1
0.40025,0,0,1
0.4041,0,0,1
0.40795,0,0,1
0.4118,0,0,1
0.41565,0,0,1
0.4195,0,0,1
0.42335,0,0,1
0.4272,0,0,1
0.43105,0,0,1
0.4349,0,0,1
0.43875,0,0,1
0.4426,0,0,1
0.44645,0,0,1
0.4503,0,0,1
0.45415,0,0,1
0.458,0,0,1
0.46185,0,0,1
0.4657,0,0,1
0.46955,0,0,1
0.4734,0,0,1
0.47725,0,0,1
0.4811,0,0,1
0.48495,0,0,1
0.4888,0,0,1
0.49265,0,0,1
0.4965,0,0,1
0.50035,0,0,1
0.5042,0,0,1
0.50805,0,0,1
0.5119,0,0,1
0.51575,0,0,1
0.5196,0,0,1
0.52345,0,0,1
0.5273,0,0,1
0.53115,0,0,1
0.535,0,0,1
0.53885,0,0,1
0.5427,0,0,1
0.54655,0,0,1
0.5504,0,0,1
0.55425,0,0,1
0.5581,0,0,1
0.56195,0,0,1
0.5658,0,0,1
0.56965,0,0,1
0.5735,0,0,1
0.57735,0,0,1
0.5812,0,0,1
0.58505,0,0,1
0.5889,0,0,1
0.59275,0,0,1
0.5966,0,0,1
0.60045,0,0,1
0.6043,0,0,1
0.60815,0,0,1
0.612,0,0,1
0.61585,0,0,1
0.6197,0,0,1
0.62355,0,0,1
0.6274,0,0,1
0.63125,0,0,1
