ptf,yi,yf,cosh(yf)/cosh(yi)
0.15,1.48797,1.22697,0.795896
0.15385,1.48787,1.23675,0.802564
0.1577,1.48776,1.24606,0.808989
0.16155,1.48765,1.25493,0.81518
0.1654,1.48753,1.26338,0.821145
0.16925,1.48742,1.27143,0.826892
0.1731,1.4873,1.27911,0.83243
0.17695,1.48719,1.28644,0.837766
0.1808,1.48707,1.29344,0.842908
0.18465,1.48695,1.30013,0.847865
0.1885,1.48682,1.30651,0.852643
0.19235,1.4867,1.31262,0.85725
0.1962,1.48657,1.31846,0.861693
0.20005,1.48645,1.32405,0.865979
0.2039,1.48632,1.3294,0.870114
0.20775,1.48619,1.33453,0.874104
0.2116,1.48605,1.33944,0.877956
0.21545,1.48592,1.34414,0.881675
0.2193,1.48578,1.34866,0.885268
0.22315,1.48564,1.35299,0.888738
0.227,1.4855,1.35715,0.892092
0.23085,1.48536,1.36114,0.895335
0.2347,1.48521,1.36498,0.89847
0.23855,1.48507,1.36867,0.901503
0.2424,1.48492,1.37221,0.904439
0.24625,1.48477,1.37562,0.90728
0.2501,1.48461,1.3789,0.910031
0.25395,1.48446,1.38206,0.912696
0.2578,1.4843,1.38511,0.915279
0.26165,1.48414,1.38804,0.917783
0.2655,1.48397,1.39086,0.920211
0.26935,1.48381,1.39359,0.922567
0.2732,1.48364,1.39621,0.924853
0.27705,1.48347,1.39875,0.927072
0.2809,1.48329,1.40119,0.929228
0.28475,1.48312,1.40355,0.931323
0.2886,1.48294,1.40584,0.933359
0.29245,1.48275,1.40804,0.935339
0.2963,1.48257,1.41017,0.937265
0.30015,1.48238,1.41223,0.939139
0.304,1.48219,1.41422,0.940964
0.30785,1.48199,1.41615,0.942742
0.3117,1.4818,1.41801,0.944474
0.31555,1.4816,1.41982,0.946163
0.3194,1.48139,1.42156,0.947809
0.32325,1.48118,1.42326,0.949416
0.3271,1.48097,1.4249,0.950985
0.33095,1.48076,1.42649,0.952517
0.3348,1.48054,1.42803,0.954013
0.33865,1.48032,1.42952,0.955476
0.3425,1.48009,1.43097,0.956907
0.34635,1.47986,1.43238,0.958306
0.3502,1.47963,1.43374,0.959676
0.35405,1.47939,1.43507,0.961018
0.3579,1.47915,1.43635,0.962332
0.36175,1.4789,1.4376,0.96362
0.3656,1.47865,1.43882,0.964884
0.36945,1.4784,1.44,0.966123
0.3733,1.47814,1.44115,0.96734
0.37715,1.47788,1.44226,0.968535
0.381,1.47761,1.44334,0.969709
0.38485,1.47733,1.4444,0.970864
0.3887,1.47706,1.44543,0.971999
0.39255,1.47677,1.44642,0.973117
0.3964,1.47648,1.4474,0.974218
0.40025,1.47619,1.44834,0.975302
0.4041,1.47589,1.44926,0.976371
0.40795,1.47558,1.45016,0.977425
0.4118,1.47527,1.45104,0.978465
0.41565,1.47495,1.45189,0.979492
0.4195,1.47463,1.45272,0.980506
0.42335,1.4743,1.45353,0.981509
0.4272,1.47397,1.45432,0.982501
0.43105,1.47362,1.45509,0.983482
0.4349,1.47327,1.45584,0.984454
0.43875,1.47292,1.45657,0.985416
0.4426,1.47256,1.45728,0.98637
0.44645,1.47218,1.45798,0.987317
0.4503,1.47181,1.45866,0.988256
0.45415,1.47142,1.45933,0.989189
0.458,1.47103,1.45997,0.990115
0.46185,1.47063,1.46061,0.991037
0.4657,1.47022,1.46123,0.991953
0.46955,1.4698,1.46183,0.992866
0.4734,1.46937,1.46242,0.993775
0.47725,1.46893,1.463,0.99468
0.4811,1.46849,1.46356,0.995584
0.48495,1.46803,1.46412,0.996485
