pt, Ei, Ef, Ei/Ef, Ef/Ei
0.150000, 24.199891, 4.375800, 5.530393, 0.180819
0.160000, 24.218597, 4.575169, 5.293487, 0.188911
0.170000, 24.238519, 4.778106, 5.072830, 0.197129
0.180000, 24.259657, 4.984186, 4.867326, 0.205452
0.190000, 24.282014, 5.193045, 4.675872, 0.213864
0.200000, 24.305591, 5.404368, 4.497398, 0.222351
0.210000, 24.330390, 5.617885, 4.330881, 0.230900
0.220000, 24.356414, 5.833360, 4.175366, 0.239500
0.230000, 24.383665, 6.050590, 4.029965, 0.248141
0.240000, 24.412144, 6.269396, 3.893859, 0.256815
0.250000, 24.441855, 6.489622, 3.766299, 0.265513
0.260000, 24.472799, 6.711132, 3.646598, 0.274228
0.270000, 24.504979, 6.933805, 3.534131, 0.282955
0.280000, 24.538399, 7.157535, 3.428331, 0.291687
0.290000, 24.573060, 7.382227, 3.328678, 0.300420
0.300000, 24.608966, 7.607798, 3.234703, 0.309147
0.310000, 24.646121, 7.834174, 3.145976, 0.317866
0.320000, 24.684526, 8.061287, 3.062107, 0.326572
0.330000, 24.724187, 8.289077, 2.982743, 0.335262
0.340000, 24.765105, 8.517493, 2.907558, 0.343931
0.350000, 24.807286, 8.746484, 2.836258, 0.352577
0.360000, 24.850732, 8.976008, 2.768573, 0.361197
0.370000, 24.895448, 9.206026, 2.704256, 0.369788
0.380000, 24.941438, 9.436501, 2.643081, 0.378346
0.390000, 24.988706, 9.667402, 2.584842, 0.386871
0.400000, 25.037256, 9.898698, 2.529348, 0.395359
0.410000, 25.087095, 10.130364, 2.476426, 0.403808
0.420000, 25.138225, 10.362375, 2.425913, 0.412216
0.430000, 25.190652, 10.594708, 2.377664, 0.420581
0.440000, 25.244382, 10.827343, 2.331540, 0.428901
0.450000, 25.299420, 11.060261, 2.287416, 0.437175
0.460000, 25.355771, 11.293445, 2.245176, 0.445399
0.470000, 25.413442, 11.526878, 2.204712, 0.453574
0.480000, 25.472437, 11.760546, 2.165923, 0.461697
0.490000, 25.532765, 11.994436, 2.128717, 0.469766
0.500000, 25.594430, 12.228534, 2.093009, 0.477781
0.510000, 25.657441, 12.462829, 2.058717, 0.485739
0.520000, 25.721803, 12.697310, 2.025768, 0.493640
0.530000, 25.787524, 12.931968, 1.994091, 0.501482
0.540000, 25.854613, 13.166792, 1.963623, 0.509263
0.550000, 25.923076, 13.401775, 1.934302, 0.516982
0.560000, 25.992921, 13.636907, 1.906072, 0.524639
0.570000, 26.064159, 13.872182, 1.878880, 0.532232
0.580000, 26.136797, 14.107592, 1.852676, 0.539760
0.590000, 26.210844, 14.343131, 1.827414, 0.547221
0.600000, 26.286310, 14.578793, 1.803051, 0.554615
0.610000, 26.363206, 14.814571, 1.779546, 0.561941
0.620000, 26.441542, 15.050460, 1.756859, 0.569198
0.630000, 26.521328, 15.286456, 1.734956, 0.576384
0.640000, 26.602576, 15.522552, 1.713802, 0.583498
0.650000, 26.685298, 15.758746, 1.693364, 0.590540
0.660000, 26.769506, 15.995032, 1.673614, 0.597509
0.670000, 26.855214, 16.231407, 1.654522, 0.604404
0.680000, 26.942434, 16.467866, 1.636061, 0.611224
0.690000, 27.031182, 16.704406, 1.618207, 0.617968
0.700000, 27.121473, 16.941024, 1.600935, 0.624635
0.710000, 27.213321, 17.177717, 1.584222, 0.631225
0.720000, 27.306744, 17.414481, 1.568048, 0.637736
0.730000, 27.401759, 17.651314, 1.552392, 0.644167
0.740000, 27.498385, 17.888213, 1.537235, 0.650519
0.750000, 27.596640, 18.125175, 1.522559, 0.656789
0.760000, 27.696545, 18.362198, 1.508346, 0.662978
0.770000, 27.798123, 18.599279, 1.494581, 0.669084
0.780000, 27.901395, 18.836417, 1.481247, 0.675107
0.790000, 28.006386, 19.073610, 1.468332, 0.681045
0.800000, 28.113123, 19.310854, 1.455820, 0.686898
0.810000, 28.221632, 19.548149, 1.443698, 0.692665
0.820000, 28.331943, 19.785493, 1.431955, 0.698346
0.830000, 28.444088, 20.022883, 1.420579, 0.703938
0.840000, 28.558099, 20.260319, 1.409558, 0.709442
0.850000, 28.674012, 20.497798, 1.398883, 0.714856
0.860000, 28.791866, 20.735319, 1.388542, 0.720180
0.870000, 28.911702, 20.972882, 1.378528, 0.725412
0.880000, 29.033564, 21.210483, 1.368831, 0.730550
0.890000, 29.157497, 21.448123, 1.359443, 0.735595
0.900000, 29.283553, 21.685799, 1.350356, 0.740545
0.910000, 29.411784, 21.923511, 1.341564, 0.745399
0.920000, 29.542247, 22.161258, 1.333058, 0.750155
0.930000, 29.674999, 22.399038, 1.324834, 0.754812
0.940000, 29.810101, 22.636850, 1.316884, 0.759368
0.950000, 29.947612, 22.874694, 1.309203, 0.763824
0.960000, 30.087591, 23.112568, 1.301785, 0.768176
0.970000, 30.230091, 23.350471, 1.294624, 0.772425
0.980000, 30.375155, 23.588403, 1.287716, 0.776569
0.990000, 30.522811, 23.826363, 1.281052, 0.780608
1.000000, 30.673068, 24.064350, 1.274627, 0.784543
1.010000, 30.825912, 24.302362, 1.268433, 0.788374
1.020000, 30.981302, 24.540400, 1.262461, 0.792104
1.030000, 31.139177, 24.778463, 1.256703, 0.795733
1.040000, 31.299456, 25.016549, 1.251150, 0.799265
1.050000, 31.462049, 25.254659, 1.245792, 0.802702
1.060000, 31.626856, 25.492791, 1.240620, 0.806049
1.070000, 31.793777, 25.730946, 1.235624, 0.809308
1.080000, 31.962713, 25.969121, 1.230797, 0.812482
1.090000, 32.133569, 26.207318, 1.226130, 0.815574
1.100000, 32.306252, 26.445534, 1.221615, 0.818589
1.110000, 32.480676, 26.683770, 1.217245, 0.821528
1.120000, 32.656759, 26.922026, 1.213013, 0.824394
1.130000, 32.834424, 27.160300, 1.208912, 0.827190
1.140000, 33.013601, 27.398592, 1.204938, 0.829918
1.150000, 33.194221, 27.636902, 1.201083, 0.832582
1.160000, 33.376224, 27.875229, 1.197343, 0.835182
1.170000, 33.559551, 28.113573, 1.193713, 0.837722
1.180000, 33.744146, 28.351933, 1.190189, 0.840203
1.190000, 33.929960, 28.590310, 1.186764, 0.842627
1.200000, 34.116943, 28.828702, 1.183437, 0.844997
1.210000, 34.305052, 29.067109, 1.180202, 0.847313
1.220000, 34.494243, 29.305531, 1.177056, 0.849577
1.230000, 34.684478, 29.543967, 1.173995, 0.851792
1.240000, 34.875718, 29.782417, 1.171017, 0.853959
1.250000, 35.067928, 30.020882, 1.168118, 0.856078
1.260000, 35.261075, 30.259359, 1.165295, 0.858152
1.270000, 35.455126, 30.497850, 1.162545, 0.860182
1.280000, 35.650053, 30.736354, 1.159866, 0.862169
1.290000, 35.845825, 30.974870, 1.157255, 0.864114
1.300000, 36.042417, 31.213398, 1.154710, 0.866018
1.310000, 36.239802, 31.451939, 1.152228, 0.867884
1.320000, 36.437956, 31.690491, 1.149807, 0.869711
1.330000, 36.636855, 31.929054, 1.147446, 0.871501
1.340000, 36.836477, 32.167629, 1.145141, 0.873255
1.350000, 37.036801, 32.406215, 1.142892, 0.874973
1.360000, 37.237806, 32.644811, 1.140696, 0.876658
1.370000, 37.439473, 32.883418, 1.138552, 0.878309
1.380000, 37.641783, 33.122035, 1.136457, 0.879927
1.390000, 37.844718, 33.360662, 1.134411, 0.881514
1.400000, 38.048261, 33.599299, 1.132412, 0.883071
1.410000, 38.252396, 33.837946, 1.130459, 0.884597
1.420000, 38.457107, 34.076602, 1.128549, 0.886094
1.430000, 38.662378, 34.315267, 1.126682, 0.887562
1.440000, 38.868195, 34.553941, 1.124856, 0.889003
1.450000, 39.074544, 34.792624, 1.123070, 0.890417
1.460000, 39.281411, 35.031315, 1.121323, 0.891804
1.470000, 39.488783, 35.270016, 1.119613, 0.893165
1.480000, 39.696649, 35.508724, 1.117941, 0.894502
1.490000, 39.904995, 35.747440, 1.116304, 0.895814
1.500000, 40.113809, 35.986165, 1.114701, 0.897102
1.510000, 40.323082, 36.224897, 1.113132, 0.898366
1.520000, 40.532801, 36.463637, 1.111595, 0.899608
1.530000, 40.742956, 36.702385, 1.110090, 0.900828
1.540000, 40.953538, 36.941140, 1.108616, 0.902026
1.550000, 41.164536, 37.179902, 1.107172, 0.903202
1.560000, 41.375940, 37.418671, 1.105757, 0.904358
1.570000, 41.587742, 37.657447, 1.104370, 0.905494
1.580000, 41.799933, 37.896230, 1.103010, 0.906610
1.590000, 42.012503, 38.135019, 1.101678, 0.907706
1.600000, 42.225445, 38.373816, 1.100371, 0.908784
1.610000, 42.438751, 38.612618, 1.099090, 0.909843
1.620000, 42.652413, 38.851427, 1.097834, 0.910885
1.630000, 42.866422, 39.090242, 1.096602, 0.911908
1.640000, 43.080773, 39.329064, 1.095393, 0.912915
1.650000, 43.295456, 39.567891, 1.094207, 0.913904
1.660000, 43.510467, 39.806724, 1.093043, 0.914877
1.670000, 43.725797, 40.045563, 1.091901, 0.915834
1.680000, 43.941441, 40.284408, 1.090780, 0.916775
1.690000, 44.157391, 40.523258, 1.089680, 0.917700
1.700000, 44.373643, 40.762114, 1.088600, 0.918611
1.710000, 44.590189, 41.000975, 1.087540, 0.919507
1.720000, 44.807023, 41.239841, 1.086498, 0.920388
1.730000, 45.024141, 41.478712, 1.085476, 0.921255
1.740000, 45.241537, 41.717589, 1.084472, 0.922108
1.750000, 45.459205, 41.956471, 1.083485, 0.922948
1.760000, 45.677140, 42.195357, 1.082516, 0.923774
1.770000, 45.895337, 42.434249, 1.081564, 0.924587
1.780000, 46.113791, 42.673145, 1.080628, 0.925388
1.790000, 46.332498, 42.912046, 1.079708, 0.926176
1.800000, 46.551451, 43.150951, 1.078805, 0.926952
1.810000, 46.770648, 43.389861, 1.077917, 0.927716
1.820000, 46.990083, 43.628776, 1.077043, 0.928468
1.830000, 47.209752, 43.867695, 1.076185, 0.929208
1.840000, 47.429651, 44.106618, 1.075341, 0.929938
1.850000, 47.649775, 44.345545, 1.074511, 0.930656
1.860000, 47.870122, 44.584477, 1.073695, 0.931363
1.870000, 48.090685, 44.823413, 1.072892, 0.932060
1.880000, 48.311463, 45.062352, 1.072103, 0.932747
1.890000, 48.532451, 45.301296, 1.071326, 0.933423
1.900000, 48.753645, 45.540244, 1.070562, 0.934089
1.910000, 48.975043, 45.779195, 1.069810, 0.934745
1.920000, 49.196639, 46.018151, 1.069070, 0.935392
1.930000, 49.418432, 46.257110, 1.068342, 0.936029
1.940000, 49.640417, 46.496073, 1.067626, 0.936658
