pt, Ef, Ei_phi=0, Ei_phi=0.5, Ei_phi=1, Ei_phi=pi, Ei_phi=pi/2, Ei_phi=pi/4
0.150000, 0.696430, 3.262326, 3.342987, 3.555768, 4.398550, 3.872339, 3.452175
0.160000, 0.728161, 3.224530, 3.311481, 3.540013, 4.436481, 3.878142, 3.428895
0.170000, 0.760459, 3.186741, 3.280114, 3.524599, 4.474414, 3.884309, 3.405882
0.180000, 0.793258, 3.148959, 3.248891, 3.509531, 4.512350, 3.890840, 3.383140
0.190000, 0.826499, 3.111185, 3.217816, 3.494813, 4.550289, 3.897732, 3.360677
0.200000, 0.860132, 3.073418, 3.186893, 3.480449, 4.588230, 3.904983, 3.338497
0.210000, 0.894114, 3.035659, 3.156127, 3.466445, 4.626174, 3.912592, 3.316606
0.220000, 0.928408, 2.997909, 3.125522, 3.452804, 4.664120, 3.920555, 3.295010
0.230000, 0.962981, 2.960167, 3.095083, 3.439530, 4.702068, 3.928872, 3.273714
0.240000, 0.997805, 2.922435, 3.064816, 3.426629, 4.740019, 3.937540, 3.252726
0.250000, 1.032855, 2.884711, 3.034724, 3.414104, 4.777972, 3.946557, 3.232049
0.260000, 1.068110, 2.846997, 3.004814, 3.401959, 4.815927, 3.955919, 3.211692
0.270000, 1.103549, 2.809294, 2.975091, 3.390198, 4.853884, 3.965626, 3.191659
0.280000, 1.139157, 2.771601, 2.945560, 3.378826, 4.891843, 3.975673, 3.171957
0.290000, 1.174918, 2.733919, 2.916228, 3.367847, 4.929804, 3.986060, 3.152592
0.300000, 1.210819, 2.696248, 2.887100, 3.357263, 4.967767, 3.996782, 3.133570
0.310000, 1.246847, 2.658589, 2.858183, 3.347080, 5.005732, 4.007837, 3.114898
0.320000, 1.282994, 2.620942, 2.829483, 3.337300, 5.043698, 4.019223, 3.096582
0.330000, 1.319248, 2.583309, 2.801007, 3.327927, 5.081667, 4.030937, 3.078628
0.340000, 1.355601, 2.545688, 2.772762, 3.318966, 5.119637, 4.042976, 3.061043
0.350000, 1.392046, 2.508082, 2.744755, 3.310418, 5.157609, 4.055337, 3.043833
0.360000, 1.428576, 2.470491, 2.716993, 3.302287, 5.195583, 4.068017, 3.027004
0.370000, 1.465184, 2.432915, 2.689484, 3.294577, 5.233559, 4.081012, 3.010563
0.380000, 1.501866, 2.395355, 2.662235, 3.287290, 5.271536, 4.094321, 2.994517
0.390000, 1.538615, 2.357812, 2.635255, 3.280429, 5.309514, 4.107941, 2.978871
0.400000, 1.575427, 2.320287, 2.608552, 3.273996, 5.347495, 4.121867, 2.963632
0.410000, 1.612298, 2.282780, 2.582135, 3.267996, 5.385476, 4.136096, 2.948806
0.420000, 1.649223, 2.245293, 2.556013, 3.262428, 5.423460, 4.150627, 2.934399
0.430000, 1.686200, 2.207826, 2.530194, 3.257297, 5.461444, 4.165455, 2.920419
0.440000, 1.723225, 2.170381, 2.504688, 3.252604, 5.499430, 4.180578, 2.906870
0.450000, 1.760295, 2.132959, 2.479505, 3.248350, 5.537418, 4.195992, 2.893759
0.460000, 1.797408, 2.095560, 2.454655, 3.244538, 5.575407, 4.211694, 2.881092
0.470000, 1.834560, 2.058187, 2.430148, 3.241169, 5.613397, 4.227681, 2.868875
0.480000, 1.871749, 2.020840, 2.405994, 3.238245, 5.651389, 4.243949, 2.857114
0.490000, 1.908974, 1.983521, 2.382204, 3.235766, 5.689382, 4.260496, 2.845813
0.500000, 1.946232, 1.946232, 2.358789, 3.233735, 5.727376, 4.277318, 2.834980
0.510000, 1.983521, 1.908974, 2.335760, 3.232151, 5.765371, 4.294412, 2.824618
0.520000, 2.020840, 1.871749, 2.313129, 3.231015, 5.803368, 4.311775, 2.814734
0.530000, 2.058187, 1.834560, 2.290909, 3.230328, 5.841366, 4.329403, 2.805332
0.540000, 2.095560, 1.797408, 2.269110, 3.230089, 5.879365, 4.347293, 2.796418
0.550000, 2.132959, 1.760295, 2.247744, 3.230300, 5.917365, 4.365443, 2.787995
0.560000, 2.170381, 1.723225, 2.226826, 3.230960, 5.955366, 4.383848, 2.780069
0.570000, 2.207826, 1.686200, 2.206367, 3.232069, 5.993369, 4.402506, 2.772643
0.580000, 2.245293, 1.649223, 2.186380, 3.233626, 6.031372, 4.421413, 2.765722
0.590000, 2.282780, 1.612298, 2.166878, 3.235631, 6.069377, 4.440566, 2.759309
0.600000, 2.320287, 1.575427, 2.147874, 3.238082, 6.107382, 4.459963, 2.753409
0.610000, 2.357812, 1.538615, 2.129382, 3.240980, 6.145389, 4.479599, 2.748023
0.620000, 2.395355, 1.501866, 2.111416, 3.244322, 6.183397, 4.499472, 2.743157
0.630000, 2.432915, 1.465184, 2.093988, 3.248107, 6.221405, 4.519578, 2.738811
0.640000, 2.470491, 1.428576, 2.077112, 3.252334, 6.259415, 4.539916, 2.734988
0.650000, 2.508082, 1.392046, 2.060803, 3.257001, 6.297425, 4.560480, 2.731692
0.660000, 2.545688, 1.355601, 2.045072, 3.262106, 6.335437, 4.581269, 2.728923
0.670000, 2.583309, 1.319248, 2.029935, 3.267647, 6.373449, 4.602279, 2.726684
0.680000, 2.620942, 1.282994, 2.015404, 3.273621, 6.411463, 4.623508, 2.724975
0.690000, 2.658589, 1.246847, 2.001492, 3.280028, 6.449477, 4.644952, 2.723798
0.700000, 2.696248, 1.210819, 1.988213, 3.286863, 6.487492, 4.666608, 2.723153
