pt, RidgeDis
0.150000, 0.840886
0.160000, 0.844164
0.170000, 0.844694
0.180000, 0.842890
0.190000, 0.839107
0.200000, 0.833649
0.210000, 0.826777
0.220000, 0.818713
0.230000, 0.809649
0.240000, 0.799748
0.250000, 0.789152
0.260000, 0.777982
0.270000, 0.766341
0.280000, 0.754322
0.290000, 0.742002
0.300000, 0.729449
0.310000, 0.716721
0.320000, 0.703870
0.330000, 0.690940
0.340000, 0.677970
0.350000, 0.664992
0.360000, 0.652037
0.370000, 0.639129
0.380000, 0.626292
0.390000, 0.613543
0.400000, 0.600900
0.410000, 0.588377
0.420000, 0.575986
0.430000, 0.563739
0.440000, 0.551644
0.450000, 0.539709
0.460000, 0.527941
0.470000, 0.516346
0.480000, 0.504927
0.490000, 0.493690
0.500000, 0.482636
0.510000, 0.471768
0.520000, 0.461088
0.530000, 0.450598
0.540000, 0.440297
0.550000, 0.430186
0.560000, 0.420266
0.570000, 0.410535
0.580000, 0.400993
0.590000, 0.391639
0.600000, 0.382472
0.610000, 0.373490
0.620000, 0.364691
0.630000, 0.356075
0.640000, 0.347639
0.650000, 0.339380
0.660000, 0.331297
0.670000, 0.323388
0.680000, 0.315650
0.690000, 0.308080
0.700000, 0.300677
0.710000, 0.293437
0.720000, 0.286358
0.730000, 0.279438
0.740000, 0.272673
0.750000, 0.266062
0.760000, 0.259601
0.770000, 0.253287
0.780000, 0.247119
0.790000, 0.241092
0.800000, 0.235206
0.810000, 0.229456
0.820000, 0.223840
0.830000, 0.218357
0.840000, 0.213002
0.850000, 0.207773
0.860000, 0.202668
0.870000, 0.197684
0.880000, 0.192819
0.890000, 0.188071
0.900000, 0.183435
0.910000, 0.178911
0.920000, 0.174496
0.930000, 0.170188
0.940000, 0.165983
0.950000, 0.161880
0.960000, 0.157877
0.970000, 0.153971
0.980000, 0.150160
0.990000, 0.146442
1.000000, 0.142815
1.010000, 0.139277
1.020000, 0.135825
1.030000, 0.132458
1.040000, 0.129174
1.050000, 0.125971
1.060000, 0.122847
1.070000, 0.119799
1.080000, 0.116827
1.090000, 0.113928
1.100000, 0.111101
1.110000, 0.108344
1.120000, 0.105656
1.130000, 0.103034
1.140000, 0.100477
1.150000, 0.097983
1.160000, 0.095552
1.170000, 0.093181
1.180000, 0.090869
1.190000, 0.088615
1.200000, 0.086416
1.210000, 0.084273
1.220000, 0.082183
1.230000, 0.080145
1.240000, 0.078158
1.250000, 0.076221
1.260000, 0.074332
1.270000, 0.072490
1.280000, 0.070694
1.290000, 0.068943
1.300000, 0.067236
1.310000, 0.065571
1.320000, 0.063948
1.330000, 0.062366
1.340000, 0.060823
1.350000, 0.059319
1.360000, 0.057852
1.370000, 0.056423
1.380000, 0.055028
1.390000, 0.053669
1.400000, 0.052344
1.410000, 0.051052
1.420000, 0.049792
1.430000, 0.048564
1.440000, 0.047366
1.450000, 0.046199
1.460000, 0.045060
1.470000, 0.043950
1.480000, 0.042868
1.490000, 0.041813
1.500000, 0.040784
1.510000, 0.039781
1.520000, 0.038803
1.530000, 0.037849
1.540000, 0.036919
1.550000, 0.036012
1.560000, 0.035128
1.570000, 0.034266
1.580000, 0.033426
1.590000, 0.032606
1.600000, 0.031807
1.610000, 0.031028
1.620000, 0.030268
1.630000, 0.029527
1.640000, 0.028805
1.650000, 0.028100
1.660000, 0.027413
1.670000, 0.026743
1.680000, 0.026090
1.690000, 0.025453
1.700000, 0.024832
1.710000, 0.024226
1.720000, 0.023635
1.730000, 0.023059
1.740000, 0.022498
1.750000, 0.021950
1.760000, 0.021415
1.770000, 0.020894
1.780000, 0.020386
1.790000, 0.019891
1.800000, 0.019407
1.810000, 0.018936
1.820000, 0.018476
1.830000, 0.018028
1.840000, 0.017591
1.850000, 0.017164
1.860000, 0.016748
1.870000, 0.016343
1.880000, 0.015947
1.890000, 0.015561
1.900000, 0.015185
1.910000, 0.014817
1.920000, 0.014459
1.930000, 0.014110
1.940000, 0.013769
1.950000, 0.013437
1.960000, 0.013113
1.970000, 0.012797
1.980000, 0.012488
1.990000, 0.012187
2.000000, 0.011894
2.010000, 0.011607
2.020000, 0.011328
2.030000, 0.011056
2.040000, 0.010790
2.050000, 0.010531
2.060000, 0.010278
2.070000, 0.010031
2.080000, 0.009790
2.090000, 0.009555
2.100000, 0.009326
2.110000, 0.009103
2.120000, 0.008885
2.130000, 0.008672
2.140000, 0.008464
2.150000, 0.008262
2.160000, 0.008064
2.170000, 0.007871
2.180000, 0.007683
2.190000, 0.007500
2.200000, 0.007321
2.210000, 0.007146
2.220000, 0.006975
2.230000, 0.006809
2.240000, 0.006647
2.250000, 0.006488
2.260000, 0.006334
2.270000, 0.006183
2.280000, 0.006036
2.290000, 0.005892
2.300000, 0.005752
2.310000, 0.005616
2.320000, 0.005482
2.330000, 0.005352
2.340000, 0.005225
2.350000, 0.005101
2.360000, 0.004980
2.370000, 0.004862
2.380000, 0.004747
2.390000, 0.004634
2.400000, 0.004524
2.410000, 0.004417
2.420000, 0.004313
2.430000, 0.004211
2.440000, 0.004111
2.450000, 0.004014
2.460000, 0.003919
2.470000, 0.003827
2.480000, 0.003736
2.490000, 0.003648
2.500000, 0.003562
2.510000, 0.003478
2.520000, 0.003396
2.530000, 0.003316
2.540000, 0.003238
2.550000, 0.003162
2.560000, 0.003087
2.570000, 0.003015
2.580000, 0.002944
2.590000, 0.002875
2.600000, 0.002807
2.610000, 0.002741
2.620000, 0.002677
2.630000, 0.002614
2.640000, 0.002552
2.650000, 0.002493
2.660000, 0.002434
2.670000, 0.002377
2.680000, 0.002321
2.690000, 0.002267
2.700000, 0.002214
2.710000, 0.002162
2.720000, 0.002111
2.730000, 0.002062
2.740000, 0.002014
2.750000, 0.001967
2.760000, 0.001921
2.770000, 0.001876
2.780000, 0.001832
2.790000, 0.001789
2.800000, 0.001748
2.810000, 0.001707
2.820000, 0.001667
2.830000, 0.001628
2.840000, 0.001590
2.850000, 0.001553
2.860000, 0.001517
2.870000, 0.001482
2.880000, 0.001447
2.890000, 0.001413
2.900000, 0.001381
2.910000, 0.001348
2.920000, 0.001317
2.930000, 0.001287
2.940000, 0.001257
2.950000, 0.001227
2.960000, 0.001199
2.970000, 0.001171
2.980000, 0.001144
2.990000, 0.001117
3.000000, 0.001092
3.010000, 0.001066
3.020000, 0.001042
3.030000, 0.001017
3.040000, 0.000994
3.050000, 0.000971
3.060000, 0.000948
3.070000, 0.000926
3.080000, 0.000905
3.090000, 0.000884
3.100000, 0.000864
3.110000, 0.000844
3.120000, 0.000824
3.130000, 0.000805
3.140000, 0.000787
3.150000, 0.000768
3.160000, 0.000751
3.170000, 0.000733
3.180000, 0.000716
3.190000, 0.000700
3.200000, 0.000684
3.210000, 0.000668
3.220000, 0.000653
3.230000, 0.000638
3.240000, 0.000623
3.250000, 0.000609
