pt, Njetdis
0.150000, 1.747529
0.160000, 1.724826
0.170000, 1.701829
0.180000, 1.678621
0.190000, 1.655271
0.200000, 1.631843
0.210000, 1.608389
0.220000, 1.584956
0.230000, 1.561585
0.240000, 1.538310
0.250000, 1.515161
0.260000, 1.492163
0.270000, 1.469339
0.280000, 1.446707
0.290000, 1.424282
0.300000, 1.402079
0.310000, 1.380108
0.320000, 1.358379
0.330000, 1.336899
0.340000, 1.315674
0.350000, 1.294710
0.360000, 1.274010
0.370000, 1.253578
0.380000, 1.233414
0.390000, 1.213522
0.400000, 1.193900
0.410000, 1.174551
0.420000, 1.155472
0.430000, 1.136663
0.440000, 1.118124
0.450000, 1.099853
0.460000, 1.081848
0.470000, 1.064107
0.480000, 1.046629
0.490000, 1.029410
0.500000, 1.012448
0.510000, 0.995741
0.520000, 0.979286
0.530000, 0.963081
0.540000, 0.947122
0.550000, 0.931407
0.560000, 0.915932
0.570000, 0.900695
0.580000, 0.885693
0.590000, 0.870922
0.600000, 0.856381
0.610000, 0.842065
0.620000, 0.827971
0.630000, 0.814098
0.640000, 0.800441
0.650000, 0.786998
0.660000, 0.773765
0.670000, 0.760741
0.680000, 0.747922
0.690000, 0.735304
0.700000, 0.722886
0.710000, 0.710665
0.720000, 0.698637
0.730000, 0.686799
0.740000, 0.675151
0.750000, 0.663687
0.760000, 0.652406
0.770000, 0.641306
0.780000, 0.630383
0.790000, 0.619635
0.800000, 0.609060
0.810000, 0.598654
0.820000, 0.588416
0.830000, 0.578343
0.840000, 0.568433
0.850000, 0.558683
0.860000, 0.549091
0.870000, 0.539655
0.880000, 0.530371
0.890000, 0.521239
0.900000, 0.512256
0.910000, 0.503420
0.920000, 0.494728
0.930000, 0.486178
0.940000, 0.477769
0.950000, 0.469497
0.960000, 0.461362
0.970000, 0.453361
0.980000, 0.445492
0.990000, 0.437753
1.000000, 0.430142
1.010000, 0.422658
1.020000, 0.415298
1.030000, 0.408060
1.040000, 0.400943
1.050000, 0.393944
1.060000, 0.387063
1.070000, 0.380297
1.080000, 0.373644
1.090000, 0.367103
1.100000, 0.360672
1.110000, 0.354349
1.120000, 0.348132
1.130000, 0.342021
1.140000, 0.336013
1.150000, 0.330107
1.160000, 0.324301
1.170000, 0.318593
1.180000, 0.312983
1.190000, 0.307468
1.200000, 0.302047
1.210000, 0.296719
1.220000, 0.291482
1.230000, 0.286334
1.240000, 0.281274
1.250000, 0.276302
1.260000, 0.271415
1.270000, 0.266611
1.280000, 0.261891
1.290000, 0.257252
1.300000, 0.252693
1.310000, 0.248213
1.320000, 0.243810
1.330000, 0.239483
1.340000, 0.235232
1.350000, 0.231054
1.360000, 0.226949
1.370000, 0.222915
1.380000, 0.218951
1.390000, 0.215057
1.400000, 0.211230
1.410000, 0.207470
1.420000, 0.203776
1.430000, 0.200146
1.440000, 0.196580
1.450000, 0.193076
1.460000, 0.189634
1.470000, 0.186252
1.480000, 0.182930
1.490000, 0.179665
1.500000, 0.176459
1.510000, 0.173308
1.520000, 0.170213
1.530000, 0.167173
1.540000, 0.164186
1.550000, 0.161252
1.560000, 0.158369
1.570000, 0.155538
1.580000, 0.152757
1.590000, 0.150024
1.600000, 0.147340
1.610000, 0.144704
1.620000, 0.142114
1.630000, 0.139571
1.640000, 0.137072
1.650000, 0.134617
1.660000, 0.132207
1.670000, 0.129839
1.680000, 0.127513
1.690000, 0.125228
1.700000, 0.122984
1.710000, 0.120780
1.720000, 0.118615
1.730000, 0.116489
1.740000, 0.114400
1.750000, 0.112349
1.760000, 0.110334
1.770000, 0.108355
1.780000, 0.106412
1.790000, 0.104503
1.800000, 0.102628
1.810000, 0.100787
1.820000, 0.098978
1.830000, 0.097202
1.840000, 0.095457
1.850000, 0.093744
1.860000, 0.092061
1.870000, 0.090409
1.880000, 0.088786
1.890000, 0.087191
1.900000, 0.085626
1.910000, 0.084088
1.920000, 0.082578
1.930000, 0.081095
1.940000, 0.079639
1.950000, 0.078208
1.960000, 0.076804
1.970000, 0.075424
1.980000, 0.074069
1.990000, 0.072738
2.000000, 0.071431
2.010000, 0.070148
2.020000, 0.068888
2.030000, 0.067650
2.040000, 0.066434
2.050000, 0.065240
2.060000, 0.064068
2.070000, 0.062917
2.080000, 0.061786
2.090000, 0.060675
2.100000, 0.059585
2.110000, 0.058514
2.120000, 0.057462
2.130000, 0.056429
2.140000, 0.055415
2.150000, 0.054419
2.160000, 0.053440
2.170000, 0.052480
2.180000, 0.051536
2.190000, 0.050610
2.200000, 0.049700
2.210000, 0.048806
2.220000, 0.047929
2.230000, 0.047067
2.240000, 0.046221
2.250000, 0.045390
2.260000, 0.044574
2.270000, 0.043772
2.280000, 0.042985
2.290000, 0.042212
2.300000, 0.041453
2.310000, 0.040707
2.320000, 0.039975
2.330000, 0.039257
2.340000, 0.038551
2.350000, 0.037857
2.360000, 0.037177
2.370000, 0.036508
2.380000, 0.035851
2.390000, 0.035207
2.400000, 0.034574
2.410000, 0.033952
2.420000, 0.033341
2.430000, 0.032742
2.440000, 0.032153
2.450000, 0.031574
2.460000, 0.031007
2.470000, 0.030449
2.480000, 0.029901
2.490000, 0.029364
2.500000, 0.028835
2.510000, 0.028317
2.520000, 0.027808
2.530000, 0.027308
2.540000, 0.026816
