pt, RidgeDis
0.150000, 0.057603
0.160000, 0.063740
0.170000, 0.070262
0.180000, 0.077194
0.190000, 0.084558
0.200000, 0.092379
0.210000, 0.100684
0.220000, 0.109501
0.230000, 0.118860
0.240000, 0.128792
0.250000, 0.139331
0.260000, 0.150512
0.270000, 0.162373
0.280000, 0.174953
0.290000, 0.188296
0.300000, 0.202446
0.310000, 0.217452
0.320000, 0.233363
0.330000, 0.250236
0.340000, 0.268126
0.350000, 0.287096
0.360000, 0.307211
0.370000, 0.328540
0.380000, 0.351159
0.390000, 0.375145
0.400000, 0.400584
0.410000, 0.427566
0.420000, 0.456188
0.430000, 0.486552
0.440000, 0.518770
0.450000, 0.552958
0.460000, 0.589245
0.470000, 0.627765
0.480000, 0.668664
0.490000, 0.712099
0.500000, 0.758238
0.510000, 0.807261
0.520000, 0.859363
0.530000, 0.914754
0.540000, 0.973660
0.550000, 1.036324
0.560000, 1.103011
0.570000, 1.174006
0.580000, 1.249616
0.590000, 1.330177
0.600000, 1.416052
0.610000, 1.507635
0.620000, 1.605354
0.630000, 1.709675
0.640000, 1.821108
0.650000, 1.940206
0.660000, 2.067575
0.670000, 2.203877
0.680000, 2.349836
0.690000, 2.506246
0.700000, 2.673977
0.710000, 2.853984
0.720000, 3.047315
0.730000, 3.255123
0.740000, 3.478673
0.750000, 3.719358
0.760000, 3.978705
0.770000, 4.258393
0.780000, 4.560262
0.790000, 4.886323
0.800000, 5.238769
0.810000, 5.619977
0.820000, 6.032509
0.830000, 6.479097
0.840000, 6.962612
0.850000, 7.486016
0.860000, 8.052266
0.870000, 8.664173
0.880000, 9.324180
0.890000, 10.034036
0.900000, 10.794310
0.910000, 11.603697
0.920000, 12.458058
0.930000, 13.349101
0.940000, 14.262721
0.950000, 15.177070
0.960000, 16.060797
0.970000, 16.872406
0.980000, 17.562358
0.990000, 18.079604
1.000000, 18.382561
1.010000, 18.444849
1.020000, 18.279189
1.030000, 17.916060
1.040000, 17.399196
1.050000, 16.774656
1.060000, 16.083494
1.070000, 15.358644
1.080000, 14.624677
1.090000, 13.898934
1.100000, 13.193045
1.110000, 12.514360
1.120000, 11.867139
1.130000, 11.253466
1.140000, 10.673934
1.150000, 10.128140
1.160000, 9.615036
1.170000, 9.133185
1.180000, 8.680928
1.190000, 8.256510
1.200000, 7.858153
1.210000, 7.484115
1.220000, 7.132717
1.230000, 6.802368
1.240000, 6.491571
1.250000, 6.198929
1.260000, 5.923146
1.270000, 5.663022
1.280000, 5.417450
1.290000, 5.185408
1.300000, 4.965958
1.310000, 4.758236
1.320000, 4.561447
1.330000, 4.374860
1.340000, 4.197804
1.350000, 4.029659
1.360000, 3.869854
1.370000, 3.717865
1.380000, 3.573207
1.390000, 3.435430
1.400000, 3.304122
1.410000, 3.178898
1.420000, 3.059405
1.430000, 2.945312
1.440000, 2.836315
1.450000, 2.732128
1.460000, 2.632488
1.470000, 2.537149
1.480000, 2.445880
1.490000, 2.358469
1.500000, 2.274714
1.510000, 2.194428
1.520000, 2.117437
1.530000, 2.043575
1.540000, 1.972689
1.550000, 1.904634
1.560000, 1.839274
1.570000, 1.776482
1.580000, 1.716136
1.590000, 1.658123
1.600000, 1.602337
1.610000, 1.548676
1.620000, 1.497045
1.630000, 1.447353
1.640000, 1.399516
1.650000, 1.353453
1.660000, 1.309086
1.670000, 1.266344
1.680000, 1.225158
1.690000, 1.185462
1.700000, 1.147195
1.710000, 1.110297
1.720000, 1.074712
1.730000, 1.040387
1.740000, 1.007271
1.750000, 0.975316
1.760000, 0.944476
1.770000, 0.914707
1.780000, 0.885966
1.790000, 0.858214
1.800000, 0.831412
1.810000, 0.805525
1.820000, 0.780517
1.830000, 0.756354
1.840000, 0.733006
1.850000, 0.710441
1.860000, 0.688630
1.870000, 0.667545
1.880000, 0.647160
1.890000, 0.627449
1.900000, 0.608387
1.910000, 0.589951
1.920000, 0.572118
1.930000, 0.554866
1.940000, 0.538175
1.950000, 0.522024
1.960000, 0.506395
1.970000, 0.491269
1.980000, 0.476628
1.990000, 0.462456
2.000000, 0.448736
2.010000, 0.435452
2.020000, 0.422589
2.030000, 0.410133
2.040000, 0.398070
2.050000, 0.386386
