pt, RidgeDis
0.150000, 0.039275
0.160000, 0.043066
0.170000, 0.047028
0.180000, 0.051166
0.190000, 0.055483
0.200000, 0.059984
0.210000, 0.064673
0.220000, 0.069554
0.230000, 0.074631
0.240000, 0.079907
0.250000, 0.085387
0.260000, 0.091073
0.270000, 0.096971
0.280000, 0.103082
0.290000, 0.109412
0.300000, 0.115962
0.310000, 0.122736
0.320000, 0.129738
0.330000, 0.136971
0.340000, 0.144437
0.350000, 0.152140
0.360000, 0.160082
0.370000, 0.168266
0.380000, 0.176695
0.390000, 0.185370
0.400000, 0.194295
0.410000, 0.203472
0.420000, 0.212902
0.430000, 0.222588
0.440000, 0.232532
0.450000, 0.242735
0.460000, 0.253198
0.470000, 0.263923
0.480000, 0.274911
0.490000, 0.286163
0.500000, 0.297679
0.510000, 0.309459
0.520000, 0.321504
0.530000, 0.333813
0.540000, 0.346385
0.550000, 0.359219
0.560000, 0.372315
0.570000, 0.385668
0.580000, 0.399279
0.590000, 0.413142
0.600000, 0.427255
0.610000, 0.441613
0.620000, 0.456211
0.630000, 0.471044
0.640000, 0.486105
0.650000, 0.501386
0.660000, 0.516879
0.670000, 0.532574
0.680000, 0.548461
0.690000, 0.564527
0.700000, 0.580759
0.710000, 0.597142
0.720000, 0.613659
0.730000, 0.630292
0.740000, 0.647019
0.750000, 0.663818
0.760000, 0.680664
0.770000, 0.697529
0.780000, 0.714381
0.790000, 0.731186
0.800000, 0.747906
0.810000, 0.764499
0.820000, 0.780920
0.830000, 0.797116
0.840000, 0.813032
0.850000, 0.828607
0.860000, 0.843772
0.870000, 0.858454
0.880000, 0.872574
0.890000, 0.886045
0.900000, 0.898775
0.910000, 0.910667
0.920000, 0.921618
0.930000, 0.931525
0.940000, 0.940284
0.950000, 0.947794
0.960000, 0.953960
0.970000, 0.958701
0.980000, 0.961949
0.990000, 0.963658
1.000000, 0.963804
1.010000, 0.962389
1.020000, 0.959441
1.030000, 0.955012
1.040000, 0.949174
1.050000, 0.942019
