pt, N_Rdige_dis
0.150000, 0.060106
0.160000, 0.065826
0.170000, 0.071794
0.180000, 0.078013
0.190000, 0.084491
0.200000, 0.091230
0.210000, 0.098238
0.220000, 0.105517
0.230000, 0.113074
0.240000, 0.120914
0.250000, 0.129039
0.260000, 0.137455
0.270000, 0.146166
0.280000, 0.155176
0.290000, 0.164489
0.300000, 0.174109
0.310000, 0.184039
0.320000, 0.194282
0.330000, 0.204842
0.340000, 0.215723
0.350000, 0.226926
0.360000, 0.238456
0.370000, 0.250314
0.380000, 0.262503
0.390000, 0.275026
0.400000, 0.287885
0.410000, 0.301082
0.420000, 0.314618
0.430000, 0.328496
0.440000, 0.342717
0.450000, 0.357281
0.460000, 0.372192
0.470000, 0.387448
0.480000, 0.403050
0.490000, 0.419000
0.500000, 0.435296
0.510000, 0.451939
0.520000, 0.468927
0.530000, 0.486260
0.540000, 0.503936
0.550000, 0.521953
0.560000, 0.540308
0.570000, 0.558999
0.580000, 0.578021
0.590000, 0.597371
0.600000, 0.617044
0.610000, 0.637034
0.620000, 0.657334
0.630000, 0.677936
0.640000, 0.698833
0.650000, 0.720014
0.660000, 0.741470
0.670000, 0.763187
0.680000, 0.785152
0.690000, 0.807350
0.700000, 0.829764
0.710000, 0.852375
0.720000, 0.875162
0.730000, 0.898101
0.740000, 0.921167
0.750000, 0.944330
0.760000, 0.967557
0.770000, 0.990814
0.780000, 1.014059
0.790000, 1.037249
0.800000, 1.060333
0.810000, 1.083258
0.820000, 1.105961
0.830000, 1.128375
0.840000, 1.150426
0.850000, 1.172028
0.860000, 1.193092
0.870000, 1.213516
0.880000, 1.233190
0.890000, 1.251994
0.900000, 1.269798
0.910000, 1.286464
0.920000, 1.301848
0.930000, 1.315800
0.940000, 1.328170
0.950000, 1.338810
0.960000, 1.347583
0.970000, 1.354367
0.980000, 1.359062
0.990000, 1.361597
1.000000, 1.361936
1.010000, 1.360080
1.020000, 1.356066
1.030000, 1.349970
1.040000, 1.341896
1.050000, 1.331976
1.060000, 1.320358
1.070000, 1.307202
1.080000, 1.292673
1.090000, 1.276933
1.100000, 1.260141
1.110000, 1.242446
1.120000, 1.223987
1.130000, 1.204892
1.140000, 1.185279
1.150000, 1.165251
1.160000, 1.144903
1.170000, 1.124319
1.180000, 1.103573
1.190000, 1.082730
1.200000, 1.061850
1.210000, 1.040981
1.220000, 1.020170
1.230000, 0.999454
1.240000, 0.978869
1.250000, 0.958443
1.260000, 0.938202
1.270000, 0.918170
1.280000, 0.898364
1.290000, 0.878801
1.300000, 0.859496
1.310000, 0.840460
1.320000, 0.821703
1.330000, 0.803234
1.340000, 0.785059
1.350000, 0.767185
1.360000, 0.749614
1.370000, 0.732350
1.380000, 0.715397
1.390000, 0.698754
1.400000, 0.682423
1.410000, 0.666403
1.420000, 0.650695
1.430000, 0.635297
1.440000, 0.620207
1.450000, 0.605423
1.460000, 0.590944
1.470000, 0.576766
1.480000, 0.562887
1.490000, 0.549302
1.500000, 0.536010
1.510000, 0.523006
1.520000, 0.510285
1.530000, 0.497846
1.540000, 0.485682
1.550000, 0.473791
1.560000, 0.462167
1.570000, 0.450807
1.580000, 0.439706
1.590000, 0.428860
1.600000, 0.418264
1.610000, 0.407914
1.620000, 0.397804
1.630000, 0.387932
1.640000, 0.378292
1.650000, 0.368879
1.660000, 0.359690
1.670000, 0.350719
1.680000, 0.341963
1.690000, 0.333417
1.700000, 0.325077
1.710000, 0.316937
1.720000, 0.308995
1.730000, 0.301246
1.740000, 0.293685
1.750000, 0.286310
1.760000, 0.279114
1.770000, 0.272095
1.780000, 0.265249
1.790000, 0.258571
1.800000, 0.252059
1.810000, 0.245707
1.820000, 0.239513
1.830000, 0.233473
1.840000, 0.227583
1.850000, 0.221840
1.860000, 0.216241
1.870000, 0.210781
1.880000, 0.205458
1.890000, 0.200268
1.900000, 0.195209
1.910000, 0.190277
1.920000, 0.185468
1.930000, 0.180781
1.940000, 0.176212
1.950000, 0.171759
1.960000, 0.167418
1.970000, 0.163186
1.980000, 0.159062
1.990000, 0.155042
2.000000, 0.151123
2.010000, 0.147305
2.020000, 0.143583
2.030000, 0.139955
2.040000, 0.136420
2.050000, 0.132974
2.060000, 0.129616
2.070000, 0.126343
2.080000, 0.123154
2.090000, 0.120046
2.100000, 0.117017
2.110000, 0.114065
2.120000, 0.111188
2.130000, 0.108384
2.140000, 0.105652
2.150000, 0.102990
2.160000, 0.100395
2.170000, 0.097866
2.180000, 0.095402
2.190000, 0.093001
2.200000, 0.090661
2.210000, 0.088381
2.220000, 0.086158
2.230000, 0.083993
2.240000, 0.081882
2.250000, 0.079826
2.260000, 0.077821
2.270000, 0.075868
2.280000, 0.073965
2.290000, 0.072110
2.300000, 0.070302
2.310000, 0.068541
2.320000, 0.066824
2.330000, 0.065151
2.340000, 0.063521
2.350000, 0.061932
2.360000, 0.060383
2.370000, 0.058874
2.380000, 0.057403
2.390000, 0.055970
2.400000, 0.054573
2.410000, 0.053211
2.420000, 0.051884
2.430000, 0.050591
2.440000, 0.049331
2.450000, 0.048102
2.460000, 0.046905
2.470000, 0.045738
2.480000, 0.044601
