pt, RidgeDis
0.150000, 0.022763
0.160000, 0.024651
0.170000, 0.026673
0.180000, 0.028834
0.190000, 0.031141
0.200000, 0.033602
0.210000, 0.036224
0.220000, 0.039016
0.230000, 0.041988
0.240000, 0.045147
0.250000, 0.048506
0.260000, 0.052074
0.270000, 0.055864
0.280000, 0.059888
0.290000, 0.064160
0.300000, 0.068694
0.310000, 0.073504
0.320000, 0.078608
0.330000, 0.084022
0.340000, 0.089765
0.350000, 0.095855
0.360000, 0.102315
0.370000, 0.109166
0.380000, 0.116431
0.390000, 0.124137
0.400000, 0.132310
0.410000, 0.140979
0.420000, 0.150175
0.430000, 0.159930
0.440000, 0.170281
0.450000, 0.181264
0.460000, 0.192921
0.470000, 0.205295
0.480000, 0.218431
0.490000, 0.232382
0.500000, 0.247199
0.510000, 0.262941
0.520000, 0.279670
0.530000, 0.297454
0.540000, 0.316364
0.550000, 0.336478
0.560000, 0.357882
0.570000, 0.380666
0.580000, 0.404928
0.590000, 0.430777
0.600000, 0.458327
0.610000, 0.487705
0.620000, 0.519049
0.630000, 0.552507
0.640000, 0.588241
0.650000, 0.626430
0.660000, 0.667267
0.670000, 0.710963
0.680000, 0.757751
0.690000, 0.807883
0.700000, 0.861639
0.710000, 0.919323
0.720000, 0.981270
0.730000, 1.047850
0.740000, 1.119466
0.750000, 1.196564
0.760000, 1.279631
0.770000, 1.369205
0.780000, 1.465873
0.790000, 1.570277
0.800000, 1.683118
0.810000, 1.805155
0.820000, 1.937205
0.830000, 2.080140
0.840000, 2.234877
0.850000, 2.402359
0.860000, 2.583529
0.870000, 2.779280
0.880000, 2.990389
0.890000, 3.217409
0.900000, 3.460513
0.910000, 3.719277
0.920000, 3.992366
0.930000, 4.277119
0.940000, 4.569018
0.950000, 4.861068
0.960000, 5.143245
0.970000, 5.402284
0.980000, 5.622360
0.990000, 5.787172
1.000000, 5.883451
1.010000, 5.902786
1.020000, 5.849259
1.030000, 5.732623
1.040000, 5.566861
1.050000, 5.366698
1.060000, 5.145259
1.070000, 4.913074
1.080000, 4.678000
1.090000, 4.445581
1.100000, 4.219537
1.110000, 4.002218
1.120000, 3.794986
1.130000, 3.598506
1.140000, 3.412968
1.150000, 3.238240
1.160000, 3.073987
1.170000, 2.919748
1.180000, 2.774990
1.190000, 2.639150
1.200000, 2.511660
1.210000, 2.391959
1.220000, 2.279511
1.230000, 2.173806
1.240000, 2.074362
1.250000, 1.980734
1.260000, 1.892505
1.270000, 1.809291
1.280000, 1.730736
1.290000, 1.656515
1.300000, 1.586326
1.310000, 1.519891
1.320000, 1.456958
1.330000, 1.397291
1.340000, 1.340674
1.350000, 1.286911
1.360000, 1.235817
1.370000, 1.187225
1.380000, 1.140979
1.390000, 1.096936
1.400000, 1.054963
1.410000, 1.014937
1.420000, 0.976745
1.430000, 0.940281
1.440000, 0.905447
1.450000, 0.872153
1.460000, 0.840313
1.470000, 0.809849
1.480000, 0.780687
1.490000, 0.752759
1.500000, 0.726001
1.510000, 0.700352
1.520000, 0.675756
1.530000, 0.652162
1.540000, 0.629519
1.550000, 0.607782
1.560000, 0.586906
1.570000, 0.566852
1.580000, 0.547579
1.590000, 0.529053
1.600000, 0.511238
1.610000, 0.494102
1.620000, 0.477616
1.630000, 0.461749
1.640000, 0.446475
1.650000, 0.431768
1.660000, 0.417604
1.670000, 0.403958
1.680000, 0.390810
1.690000, 0.378138
1.700000, 0.365922
1.710000, 0.354144
1.720000, 0.342785
1.730000, 0.331829
1.740000, 0.321260
1.750000, 0.311061
1.760000, 0.301218
1.770000, 0.291717
1.780000, 0.282545
1.790000, 0.273689
1.800000, 0.265136
1.810000, 0.256875
1.820000, 0.248895
1.830000, 0.241186
1.840000, 0.233736
1.850000, 0.226536
1.860000, 0.219577
1.870000, 0.212850
1.880000, 0.206346
1.890000, 0.200058
1.900000, 0.193976
1.910000, 0.188095
1.920000, 0.182406
1.930000, 0.176903
1.940000, 0.171578
1.950000, 0.166426
1.960000, 0.161441
1.970000, 0.156616
1.980000, 0.151946
1.990000, 0.147426
2.000000, 0.143050
2.010000, 0.138813
2.020000, 0.134711
2.030000, 0.130738
2.040000, 0.126891
2.050000, 0.123165
2.060000, 0.119555
2.070000, 0.116059
2.080000, 0.112672
2.090000, 0.109390
2.100000, 0.106210
2.110000, 0.103129
2.120000, 0.100143
2.130000, 0.097249
2.140000, 0.094444
2.150000, 0.091725
2.160000, 0.089089
2.170000, 0.086533
2.180000, 0.084056
2.190000, 0.081654
2.200000, 0.079324
2.210000, 0.077065
2.220000, 0.074874
2.230000, 0.072749
2.240000, 0.070688
2.250000, 0.068689
2.260000, 0.066750
2.270000, 0.064868
2.280000, 0.063043
2.290000, 0.061272
2.300000, 0.059553
2.310000, 0.057886
2.320000, 0.056267
2.330000, 0.054697
2.340000, 0.053172
2.350000, 0.051693
2.360000, 0.050256
2.370000, 0.048862
2.380000, 0.047509
2.390000, 0.046195
2.400000, 0.044919
2.410000, 0.043680
2.420000, 0.042478
2.430000, 0.041310
2.440000, 0.040175
2.450000, 0.039074
2.460000, 0.038004
2.470000, 0.036965
2.480000, 0.035956
2.490000, 0.034976
2.500000, 0.034024
2.510000, 0.033099
2.520000, 0.032200
2.530000, 0.031327
2.540000, 0.030479
2.550000, 0.029654
2.560000, 0.028853
2.570000, 0.028075
2.580000, 0.027319
2.590000, 0.026584
2.600000, 0.025870
2.610000, 0.025175
2.620000, 0.024501
2.630000, 0.023845
2.640000, 0.023207
2.650000, 0.022587
2.660000, 0.021985
2.670000, 0.021399
2.680000, 0.020830
2.690000, 0.020276
2.700000, 0.019738
2.710000, 0.019215
2.720000, 0.018706
2.730000, 0.018211
2.740000, 0.017730
2.750000, 0.017262
2.760000, 0.016807
2.770000, 0.016364
2.780000, 0.015934
2.790000, 0.015515
2.800000, 0.015108
2.810000, 0.014712
2.820000, 0.014327
2.830000, 0.013952
2.840000, 0.013587
2.850000, 0.013233
2.860000, 0.012887
2.870000, 0.012552
2.880000, 0.012225
2.890000, 0.011907
2.900000, 0.011598
2.910000, 0.011297
2.920000, 0.011004
2.930000, 0.010719
2.940000, 0.010442
2.950000, 0.010172
2.960000, 0.009909
2.970000, 0.009654
2.980000, 0.009405
2.990000, 0.009163
3.000000, 0.008927
3.010000, 0.008698
3.020000, 0.008475
3.030000, 0.008257
3.040000, 0.008046
3.050000, 0.007840
3.060000, 0.007639
3.070000, 0.007444
3.080000, 0.007254
3.090000, 0.007069
3.100000, 0.006889
3.110000, 0.006713
3.120000, 0.006543
3.130000, 0.006376
3.140000, 0.006214
3.150000, 0.006057
3.160000, 0.005903
3.170000, 0.005753
3.180000, 0.005608
3.190000, 0.005466
3.200000, 0.005328
3.210000, 0.005193
3.220000, 0.005062
3.230000, 0.004935
3.240000, 0.004810
3.250000, 0.004689
3.260000, 0.004571
3.270000, 0.004456
3.280000, 0.004345
3.290000, 0.004236
3.300000, 0.004129
3.310000, 0.004026
3.320000, 0.003925
3.330000, 0.003827
3.340000, 0.003731
3.350000, 0.003638
3.360000, 0.003547
3.370000, 0.003459
3.380000, 0.003373
3.390000, 0.003289
3.400000, 0.003207
3.410000, 0.003127
3.420000, 0.003049
3.430000, 0.002974
3.440000, 0.002900
3.450000, 0.002828
3.460000, 0.002758
3.470000, 0.002690
3.480000, 0.002623
3.490000, 0.002558
3.500000, 0.002495
3.510000, 0.002433
3.520000, 0.002373
3.530000, 0.002315
3.540000, 0.002258
3.550000, 0.002202
3.560000, 0.002148
3.570000, 0.002095
3.580000, 0.002044
3.590000, 0.001993
3.600000, 0.001944
3.610000, 0.001897
3.620000, 0.001850
3.630000, 0.001805
3.640000, 0.001761
3.650000, 0.001718
3.660000, 0.001676
3.670000, 0.001635
3.680000, 0.001595
3.690000, 0.001556
3.700000, 0.001518
3.710000, 0.001481
3.720000, 0.001445
3.730000, 0.001409
3.740000, 0.001375
3.750000, 0.001342
3.760000, 0.001309
3.770000, 0.001277
3.780000, 0.001246
3.790000, 0.001216
3.800000, 0.001186
3.810000, 0.001158
3.820000, 0.001130
3.830000, 0.001102
3.840000, 0.001076
3.850000, 0.001050
3.860000, 0.001024
3.870000, 0.000999
3.880000, 0.000975
3.890000, 0.000952
3.900000, 0.000929
3.910000, 0.000906
3.920000, 0.000885
3.930000, 0.000863
3.940000, 0.000842
3.950000, 0.000822
3.960000, 0.000802
3.970000, 0.000783
3.980000, 0.000764
3.990000, 0.000746
4.000000, 0.000728
