pt, RidgeDis
0.150000, 0.084833
0.160000, 0.088804
0.170000, 0.092702
0.180000, 0.096546
0.190000, 0.100351
0.200000, 0.104133
0.210000, 0.107905
0.220000, 0.111677
0.230000, 0.115459
0.240000, 0.119261
0.250000, 0.123090
0.260000, 0.126953
0.270000, 0.130857
0.280000, 0.134807
0.290000, 0.138810
0.300000, 0.142869
0.310000, 0.146990
0.320000, 0.151176
0.330000, 0.155432
0.340000, 0.159761
0.350000, 0.164166
0.360000, 0.168652
0.370000, 0.173220
0.380000, 0.177875
0.390000, 0.182618
0.400000, 0.187452
0.410000, 0.192381
0.420000, 0.197406
0.430000, 0.202529
0.440000, 0.207754
0.450000, 0.213082
0.460000, 0.218516
0.470000, 0.224057
0.480000, 0.229706
0.490000, 0.235467
0.500000, 0.241341
0.510000, 0.247329
0.520000, 0.253433
0.530000, 0.259654
0.540000, 0.265993
0.550000, 0.272452
0.560000, 0.279031
0.570000, 0.285732
0.580000, 0.292554
0.590000, 0.299499
0.600000, 0.306566
0.610000, 0.313755
0.620000, 0.321067
0.630000, 0.328501
0.640000, 0.336055
0.650000, 0.343729
0.660000, 0.351521
0.670000, 0.359428
0.680000, 0.367449
0.690000, 0.375581
0.700000, 0.383819
0.710000, 0.392159
0.720000, 0.400596
0.730000, 0.409125
0.740000, 0.417738
0.750000, 0.426426
0.760000, 0.435182
0.770000, 0.443993
0.780000, 0.452848
0.790000, 0.461733
0.800000, 0.470630
0.810000, 0.479523
0.820000, 0.488388
0.830000, 0.497203
0.840000, 0.505940
0.850000, 0.514567
0.860000, 0.523049
0.870000, 0.531347
0.880000, 0.539416
0.890000, 0.547206
0.900000, 0.554662
0.910000, 0.561725
0.920000, 0.568330
0.930000, 0.574409
0.940000, 0.579893
0.950000, 0.584709
0.960000, 0.588792
0.970000, 0.592076
0.980000, 0.594510
0.990000, 0.596050
1.000000, 0.596670
1.010000, 0.596194
1.020000, 0.594799
1.030000, 0.592508
1.040000, 0.589365
1.050000, 0.585423
1.060000, 0.580744
1.070000, 0.575395
1.080000, 0.569448
1.090000, 0.562973
1.100000, 0.556037
1.110000, 0.548704
1.120000, 0.541035
1.130000, 0.533084
1.140000, 0.524901
1.150000, 0.516530
1.160000, 0.508012
1.170000, 0.499382
1.180000, 0.490671
1.190000, 0.481906
1.200000, 0.473113
1.210000, 0.464312
1.220000, 0.455523
1.230000, 0.446760
1.240000, 0.438040
1.250000, 0.429375
1.260000, 0.420774
1.270000, 0.412248
1.280000, 0.403806
1.290000, 0.395453
1.300000, 0.387197
1.310000, 0.379043
1.320000, 0.370995
1.330000, 0.363056
1.340000, 0.355232
1.350000, 0.347523
1.360000, 0.339932
1.370000, 0.332461
1.380000, 0.325112
1.390000, 0.317885
1.400000, 0.310781
1.410000, 0.303801
1.420000, 0.296945
1.430000, 0.290213
1.440000, 0.283605
1.450000, 0.277120
1.460000, 0.270758
1.470000, 0.264518
1.480000, 0.258400
1.490000, 0.252402
1.500000, 0.246523
1.510000, 0.240763
1.520000, 0.235120
1.530000, 0.229593
1.540000, 0.224181
1.550000, 0.218881
1.560000, 0.213694
1.570000, 0.208616
1.580000, 0.203647
1.590000, 0.198786
1.600000, 0.194030
1.610000, 0.189377
1.620000, 0.184827
1.630000, 0.180378
1.640000, 0.176027
1.650000, 0.171774
1.660000, 0.167617
1.670000, 0.163553
1.680000, 0.159582
1.690000, 0.155701
1.700000, 0.151909
1.710000, 0.148204
1.720000, 0.144585
1.730000, 0.141050
1.740000, 0.137597
