pt, RidgeDis
0.150000, 0.021311
0.160000, 0.023309
0.170000, 0.025395
0.180000, 0.027571
0.190000, 0.029841
0.200000, 0.032207
0.210000, 0.034673
0.220000, 0.037243
0.230000, 0.039920
0.240000, 0.042707
0.250000, 0.045609
0.260000, 0.048628
0.270000, 0.051769
0.280000, 0.055035
0.290000, 0.058431
0.300000, 0.061961
0.310000, 0.065629
0.320000, 0.069439
0.330000, 0.073396
0.340000, 0.077504
0.350000, 0.081768
0.360000, 0.086193
0.370000, 0.090782
0.380000, 0.095542
0.390000, 0.100477
0.400000, 0.105593
0.410000, 0.110893
0.420000, 0.116385
0.430000, 0.122072
0.440000, 0.127960
0.450000, 0.134054
0.460000, 0.140361
0.470000, 0.146886
0.480000, 0.153634
0.490000, 0.160610
0.500000, 0.167822
0.510000, 0.175273
0.520000, 0.182971
0.530000, 0.190920
0.540000, 0.199126
0.550000, 0.207595
0.560000, 0.216333
0.570000, 0.225345
0.580000, 0.234637
0.590000, 0.244213
0.600000, 0.254079
0.610000, 0.264240
0.620000, 0.274701
0.630000, 0.285466
0.640000, 0.296539
0.650000, 0.307925
0.660000, 0.319626
0.670000, 0.331646
0.680000, 0.343987
0.690000, 0.356650
0.700000, 0.369637
0.710000, 0.382948
0.720000, 0.396582
0.730000, 0.410536
0.740000, 0.424808
0.750000, 0.439393
0.760000, 0.454284
0.770000, 0.469472
0.780000, 0.484946
0.790000, 0.500694
0.800000, 0.516698
0.810000, 0.532938
0.820000, 0.549391
0.830000, 0.566027
0.840000, 0.582814
0.850000, 0.599711
0.860000, 0.616672
0.870000, 0.633645
0.880000, 0.650568
0.890000, 0.667370
0.900000, 0.683974
0.910000, 0.700292
0.920000, 0.716225
0.930000, 0.731669
0.940000, 0.746512
0.950000, 0.760637
0.960000, 0.773927
0.970000, 0.786270
0.980000, 0.797559
0.990000, 0.807703
1.000000, 0.816629
1.010000, 0.824020
1.020000, 0.830112
1.030000, 0.834905
1.040000, 0.838421
1.050000, 0.840704
1.060000, 0.841811
1.070000, 0.841813
1.080000, 0.840786
1.090000, 0.838811
1.100000, 0.835969
1.110000, 0.832338
1.120000, 0.827995
1.130000, 0.823010
1.140000, 0.817449
1.150000, 0.811373
1.160000, 0.804838
1.170000, 0.797894
1.180000, 0.790587
1.190000, 0.782959
1.200000, 0.775047
1.210000, 0.766886
1.220000, 0.758506
1.230000, 0.749935
1.240000, 0.741200
1.250000, 0.732322
1.260000, 0.723322
1.270000, 0.714221
1.280000, 0.705034
1.290000, 0.695779
1.300000, 0.686469
1.310000, 0.677118
1.320000, 0.667739
1.330000, 0.658342
1.340000, 0.648938
1.350000, 0.639536
1.360000, 0.630146
1.370000, 0.620775
1.380000, 0.611431
1.390000, 0.602121
1.400000, 0.592851
1.410000, 0.583627
1.420000, 0.574455
1.430000, 0.565339
1.440000, 0.556285
1.450000, 0.547297
1.460000, 0.538378
1.470000, 0.529532
1.480000, 0.520762
1.490000, 0.512073
1.500000, 0.503465
1.510000, 0.494942
1.520000, 0.486507
1.530000, 0.478161
1.540000, 0.469906
1.550000, 0.461743
1.560000, 0.453675
1.570000, 0.445703
1.580000, 0.437828
1.590000, 0.430050
1.600000, 0.422371
1.610000, 0.414791
1.620000, 0.407312
1.630000, 0.399933
1.640000, 0.392655
1.650000, 0.385478
1.660000, 0.378402
1.670000, 0.371428
1.680000, 0.364555
1.690000, 0.357783
1.700000, 0.351112
1.710000, 0.344542
1.720000, 0.338072
1.730000, 0.331702
1.740000, 0.325432
1.750000, 0.319260
1.760000, 0.313187
1.770000, 0.307211
1.780000, 0.301333
1.790000, 0.295550
1.800000, 0.289863
1.810000, 0.284271
1.820000, 0.278773
1.830000, 0.273367
1.840000, 0.268053
1.850000, 0.262831
1.860000, 0.257699
1.870000, 0.252655
1.880000, 0.247700
1.890000, 0.242832
1.900000, 0.238051
1.910000, 0.233354
1.920000, 0.228741
1.930000, 0.224211
1.940000, 0.219763
1.950000, 0.215396
1.960000, 0.211108
1.970000, 0.206899
1.980000, 0.202767
1.990000, 0.198712
2.000000, 0.194731
2.010000, 0.190826
2.020000, 0.186993
2.030000, 0.183232
2.040000, 0.179541
2.050000, 0.175921
2.060000, 0.172369
2.070000, 0.168885
2.080000, 0.165467
2.090000, 0.162115
2.100000, 0.158827
2.110000, 0.155603
2.120000, 0.152440
2.130000, 0.149339
2.140000, 0.146298
2.150000, 0.143317
2.160000, 0.140393
2.170000, 0.137527
2.180000, 0.134717
2.190000, 0.131961
2.200000, 0.129261
2.210000, 0.126613
2.220000, 0.124018
2.230000, 0.121474
2.240000, 0.118980
2.250000, 0.116537
2.260000, 0.114141
2.270000, 0.111794
2.280000, 0.109493
2.290000, 0.107239
2.300000, 0.105029
2.310000, 0.102864
2.320000, 0.100743
2.330000, 0.098664
2.340000, 0.096627
2.350000, 0.094631
2.360000, 0.092675
2.370000, 0.090759
2.380000, 0.088882
2.390000, 0.087043
2.400000, 0.085241
2.410000, 0.083476
2.420000, 0.081746
2.430000, 0.080052
2.440000, 0.078393
2.450000, 0.076767
2.460000, 0.075174
2.470000, 0.073614
2.480000, 0.072086
2.490000, 0.070589
2.500000, 0.069123
2.510000, 0.067687
2.520000, 0.066280
2.530000, 0.064903
2.540000, 0.063553
2.550000, 0.062232
2.560000, 0.060937
2.570000, 0.059669
2.580000, 0.058428
2.590000, 0.057211
2.600000, 0.056020
2.610000, 0.054854
2.620000, 0.053712
2.630000, 0.052593
2.640000, 0.051497
2.650000, 0.050424
2.660000, 0.049373
2.670000, 0.048344
2.680000, 0.047337
2.690000, 0.046350
2.700000, 0.045383
2.710000, 0.044437
2.720000, 0.043510
2.730000, 0.042603
2.740000, 0.041714
2.750000, 0.040844
2.760000, 0.039992
2.770000, 0.039157
2.780000, 0.038340
2.790000, 0.037540
2.800000, 0.036757
2.810000, 0.035990
2.820000, 0.035238
2.830000, 0.034503
2.840000, 0.033783
2.850000, 0.033077
2.860000, 0.032387
2.870000, 0.031711
2.880000, 0.031049
2.890000, 0.030400
2.900000, 0.029766
2.910000, 0.029144
2.920000, 0.028535
2.930000, 0.027940
2.940000, 0.027356
2.950000, 0.026785
2.960000, 0.026225
2.970000, 0.025678
2.980000, 0.025142
2.990000, 0.024616
3.000000, 0.024102
3.010000, 0.023599
3.020000, 0.023106
3.030000, 0.022624
3.040000, 0.022151
3.050000, 0.021688
3.060000, 0.021236
3.070000, 0.020792
3.080000, 0.020358
3.090000, 0.019933
3.100000, 0.019516
3.110000, 0.019109
3.120000, 0.018710
3.130000, 0.018319
3.140000, 0.017936
3.150000, 0.017562
3.160000, 0.017195
3.170000, 0.016836
3.180000, 0.016485
3.190000, 0.016140
3.200000, 0.015803
3.210000, 0.015473
3.220000, 0.015150
3.230000, 0.014834
3.240000, 0.014524
3.250000, 0.014221
3.260000, 0.013924
3.270000, 0.013634
3.280000, 0.013349
3.290000, 0.013070
3.300000, 0.012798
3.310000, 0.012530
3.320000, 0.012269
3.330000, 0.012013
3.340000, 0.011762
3.350000, 0.011517
3.360000, 0.011276
3.370000, 0.011041
3.380000, 0.010811
3.390000, 0.010585
3.400000, 0.010364
3.410000, 0.010148
3.420000, 0.009936
3.430000, 0.009729
3.440000, 0.009526
3.450000, 0.009327
3.460000, 0.009133
3.470000, 0.008942
3.480000, 0.008756
3.490000, 0.008573
3.500000, 0.008394
3.510000, 0.008219
3.520000, 0.008048
3.530000, 0.007880
3.540000, 0.007716
3.550000, 0.007555
3.560000, 0.007397
3.570000, 0.007243
3.580000, 0.007092
3.590000, 0.006944
3.600000, 0.006800
3.610000, 0.006658
3.620000, 0.006519
3.630000, 0.006383
3.640000, 0.006250
3.650000, 0.006120
3.660000, 0.005992
3.670000, 0.005867
3.680000, 0.005745
3.690000, 0.005625
3.700000, 0.005508
3.710000, 0.005394
3.720000, 0.005281
3.730000, 0.005171
3.740000, 0.005063
3.750000, 0.004958
3.760000, 0.004855
3.770000, 0.004754
3.780000, 0.004655
3.790000, 0.004558
3.800000, 0.004463
3.810000, 0.004370
3.820000, 0.004279
3.830000, 0.004190
3.840000, 0.004102
3.850000, 0.004017
3.860000, 0.003933
3.870000, 0.003851
3.880000, 0.003771
3.890000, 0.003693
3.900000, 0.003616
3.910000, 0.003541
3.920000, 0.003467
3.930000, 0.003395
3.940000, 0.003324
3.950000, 0.003255
3.960000, 0.003187
3.970000, 0.003121
3.980000, 0.003056
3.990000, 0.002992
4.000000, 0.002930
