pt, RidgeDis
0.150000, 0.104781
0.160000, 0.107440
0.170000, 0.110164
0.180000, 0.112955
0.190000, 0.115814
0.200000, 0.118744
0.210000, 0.121745
0.220000, 0.124819
0.230000, 0.127968
0.240000, 0.131193
0.250000, 0.134496
0.260000, 0.137878
0.270000, 0.141341
0.280000, 0.144887
0.290000, 0.148517
0.300000, 0.152234
0.310000, 0.156037
0.320000, 0.159931
0.330000, 0.163915
0.340000, 0.167992
0.350000, 0.172164
0.360000, 0.176431
0.370000, 0.180797
0.380000, 0.185262
0.390000, 0.189828
0.400000, 0.194497
0.410000, 0.199271
0.420000, 0.204151
0.430000, 0.209138
0.440000, 0.214235
0.450000, 0.219443
0.460000, 0.224764
0.470000, 0.230198
0.480000, 0.235748
0.490000, 0.241414
0.500000, 0.247199
0.510000, 0.253103
0.520000, 0.259127
0.530000, 0.265273
0.540000, 0.271541
0.550000, 0.277932
0.560000, 0.284447
0.570000, 0.291087
0.580000, 0.297852
0.590000, 0.304742
0.600000, 0.311758
0.610000, 0.318898
0.620000, 0.326163
0.630000, 0.333552
0.640000, 0.341063
0.650000, 0.348697
0.660000, 0.356449
0.670000, 0.364320
0.680000, 0.372305
0.690000, 0.380402
0.700000, 0.388607
0.710000, 0.396916
0.720000, 0.405322
0.730000, 0.413821
0.740000, 0.422404
0.750000, 0.431065
0.760000, 0.439792
0.770000, 0.448576
0.780000, 0.457404
0.790000, 0.466262
0.800000, 0.475132
0.810000, 0.483998
0.820000, 0.492836
0.830000, 0.501623
0.840000, 0.510332
0.850000, 0.518930
0.860000, 0.527382
0.870000, 0.535648
0.880000, 0.543684
0.890000, 0.551438
0.900000, 0.558858
0.910000, 0.565881
0.920000, 0.572445
0.930000, 0.578479
0.940000, 0.583915
0.950000, 0.588681
0.960000, 0.592708
0.970000, 0.595934
0.980000, 0.598305
0.990000, 0.599778
1.000000, 0.600328
1.010000, 0.599778
1.020000, 0.598305
1.030000, 0.595934
1.040000, 0.592708
1.050000, 0.588681
1.060000, 0.583915
1.070000, 0.578479
1.080000, 0.572445
1.090000, 0.565881
1.100000, 0.558858
1.110000, 0.551438
1.120000, 0.543684
1.130000, 0.535648
1.140000, 0.527382
1.150000, 0.518930
1.160000, 0.510332
1.170000, 0.501623
1.180000, 0.492836
1.190000, 0.483998
1.200000, 0.475132
1.210000, 0.466262
1.220000, 0.457404
1.230000, 0.448576
1.240000, 0.439792
1.250000, 0.431065
1.260000, 0.422404
1.270000, 0.413821
1.280000, 0.405322
1.290000, 0.396916
1.300000, 0.388607
1.310000, 0.380402
1.320000, 0.372305
1.330000, 0.364320
1.340000, 0.356449
1.350000, 0.348697
1.360000, 0.341063
1.370000, 0.333552
1.380000, 0.326163
1.390000, 0.318898
1.400000, 0.311758
1.410000, 0.304742
1.420000, 0.297852
1.430000, 0.291087
1.440000, 0.284447
1.450000, 0.277932
1.460000, 0.271541
1.470000, 0.265273
1.480000, 0.259127
1.490000, 0.253103
1.500000, 0.247199
1.510000, 0.241414
1.520000, 0.235748
1.530000, 0.230198
1.540000, 0.224764
1.550000, 0.219443
