y, dFdy
0.000000, 0.011980
0.100000, 0.011980
0.200000, 0.011979
0.300000, 0.011978
0.400000, 0.011978
0.500000, 0.011977
0.600000, 0.011976
0.700000, 0.011975
0.800000, 0.011973
0.900000, 0.011972
1.000000, 0.011971
1.100000, 0.011969
1.200000, 0.011967
1.300000, 0.011965
1.400000, 0.011963
1.500000, 0.011961
1.600000, 0.011958
1.700000, 0.011955
1.800000, 0.011952
1.900000, 0.011948
2.000000, 0.011944
2.100000, 0.011940
2.200000, 0.011935
2.300000, 0.011930
2.400000, 0.011924
2.500000, 0.011917
2.600000, 0.011910
2.700000, 0.011902
2.800000, 0.011893
2.900000, 0.011883
3.000000, 0.011873
3.100000, 0.011861
3.200000, 0.011847
3.300000, 0.011832
3.400000, 0.011816
3.500000, 0.011798
3.600000, 0.011778
3.700000, 0.011756
3.800000, 0.011731
3.900000, 0.011704
4.000000, 0.011674
4.100000, 0.011640
4.200000, 0.011603
4.300000, 0.011561
4.400000, 0.011515
4.500000, 0.011463
4.600000, 0.011406
4.700000, 0.011342
4.800000, 0.011271
4.900000, 0.011191
5.000000, 0.011101
5.100000, 0.011000
5.200000, 0.010886
5.300000, 0.010757
5.400000, 0.010608
