pt, RidgeDis
0.150000, 0.011857
0.160000, 0.013207
0.170000, 0.014657
0.180000, 0.016214
0.190000, 0.017886
0.200000, 0.019681
0.210000, 0.021608
0.220000, 0.023677
0.230000, 0.025898
0.240000, 0.028283
0.250000, 0.030843
0.260000, 0.033592
0.270000, 0.036543
0.280000, 0.039712
0.290000, 0.043116
0.300000, 0.046773
0.310000, 0.050701
0.320000, 0.054922
0.330000, 0.059460
0.340000, 0.064338
0.350000, 0.069583
0.360000, 0.075226
0.370000, 0.081298
0.380000, 0.087834
0.390000, 0.094871
0.400000, 0.102452
0.410000, 0.110622
0.420000, 0.119430
0.430000, 0.128930
0.440000, 0.139182
0.450000, 0.150252
0.460000, 0.162210
0.470000, 0.175135
0.480000, 0.189113
0.490000, 0.204241
0.500000, 0.220623
0.510000, 0.238374
0.520000, 0.257624
0.530000, 0.278515
0.540000, 0.301202
0.550000, 0.325862
0.560000, 0.352688
0.570000, 0.381896
0.580000, 0.413725
0.590000, 0.448445
0.600000, 0.486355
0.610000, 0.527789
0.620000, 0.573125
0.630000, 0.622783
0.640000, 0.677238
0.650000, 0.737022
0.660000, 0.802736
0.670000, 0.875060
0.680000, 0.954759
0.690000, 1.042702
0.700000, 1.139873
0.710000, 1.247387
0.720000, 1.366512
0.730000, 1.498687
0.740000, 1.645552
0.750000, 1.808970
0.760000, 1.991061
0.770000, 2.194235
0.780000, 2.421227
0.790000, 2.675138
0.800000, 2.959468
0.810000, 3.278154
0.820000, 3.635593
0.830000, 4.036653
0.840000, 4.486655
0.850000, 4.991311
0.860000, 5.556602
0.870000, 6.188544
0.880000, 6.892825
0.890000, 7.674234
0.900000, 8.535827
0.910000, 9.477744
0.920000, 10.495605
0.930000, 11.578456
0.940000, 12.706296
0.950000, 13.847472
0.960000, 14.956612
0.970000, 15.974402
0.980000, 16.831230
0.990000, 17.456561
1.000000, 17.793687
1.010000, 17.809219
1.020000, 17.518219
1.030000, 16.962510
1.040000, 16.202996
1.050000, 15.305101
1.060000, 14.328376
1.070000, 13.321450
1.080000, 12.320928
1.090000, 11.352462
1.100000, 10.432678
1.110000, 9.571236
1.120000, 8.772686
1.130000, 8.037993
1.140000, 7.365728
1.150000, 6.752951
1.160000, 6.195857
1.170000, 5.690222
1.180000, 5.231707
1.190000, 4.816053
1.200000, 4.439202
1.210000, 4.097363
1.220000, 3.787047
1.230000, 3.505076
1.240000, 3.248574
1.250000, 3.014951
1.260000, 2.801886
1.270000, 2.607305
1.280000, 2.429354
1.290000, 2.266379
1.300000, 2.116907
1.310000, 1.979623
1.320000, 1.853356
1.330000, 1.737059
1.340000, 1.629798
1.350000, 1.530737
1.360000, 1.439130
1.370000, 1.354307
1.380000, 1.275666
1.390000, 1.202668
1.400000, 1.134827
1.410000, 1.071707
1.420000, 1.012913
1.430000, 0.958089
1.440000, 0.906912
1.450000, 0.859092
1.460000, 0.814362
1.470000, 0.772484
1.480000, 0.733239
1.490000, 0.696427
1.500000, 0.661868
1.510000, 0.629395
1.520000, 0.598859
1.530000, 0.570119
1.540000, 0.543049
1.550000, 0.517534
1.560000, 0.493465
1.570000, 0.470745
1.580000, 0.449284
1.590000, 0.428997
1.600000, 0.409809
1.610000, 0.391648
1.620000, 0.374448
1.630000, 0.358150
1.640000, 0.342696
1.650000, 0.328035
1.660000, 0.314119
1.670000, 0.300902
1.680000, 0.288342
1.690000, 0.276402
1.700000, 0.265045
1.710000, 0.254237
1.720000, 0.243947
1.730000, 0.234145
1.740000, 0.224805
1.750000, 0.215901
1.760000, 0.207408
1.770000, 0.199305
1.780000, 0.191570
1.790000, 0.184185
1.800000, 0.177129
1.810000, 0.170387
1.820000, 0.163942
1.830000, 0.157778
1.840000, 0.151882
1.850000, 0.146239
1.860000, 0.140838
1.870000, 0.135666
1.880000, 0.130711
1.890000, 0.125964
1.900000, 0.121414
1.910000, 0.117052
1.920000, 0.112868
1.930000, 0.108855
1.940000, 0.105004
1.950000, 0.101308
1.960000, 0.097760
1.970000, 0.094352
1.980000, 0.091079
1.990000, 0.087934
2.000000, 0.084912
2.010000, 0.082007
2.020000, 0.079214
2.030000, 0.076527
2.040000, 0.073944
2.050000, 0.071458
2.060000, 0.069065
2.070000, 0.066763
2.080000, 0.064546
2.090000, 0.062412
2.100000, 0.060356
2.110000, 0.058376
2.120000, 0.056468
2.130000, 0.054629
2.140000, 0.052857
2.150000, 0.051149
2.160000, 0.049502
2.170000, 0.047914
2.180000, 0.046382
2.190000, 0.044904
2.200000, 0.043478
2.210000, 0.042102
2.220000, 0.040775
2.230000, 0.039493
2.240000, 0.038256
2.250000, 0.037061
2.260000, 0.035907
2.270000, 0.034793
2.280000, 0.033716
2.290000, 0.032676
2.300000, 0.031671
2.310000, 0.030700
2.320000, 0.029762
2.330000, 0.028855
2.340000, 0.027977
2.350000, 0.027129
2.360000, 0.026309
2.370000, 0.025516
2.380000, 0.024749
2.390000, 0.024007
2.400000, 0.023289
2.410000, 0.022595
2.420000, 0.021923
2.430000, 0.021272
2.440000, 0.020643
2.450000, 0.020033
2.460000, 0.019443
2.470000, 0.018872
2.480000, 0.018319
2.490000, 0.017783
2.500000, 0.017265
2.510000, 0.016762
2.520000, 0.016275
2.530000, 0.015804
2.540000, 0.015347
2.550000, 0.014904
2.560000, 0.014475
2.570000, 0.014060
2.580000, 0.013657
2.590000, 0.013266
2.600000, 0.012888
2.610000, 0.012521
2.620000, 0.012165
2.630000, 0.011820
2.640000, 0.011485
2.650000, 0.011161
2.660000, 0.010846
2.670000, 0.010541
2.680000, 0.010245
2.690000, 0.009958
2.700000, 0.009679
2.710000, 0.009409
2.720000, 0.009146
2.730000, 0.008892
2.740000, 0.008645
2.750000, 0.008405
2.760000, 0.008172
2.770000, 0.007947
2.780000, 0.007727
2.790000, 0.007515
2.800000, 0.007308
2.810000, 0.007107
2.820000, 0.006913
2.830000, 0.006724
2.840000, 0.006540
2.850000, 0.006362
2.860000, 0.006188
2.870000, 0.006020
2.880000, 0.005857
2.890000, 0.005698
2.900000, 0.005544
2.910000, 0.005394
2.920000, 0.005249
2.930000, 0.005107
2.940000, 0.004970
2.950000, 0.004836
2.960000, 0.004707
2.970000, 0.004581
2.980000, 0.004458
2.990000, 0.004339
3.000000, 0.004223
3.010000, 0.004111
3.020000, 0.004001
3.030000, 0.003895
3.040000, 0.003792
3.050000, 0.003691
3.060000, 0.003594
3.070000, 0.003499
3.080000, 0.003406
3.090000, 0.003317
3.100000, 0.003229
3.110000, 0.003144
3.120000, 0.003062
3.130000, 0.002981
3.140000, 0.002903
3.150000, 0.002827
3.160000, 0.002754
3.170000, 0.002682
3.180000, 0.002612
3.190000, 0.002544
3.200000, 0.002478
3.210000, 0.002413
3.220000, 0.002351
3.230000, 0.002290
3.240000, 0.002230
3.250000, 0.002173
3.260000, 0.002116
3.270000, 0.002062
3.280000, 0.002009
3.290000, 0.001957
3.300000, 0.001907
3.310000, 0.001858
3.320000, 0.001810
3.330000, 0.001763
3.340000, 0.001718
3.350000, 0.001674
3.360000, 0.001632
3.370000, 0.001590
3.380000, 0.001549
3.390000, 0.001510
3.400000, 0.001471
3.410000, 0.001434
3.420000, 0.001397
3.430000, 0.001362
3.440000, 0.001327
3.450000, 0.001294
3.460000, 0.001261
3.470000, 0.001229
3.480000, 0.001198
3.490000, 0.001168
3.500000, 0.001138
3.510000, 0.001110
3.520000, 0.001082
3.530000, 0.001054
3.540000, 0.001028
3.550000, 0.001002
3.560000, 0.000977
3.570000, 0.000952
3.580000, 0.000928
3.590000, 0.000905
3.600000, 0.000883
3.610000, 0.000860
3.620000, 0.000839
3.630000, 0.000818
3.640000, 0.000798
3.650000, 0.000778
3.660000, 0.000758
3.670000, 0.000740
3.680000, 0.000721
3.690000, 0.000703
3.700000, 0.000686
3.710000, 0.000669
3.720000, 0.000652
3.730000, 0.000636
3.740000, 0.000620
3.750000, 0.000605
3.760000, 0.000590
3.770000, 0.000575
3.780000, 0.000561
3.790000, 0.000547
3.800000, 0.000534
3.810000, 0.000521
3.820000, 0.000508
3.830000, 0.000495
3.840000, 0.000483
3.850000, 0.000471
3.860000, 0.000460
3.870000, 0.000449
3.880000, 0.000438
3.890000, 0.000427
3.900000, 0.000416
3.910000, 0.000406
3.920000, 0.000396
3.930000, 0.000387
3.940000, 0.000377
3.950000, 0.000368
3.960000, 0.000359
3.970000, 0.000350
3.980000, 0.000342
3.990000, 0.000333
4.000000, 0.000325
