pt,dN/detadpt
0.15,0.279487
0.16,0.275737
0.17,0.271936
0.18,0.268098
0.19,0.264235
0.2,0.260358
0.21,0.256474
0.22,0.252593
0.23,0.24872
0.24,0.244862
0.25,0.241025
0.26,0.237211
0.27,0.233426
0.28,0.229672
0.29,0.225952
0.3,0.222269
0.31,0.218624
0.32,0.21502
0.33,0.211458
0.34,0.207939
0.35,0.204463
0.36,0.201033
0.37,0.197648
0.38,0.194308
0.39,0.191015
0.4,0.187768
0.41,0.184568
0.42,0.181415
0.43,0.178308
0.44,0.175248
0.45,0.172234
0.46,0.169266
0.47,0.166344
0.48,0.163467
0.49,0.160636
0.5,0.157849
0.51,0.155107
0.52,0.152409
0.53,0.149754
0.54,0.147142
0.55,0.144574
0.56,0.142047
0.57,0.139561
0.58,0.137117
0.59,0.134713
0.6,0.13235
0.61,0.130026
0.62,0.127741
0.63,0.125494
0.64,0.123285
0.65,0.121114
0.66,0.118979
0.67,0.11688
0.68,0.114818
0.69,0.11279
0.7,0.110798
0.71,0.108839
0.72,0.106914
0.73,0.105022
0.74,0.103163
0.75,0.101335
0.76,0.0995398
0.77,0.0977752
0.78,0.0960412
0.79,0.0943373
0.8,0.0926629
0.81,0.0910177
0.82,0.0894011
0.83,0.0878127
0.84,0.0862519
0.85,0.0847185
0.86,0.0832118
0.87,0.0817315
0.88,0.0802772
0.89,0.0788483
0.9,0.0774444
0.91,0.0760652
0.92,0.0747102
0.93,0.0733791
0.94,0.0720713
0.95,0.0707866
0.96,0.0695245
0.97,0.0682846
0.98,0.0670666
0.99,0.0658701
1,0.0646947
1.01,0.06354
1.02,0.0624057
1.03,0.0612915
1.04,0.060197
1.05,0.0591219
1.06,0.0580658
1.07,0.0570284
1.08,0.0560093
1.09,0.0550084
1.1,0.0540251
1.11,0.0530593
1.12,0.0521107
1.13,0.0511788
1.14,0.0502636
1.15,0.0493645
1.16,0.0484815
1.17,0.0476141
1.18,0.0467621
1.19,0.0459253
1.2,0.0451034
1.21,0.0442961
1.22,0.0435032
1.23,0.0427243
1.24,0.0419594
1.25,0.041208
1.26,0.0404701
1.27,0.0397453
1.28,0.0390334
1.29,0.0383342
1.3,0.0376474
1.31,0.0369729
1.32,0.0363104
1.33,0.0356598
1.34,0.0350207
1.35,0.0343931
1.36,0.0337766
1.37,0.0331712
1.38,0.0325766
1.39,0.0319925
1.4,0.031419
1.41,0.0308556
1.42,0.0303023
1.43,0.0297589
1.44,0.0292252
1.45,0.0287011
1.46,0.0281863
1.47,0.0276807
1.48,0.0271842
1.49,0.0266965
1.5,0.0262176
1.51,0.0257472
1.52,0.0252853
1.53,0.0248316
1.54,0.024386
1.55,0.0239484
1.56,0.0235186
1.57,0.0230965
1.58,0.022682
1.59,0.0222749
1.6,0.021875
1.61,0.0214824
1.62,0.0210967
1.63,0.020718
1.64,0.0203461
1.65,0.0199808
1.66,0.019622
1.67,0.0192697
1.68,0.0189237
1.69,0.0185839
1.7,0.0182502
1.71,0.0179224
1.72,0.0176006
1.73,0.0172845
1.74,0.0169741
1.75,0.0166692
1.76,0.0163698
1.77,0.0160758
1.78,0.015787
1.79,0.0155034
1.8,0.0152249
1.81,0.0149514
1.82,0.0146828
1.83,0.014419
1.84,0.01416
1.85,0.0139056
1.86,0.0136557
1.87,0.0134104
1.88,0.0131694
1.89,0.0129328
1.9,0.0127004
1.91,0.0124721
1.92,0.012248
1.93,0.0120279
1.94,0.0118117
1.95,0.0115995
1.96,0.011391
1.97,0.0111863
1.98,0.0109852
1.99,0.0107878
2,0.0105939
2.01,0.0104035
2.02,0.0102165
2.03,0.0100328
2.04,0.00985247
2.05,0.00967536
2.06,0.00950143
2.07,0.00933063
2.08,0.00916289
2.09,0.00899816
2.1,0.00883639
2.11,0.00867753
2.12,0.00852152
2.13,0.00836831
2.14,0.00821785
2.15,0.00807009
2.16,0.00792499
2.17,0.0077825
2.18,0.00764256
2.19,0.00750514
2.2,0.00737018
2.21,0.00723765
2.22,0.0071075
2.23,0.00697969
2.24,0.00685418
2.25,0.00673092
2.26,0.00660987
2.27,0.006491
2.28,0.00637427
2.29,0.00625963
2.3,0.00614706
2.31,0.0060365
2.32,0.00592793
2.33,0.00582132
2.34,0.00571662
2.35,0.0056138
2.36,0.00551283
2.37,0.00541367
2.38,0.0053163
2.39,0.00522067
2.4,0.00512677
2.41,0.00503455
2.42,0.00494399
2.43,0.00485506
2.44,0.00476772
2.45,0.00468196
2.46,0.00459773
2.47,0.00451503
2.48,0.0044338
2.49,0.00435404
2.5,0.00427571
2.51,0.0041988
2.52,0.00412326
2.53,0.00404908
2.54,0.00397623
2.55,0.0039047
2.56,0.00383445
2.57,0.00376546
2.58,0.00369772
2.59,0.00363119
2.6,0.00356586
2.61,0.0035017
2.62,0.0034387
2.63,0.00337683
2.64,0.00331607
2.65,0.00325641
2.66,0.00319781
2.67,0.00314028
2.68,0.00308377
2.69,0.00302828
2.7,0.00297379
2.71,0.00292028
2.72,0.00286774
2.73,0.00281613
2.74,0.00276546
2.75,0.0027157
2.76,0.00266683
2.77,0.00261884
2.78,0.00257171
2.79,0.00252543
2.8,0.00247999
2.81,0.00243536
2.82,0.00239153
2.83,0.0023485
2.84,0.00230623
2.85,0.00226473
2.86,0.00222397
2.87,0.00218395
2.88,0.00214465
2.89,0.00210605
2.9,0.00206815
2.91,0.00203093
2.92,0.00199438
2.93,0.00195848
2.94,0.00192324
2.95,0.00188862
2.96,0.00185463
2.97,0.00182125
2.98,0.00178847
2.99,0.00175628
3,0.00172468
3.01,0.00169363
3.02,0.00166315
3.03,0.00163322
3.04,0.00160382
3.05,0.00157495
3.06,0.00154661
3.07,0.00151877
3.08,0.00149143
3.09,0.00146459
3.1,0.00143823
3.11,0.00141234
3.12,0.00138692
3.13,0.00136195
3.14,0.00133744
3.15,0.00131336
3.16,0.00128972
3.17,0.00126651
3.18,0.00124371
3.19,0.00122132
3.2,0.00119934
3.21,0.00117775
3.22,0.00115655
3.23,0.00113573
3.24,0.00111529
3.25,0.00109521
3.26,0.0010755
3.27,0.00105614
3.28,0.00103712
3.29,0.00101845
3.3,0.00100012
3.31,0.000982116
3.32,0.000964436
3.33,0.000947075
3.34,0.000930026
3.35,0.000913283
3.36,0.000896842
3.37,0.000880697
3.38,0.000864843
3.39,0.000849273
3.4,0.000833984
3.41,0.000818971
3.42,0.000804227
3.43,0.000789749
3.44,0.000775531
3.45,0.000761569
3.46,0.000747859
3.47,0.000734395
3.48,0.000721173
3.49,0.00070819
3.5,0.00069544
3.51,0.00068292
3.52,0.000670625
3.53,0.000658551
3.54,0.000646695
3.55,0.000635052
3.56,0.000623619
3.57,0.000612391
3.58,0.000601366
3.59,0.000590539
3.6,0.000579907
3.61,0.000569466
3.62,0.000559213
3.63,0.000549145
3.64,0.000539258
3.65,0.000529549
3.66,0.000520015
3.67,0.000510652
3.68,0.000501458
3.69,0.000492429
3.7,0.000483563
3.71,0.000474857
3.72,0.000466307
3.73,0.000457911
3.74,0.000449666
3.75,0.00044157
3.76,0.000433619
3.77,0.000425812
3.78,0.000418145
3.79,0.000410616
3.8,0.000403223
3.81,0.000395963
3.82,0.000388833
3.83,0.000381832
3.84,0.000374957
3.85,0.000368205
3.86,0.000361576
3.87,0.000355065
3.88,0.000348672
3.89,0.000342394
3.9,0.000336228
3.91,0.000330174
3.92,0.000324229
3.93,0.000318391
3.94,0.000312658
3.95,0.000307028
3.96,0.0003015
3.97,0.000296071
3.98,0.000290739
3.99,0.000285504
4,0.000280363
