pt, RidgeDis
0.150000, 0.081252
0.160000, 0.085395
0.170000, 0.089404
0.180000, 0.093287
0.190000, 0.097050
0.200000, 0.100700
0.210000, 0.104246
0.220000, 0.107694
0.230000, 0.111050
0.240000, 0.114321
0.250000, 0.117514
0.260000, 0.120635
0.270000, 0.123690
0.280000, 0.126684
0.290000, 0.129623
0.300000, 0.132512
0.310000, 0.135355
0.320000, 0.138157
0.330000, 0.140923
0.340000, 0.143656
0.350000, 0.146360
0.360000, 0.149039
0.370000, 0.151697
0.380000, 0.154336
0.390000, 0.156959
0.400000, 0.159569
0.410000, 0.162170
0.420000, 0.164762
0.430000, 0.167348
0.440000, 0.169931
0.450000, 0.172511
0.460000, 0.175092
0.470000, 0.177674
0.480000, 0.180259
0.490000, 0.182849
0.500000, 0.185443
0.510000, 0.188044
0.520000, 0.190652
0.530000, 0.193267
0.540000, 0.195891
0.550000, 0.198523
0.560000, 0.201165
0.570000, 0.203815
0.580000, 0.206474
0.590000, 0.209142
0.600000, 0.211819
0.610000, 0.214503
0.620000, 0.217194
0.630000, 0.219891
0.640000, 0.222593
0.650000, 0.225299
0.660000, 0.228007
0.670000, 0.230715
0.680000, 0.233421
0.690000, 0.236124
0.700000, 0.238819
0.710000, 0.241505
0.720000, 0.244178
0.730000, 0.246834
0.740000, 0.249470
0.750000, 0.252081
0.760000, 0.254661
0.770000, 0.257205
0.780000, 0.259708
0.790000, 0.262161
0.800000, 0.264559
0.810000, 0.266891
0.820000, 0.269150
0.830000, 0.271325
0.840000, 0.273405
0.850000, 0.275378
0.860000, 0.277230
0.870000, 0.278947
0.880000, 0.280512
0.890000, 0.281910
0.900000, 0.283121
0.910000, 0.284126
0.920000, 0.284906
0.930000, 0.285440
0.940000, 0.285708
0.950000, 0.285691
0.960000, 0.285372
0.970000, 0.284736
0.980000, 0.283772
0.990000, 0.282473
1.000000, 0.280839
1.010000, 0.278873
1.020000, 0.276586
1.030000, 0.273992
1.040000, 0.271111
1.050000, 0.267966
1.060000, 0.264582
1.070000, 0.260985
1.080000, 0.257203
1.090000, 0.253261
1.100000, 0.249185
1.110000, 0.244998
1.120000, 0.240724
1.130000, 0.236380
1.140000, 0.231987
1.150000, 0.227560
1.160000, 0.223113
1.170000, 0.218659
1.180000, 0.214211
1.190000, 0.209776
1.200000, 0.205365
1.210000, 0.200985
1.220000, 0.196642
1.230000, 0.192343
1.240000, 0.188090
1.250000, 0.183890
1.260000, 0.179746
1.270000, 0.175660
1.280000, 0.171634
1.290000, 0.167672
1.300000, 0.163775
1.310000, 0.159944
1.320000, 0.156179
1.330000, 0.152483
1.340000, 0.148855
1.350000, 0.145296
1.360000, 0.141805
1.370000, 0.138384
1.380000, 0.135032
1.390000, 0.131747
1.400000, 0.128531
1.410000, 0.125383
1.420000, 0.122302
1.430000, 0.119287
1.440000, 0.116338
1.450000, 0.113453
1.460000, 0.110633
1.470000, 0.107876
1.480000, 0.105182
1.490000, 0.102548
1.500000, 0.099976
1.510000, 0.097462
1.520000, 0.095008
1.530000, 0.092611
1.540000, 0.090270
1.550000, 0.087984
1.560000, 0.085754
1.570000, 0.083576
1.580000, 0.081451
1.590000, 0.079377
1.600000, 0.077354
1.610000, 0.075379
1.620000, 0.073453
1.630000, 0.071575
1.640000, 0.069742
1.650000, 0.067955
1.660000, 0.066212
1.670000, 0.064512
1.680000, 0.062855
1.690000, 0.061239
1.700000, 0.059663
1.710000, 0.058128
1.720000, 0.056630
1.730000, 0.055171
1.740000, 0.053748
1.750000, 0.052362
1.760000, 0.051010
1.770000, 0.049693
1.780000, 0.048409
1.790000, 0.047159
1.800000, 0.045940
1.810000, 0.044752
1.820000, 0.043595
1.830000, 0.042467
1.840000, 0.041368
1.850000, 0.040298
1.860000, 0.039255
1.870000, 0.038239
1.880000, 0.037249
1.890000, 0.036285
1.900000, 0.035345
1.910000, 0.034430
1.920000, 0.033539
1.930000, 0.032670
1.940000, 0.031825
1.950000, 0.031001
1.960000, 0.030198
1.970000, 0.029416
1.980000, 0.028655
1.990000, 0.027913
2.000000, 0.027191
2.010000, 0.026487
2.020000, 0.025802
2.030000, 0.025134
2.040000, 0.024484
2.050000, 0.023851
2.060000, 0.023234
2.070000, 0.022633
2.080000, 0.022048
2.090000, 0.021478
2.100000, 0.020923
2.110000, 0.020383
2.120000, 0.019856
2.130000, 0.019344
2.140000, 0.018844
2.150000, 0.018358
2.160000, 0.017884
2.170000, 0.017423
2.180000, 0.016973
2.190000, 0.016536
2.200000, 0.016109
2.210000, 0.015694
2.220000, 0.015290
2.230000, 0.014896
2.240000, 0.014513
2.250000, 0.014139
2.260000, 0.013775
2.270000, 0.013421
2.280000, 0.013075
2.290000, 0.012739
2.300000, 0.012412
2.310000, 0.012093
2.320000, 0.011782
2.330000, 0.011479
2.340000, 0.011185
2.350000, 0.010897
2.360000, 0.010618
2.370000, 0.010345
2.380000, 0.010080
2.390000, 0.009821
2.400000, 0.009570
2.410000, 0.009324
2.420000, 0.009085
2.430000, 0.008853
2.440000, 0.008626
2.450000, 0.008405
2.460000, 0.008190
2.470000, 0.007980
2.480000, 0.007776
2.490000, 0.007577
2.500000, 0.007383
2.510000, 0.007194
2.520000, 0.007010
2.530000, 0.006831
2.540000, 0.006656
2.550000, 0.006486
2.560000, 0.006320
2.570000, 0.006159
2.580000, 0.006002
2.590000, 0.005848
2.600000, 0.005699
2.610000, 0.005553
2.620000, 0.005411
2.630000, 0.005273
2.640000, 0.005138
2.650000, 0.005007
2.660000, 0.004879
2.670000, 0.004754
2.680000, 0.004632
2.690000, 0.004513
2.700000, 0.004397
2.710000, 0.004283
2.720000, 0.004173
2.730000, 0.004067
2.740000, 0.003964
2.750000, 0.003863
2.760000, 0.003764
2.770000, 0.003668
2.780000, 0.003575
2.790000, 0.003484
2.800000, 0.003395
2.810000, 0.003308
2.820000, 0.003223
2.830000, 0.003140
2.840000, 0.003058
2.850000, 0.002979
2.860000, 0.002904
2.870000, 0.002830
2.880000, 0.002759
2.890000, 0.002689
2.900000, 0.002621
2.910000, 0.002555
2.920000, 0.002490
2.930000, 0.002427
2.940000, 0.002366
2.950000, 0.002306
2.960000, 0.002247
2.970000, 0.002190
2.980000, 0.002133
2.990000, 0.002078
3.000000, 0.002026
3.010000, 0.001975
3.020000, 0.001926
3.030000, 0.001878
3.040000, 0.001831
3.050000, 0.001785
3.060000, 0.001740
3.070000, 0.001696
3.080000, 0.001654
3.090000, 0.001612
3.100000, 0.001571
3.110000, 0.001532
3.120000, 0.001493
3.130000, 0.001455
3.140000, 0.001418
3.150000, 0.001382
3.160000, 0.001348
3.170000, 0.001315
3.180000, 0.001282
3.190000, 0.001250
3.200000, 0.001219
3.210000, 0.001189
3.220000, 0.001159
3.230000, 0.001130
3.240000, 0.001102
3.250000, 0.001074
3.260000, 0.001047
3.270000, 0.001021
3.280000, 0.000995
3.290000, 0.000970
3.300000, 0.000946
3.310000, 0.000923
3.320000, 0.000900
3.330000, 0.000878
3.340000, 0.000856
3.350000, 0.000835
3.360000, 0.000814
3.370000, 0.000794
3.380000, 0.000775
3.390000, 0.000755
3.400000, 0.000737
3.410000, 0.000719
3.420000, 0.000701
3.430000, 0.000683
3.440000, 0.000666
3.450000, 0.000649
3.460000, 0.000633
3.470000, 0.000618
3.480000, 0.000603
3.490000, 0.000588
3.500000, 0.000573
3.510000, 0.000559
3.520000, 0.000546
3.530000, 0.000532
3.540000, 0.000519
3.550000, 0.000507
3.560000, 0.000494
3.570000, 0.000482
3.580000, 0.000470
3.590000, 0.000459
3.600000, 0.000447
3.610000, 0.000436
3.620000, 0.000425
3.630000, 0.000415
3.640000, 0.000405
3.650000, 0.000395
3.660000, 0.000385
3.670000, 0.000376
3.680000, 0.000367
3.690000, 0.000358
3.700000, 0.000349
3.710000, 0.000341
3.720000, 0.000332
3.730000, 0.000324
3.740000, 0.000316
3.750000, 0.000309
3.760000, 0.000301
3.770000, 0.000294
3.780000, 0.000287
3.790000, 0.000280
3.800000, 0.000273
3.810000, 0.000266
3.820000, 0.000259
3.830000, 0.000253
3.840000, 0.000247
3.850000, 0.000241
3.860000, 0.000235
3.870000, 0.000230
3.880000, 0.000224
3.890000, 0.000219
3.900000, 0.000213
3.910000, 0.000208
3.920000, 0.000203
3.930000, 0.000198
3.940000, 0.000194
3.950000, 0.000189
3.960000, 0.000184
3.970000, 0.000180
3.980000, 0.000175
3.990000, 0.000171
4.000000, 0.000167
