etaf, phif, dF
-1.400000, -2.500000, 0.056713
-1.400000, -2.450000, 0.057318
-1.400000, -2.400000, 0.057975
-1.400000, -2.350000, 0.058687
-1.400000, -2.300000, 0.059455
-1.400000, -2.250000, 0.060280
-1.400000, -2.200000, 0.061165
-1.400000, -2.150000, 0.062112
-1.400000, -2.100000, 0.063123
-1.400000, -2.050000, 0.064201
-1.400000, -2.000000, 0.065348
-1.400000, -1.950000, 0.066568
-1.400000, -1.900000, 0.067864
-1.400000, -1.850000, 0.069238
-1.400000, -1.800000, 0.070695
-1.400000, -1.750000, 0.072237
-1.400000, -1.700000, 0.073869
-1.400000, -1.650000, 0.075595
-1.400000, -1.600000, 0.077418
-1.400000, -1.550000, 0.079344
-1.400000, -1.500000, 0.081376
-1.400000, -1.450000, 0.083520
-1.400000, -1.400000, 0.085779
-1.400000, -1.350000, 0.088159
-1.400000, -1.300000, 0.090664
-1.400000, -1.250000, 0.093298
-1.400000, -1.200000, 0.096066
-1.400000, -1.150000, 0.098970
-1.400000, -1.100000, 0.102015
-1.400000, -1.050000, 0.105200
-1.400000, -1.000000, 0.108528
-1.400000, -0.950000, 0.111997
-1.400000, -0.900000, 0.115604
-1.400000, -0.850000, 0.119344
-1.400000, -0.800000, 0.123207
-1.400000, -0.750000, 0.127181
-1.400000, -0.700000, 0.131247
-1.400000, -0.650000, 0.135384
-1.400000, -0.600000, 0.139561
-1.400000, -0.550000, 0.143743
-1.400000, -0.500000, 0.147884
-1.400000, -0.450000, 0.151935
-1.400000, -0.400000, 0.155836
-1.400000, -0.350000, 0.159521
-1.400000, -0.300000, 0.162921
-1.400000, -0.250000, 0.165961
-1.400000, -0.200000, 0.168571
-1.400000, -0.150000, 0.170682
-1.400000, -0.100000, 0.172236
-1.400000, -0.050000, 0.173187
-1.400000, -0.000000, 0.173508
-1.400000, 0.050000, 0.173187
-1.400000, 0.100000, 0.172236
-1.400000, 0.150000, 0.170682
-1.400000, 0.200000, 0.168571
-1.400000, 0.250000, 0.165961
-1.400000, 0.300000, 0.162921
-1.400000, 0.350000, 0.159521
-1.400000, 0.400000, 0.155836
-1.400000, 0.450000, 0.151935
-1.400000, 0.500000, 0.147884
-1.400000, 0.550000, 0.143743
-1.400000, 0.600000, 0.139561
-1.400000, 0.650000, 0.135384
-1.400000, 0.700000, 0.131247
-1.400000, 0.750000, 0.127181
-1.400000, 0.800000, 0.123207
-1.400000, 0.850000, 0.119344
-1.400000, 0.900000, 0.115604
-1.400000, 0.950000, 0.111997
-1.400000, 1.000000, 0.108528
-1.400000, 1.050000, 0.105200
-1.400000, 1.100000, 0.102015
-1.400000, 1.150000, 0.098970
-1.400000, 1.200000, 0.096066
-1.400000, 1.250000, 0.093298
-1.400000, 1.300000, 0.090664
-1.400000, 1.350000, 0.088159
-1.400000, 1.400000, 0.085779
-1.400000, 1.450000, 0.083520
-1.400000, 1.500000, 0.081376
-1.400000, 1.550000, 0.079344
-1.400000, 1.600000, 0.077418
-1.400000, 1.650000, 0.075595
-1.400000, 1.700000, 0.073869
-1.400000, 1.750000, 0.072237
-1.400000, 1.800000, 0.070695
-1.400000, 1.850000, 0.069238
-1.400000, 1.900000, 0.067864
-1.400000, 1.950000, 0.066568
-1.400000, 2.000000, 0.065348
-1.400000, 2.050000, 0.064201
-1.400000, 2.100000, 0.063123
-1.400000, 2.150000, 0.062112
-1.400000, 2.200000, 0.061165
