etaf, phif, dF
-1.400000, -2.500000, 0.009417
-1.400000, -2.450000, 0.009497
-1.400000, -2.400000, 0.009582
-1.400000, -2.350000, 0.009673
-1.400000, -2.300000, 0.009769
-1.400000, -2.250000, 0.009872
-1.400000, -2.200000, 0.009980
-1.400000, -2.150000, 0.010094
-1.400000, -2.100000, 0.010214
-1.400000, -2.050000, 0.010339
-1.400000, -2.000000, 0.010470
-1.400000, -1.950000, 0.010606
-1.400000, -1.900000, 0.010747
-1.400000, -1.850000, 0.010893
-1.400000, -1.800000, 0.011044
-1.400000, -1.750000, 0.011200
-1.400000, -1.700000, 0.011359
-1.400000, -1.650000, 0.011524
-1.400000, -1.600000, 0.011692
-1.400000, -1.550000, 0.011863
-1.400000, -1.500000, 0.012038
-1.400000, -1.450000, 0.012215
-1.400000, -1.400000, 0.012395
-1.400000, -1.350000, 0.012577
-1.400000, -1.300000, 0.012761
-1.400000, -1.250000, 0.012945
-1.400000, -1.200000, 0.013130
-1.400000, -1.150000, 0.013315
-1.400000, -1.100000, 0.013499
-1.400000, -1.050000, 0.013682
-1.400000, -1.000000, 0.013863
-1.400000, -0.950000, 0.014042
-1.400000, -0.900000, 0.014217
-1.400000, -0.850000, 0.014388
-1.400000, -0.800000, 0.014554
-1.400000, -0.750000, 0.014715
-1.400000, -0.700000, 0.014869
-1.400000, -0.650000, 0.015017
-1.400000, -0.600000, 0.015157
-1.400000, -0.550000, 0.015289
-1.400000, -0.500000, 0.015412
-1.400000, -0.450000, 0.015525
-1.400000, -0.400000, 0.015628
-1.400000, -0.350000, 0.015721
-1.400000, -0.300000, 0.015802
-1.400000, -0.250000, 0.015872
-1.400000, -0.200000, 0.015929
-1.400000, -0.150000, 0.015974
-1.400000, -0.100000, 0.016006
-1.400000, -0.050000, 0.016026
-1.400000, -0.000000, 0.016032
-1.400000, 0.050000, 0.016026
-1.400000, 0.100000, 0.016006
-1.400000, 0.150000, 0.015974
-1.400000, 0.200000, 0.015929
-1.400000, 0.250000, 0.015872
-1.400000, 0.300000, 0.015802
-1.400000, 0.350000, 0.015721
-1.400000, 0.400000, 0.015628
-1.400000, 0.450000, 0.015525
-1.400000, 0.500000, 0.015412
-1.400000, 0.550000, 0.015289
-1.400000, 0.600000, 0.015157
-1.400000, 0.650000, 0.015017
-1.400000, 0.700000, 0.014869
-1.400000, 0.750000, 0.014715
-1.400000, 0.800000, 0.014554
-1.400000, 0.850000, 0.014388
-1.400000, 0.900000, 0.014217
-1.400000, 0.950000, 0.014042
-1.400000, 1.000000, 0.013863
-1.400000, 1.050000, 0.013682
-1.400000, 1.100000, 0.013499
-1.400000, 1.150000, 0.013315
-1.400000, 1.200000, 0.013130
-1.400000, 1.250000, 0.012945
-1.400000, 1.300000, 0.012761
-1.400000, 1.350000, 0.012577
-1.400000, 1.400000, 0.012395
-1.400000, 1.450000, 0.012215
-1.400000, 1.500000, 0.012038
-1.400000, 1.550000, 0.011863
-1.400000, 1.600000, 0.011692
-1.400000, 1.650000, 0.011524
-1.400000, 1.700000, 0.011359
-1.400000, 1.750000, 0.011200
-1.400000, 1.800000, 0.011044
-1.400000, 1.850000, 0.010893
-1.400000, 1.900000, 0.010747
-1.400000, 1.950000, 0.010606
-1.400000, 2.000000, 0.010470
-1.400000, 2.050000, 0.010339
-1.400000, 2.100000, 0.010214
-1.400000, 2.150000, 0.010094
-1.400000, 2.200000, 0.009980
-1.400000, 2.250000, 0.009872
-1.400000, 2.300000, 0.009769
-1.400000, 2.350000, 0.009673
-1.400000, 2.400000, 0.009582
-1.400000, 2.450000, 0.009497
-1.400000, 2.500000, 0.009417
-1.372000, -2.500000, 0.009439
-1.372000, -2.450000, 0.009518
-1.372000, -2.400000, 0.009603
-1.372000, -2.350000, 0.009694
-1.372000, -2.300000, 0.009791
-1.372000, -2.250000, 0.009894
-1.372000, -2.200000, 0.010002
-1.372000, -2.150000, 0.010117
-1.372000, -2.100000, 0.010236
-1.372000, -2.050000, 0.010362
-1.372000, -2.000000, 0.010493
