ptf, pti, rapidity
0.150000, 4.912423, -0.031768
0.160000, 4.868124, -0.064197
0.170000, 4.824042, -0.097210
0.180000, 4.780182, -0.130739
0.190000, 4.736550, -0.164728
0.200000, 4.693150, -0.199125
0.210000, 4.649988, -0.233888
0.220000, 4.607068, -0.268978
0.230000, 4.564398, -0.304362
0.240000, 4.521981, -0.340012
0.250000, 4.479824, -0.375902
0.260000, 4.437933, -0.412008
0.270000, 4.396313, -0.448313
0.280000, 4.354970, -0.484797
0.290000, 4.313912, -0.521445
0.300000, 4.273144, -0.558243
0.310000, 4.232672, -0.595179
0.320000, 4.192503, -0.632242
0.330000, 4.152645, -0.669421
0.340000, 4.113103, -0.706707
0.350000, 4.073886, -0.744093
0.360000, 4.034999, -0.781571
0.370000, 3.996451, -0.819134
0.380000, 3.958249, -0.856777
0.390000, 3.920400, -0.894493
0.400000, 3.882913, -0.932278
0.410000, 3.845794, -0.970127
0.420000, 3.809054, -1.008037
0.430000, 3.772698, -1.046002
0.440000, 3.736737, -1.084020
0.450000, 3.701179, -1.122087
0.460000, 3.666032, -1.160201
0.470000, 3.631306, -1.198358
0.480000, 3.597009, -1.236557
0.490000, 3.563150, -1.274794
0.500000, 3.529741, -1.313068
0.510000, 3.496789, -1.351376
0.520000, 3.464305, -1.389717
0.530000, 3.432299, -1.428089
0.540000, 3.400782, -1.466491
0.550000, 3.369763, -1.504920
0.560000, 3.339254, -1.543375
0.570000, 3.309266, -1.581856
0.580000, 3.279810, -1.620360
0.590000, 3.250896, -1.658887
0.600000, 3.222538, -1.697436
0.610000, 3.194747, -1.736005
0.620000, 3.167535, -1.774594
0.630000, 3.140915, -1.813202
0.640000, 3.114899, -1.851827
0.650000, 3.089501, -1.890470
0.660000, 3.064735, -1.929129
0.670000, 3.040613, -1.967804
0.680000, 3.017151, -2.006494
0.690000, 2.994363, -2.045198
0.700000, 2.972264, -2.083915
0.710000, 2.950870, -2.122646
0.720000, 2.930197, -2.161390
0.730000, 2.910260, -2.200146
0.740000, 2.891078, -2.238914
0.750000, 2.872668, -2.277692
0.760000, 2.855047, -2.316482
0.770000, 2.838236, -2.355282
0.780000, 2.822254, -2.394092
0.790000, 2.807122, -2.432912
0.800000, 2.792861, -2.471741
0.810000, 2.779494, -2.510579
0.820000, 2.767045, -2.549425
0.830000, 2.755538, -2.588280
0.840000, 2.745000, -2.627143
0.850000, 2.735460, -2.666014
0.860000, 2.726947, -2.704892
0.870000, 2.719493, -2.743777
0.880000, 2.713133, -2.782670
0.890000, 2.707904, -2.821569
0.900000, 2.703848, -2.860475
0.910000, 2.701008, -2.899387
0.920000, 2.699436, -2.938305
0.930000, 2.699187, -2.977230
0.940000, 2.700327, -3.016160
0.950000, 2.702929, -3.055095
0.960000, 2.707085, -3.094036
0.970000, 2.712907, -3.132983
0.980000, 2.720540, -3.171934
0.990000, 2.730193, -3.210890
1.000000, 2.742128, -3.249851
1.010000, 2.757602, -3.288817
1.020000, 2.775297, -3.327788
1.030000, 2.794904, -3.366762
1.040000, 2.816184, -3.405741
1.050000, 2.838963, -3.444724
1.060000, 2.863105, -3.483711
1.070000, 2.888500, -3.522703
1.080000, 2.915055, -3.561697
1.090000, 2.942690, -3.600696
1.100000, 2.971336, -3.639698
1.110000, 3.000931, -3.678704
1.120000, 3.031418, -3.717713
1.130000, 3.062749, -3.756726
1.140000, 3.094878, -3.795741
1.150000, 3.127764, -3.834760
1.160000, 3.161367, -3.873782
1.170000, 3.195654, -3.912807
1.180000, 3.230591, -3.951835
1.190000, 3.266149, -3.990866
1.200000, 3.302299, -4.029900
1.210000, 3.339016, -4.068936
1.220000, 3.376274, -4.107975
1.230000, 3.414051, -4.147016
1.240000, 3.452325, -4.186060
1.250000, 3.491076, -4.225107
1.260000, 3.530285, -4.264156
1.270000, 3.569933, -4.303207
1.280000, 3.610004, -4.342261
1.290000, 3.650482, -4.381317
1.300000, 3.691350, -4.420375
1.310000, 3.732596, -4.459435
1.320000, 3.774204, -4.498497
1.330000, 3.816162, -4.537561
1.340000, 3.858457, -4.576628
1.350000, 3.901078, -4.615696
1.360000, 3.944013, -4.654766
1.370000, 3.987252, -4.693838
1.380000, 4.030784, -4.732912
1.390000, 4.074600, -4.771988
1.400000, 4.118689, -4.811065
1.410000, 4.163044, -4.850145
1.420000, 4.207656, -4.889226
1.430000, 4.252515, -4.928308
1.440000, 4.297616, -4.967392
1.450000, 4.342950, -5.006478
1.460000, 4.388509, -5.045565
1.470000, 4.434287, -5.084654
1.480000, 4.480278, -5.123744
1.490000, 4.526475, -5.162836
1.500000, 4.572872, -5.201929
1.510000, 4.619462, -5.241024
1.520000, 4.666241, -5.280120
1.530000, 4.713203, -5.319217
1.540000, 4.760342, -5.358316
1.550000, 4.807654, -5.397416
1.560000, 4.855134, -5.436517
1.570000, 4.902777, -5.475620
1.580000, 4.950578, -5.514723
1.590000, 4.998534, -5.553828
1.600000, 5.046640, -5.592934
1.610000, 5.094892, -5.632042
1.620000, 5.143286, -5.671150
1.630000, 5.191818, -5.710259
1.640000, 5.240485, -5.749370
1.650000, 5.289284, -5.788482
1.660000, 5.338210, -5.827594
1.670000, 5.387261, -5.866708
1.680000, 5.436433, -5.905823
1.690000, 5.485724, -5.944939
1.700000, 5.535130, -5.984055
1.710000, 5.584649, -6.023173
1.720000, 5.634277, -6.062292
1.730000, 5.684012, -6.101411
1.740000, 5.733852, -6.140532
1.750000, 5.783794, -6.179653
1.760000, 5.833836, -6.218776
1.770000, 5.883974, -6.257899
1.780000, 5.934208, -6.297023
1.790000, 5.984534, -6.336148
1.800000, 6.034951, -6.375274
1.810000, 6.085456, -6.414400
1.820000, 6.136047, -6.453527
1.830000, 6.186723, -6.492656
1.840000, 6.237482, -6.531785
1.850000, 6.288321, -6.570914
1.860000, 6.339239, -6.610045
1.870000, 6.390234, -6.649176
1.880000, 6.441305, -6.688308
1.890000, 6.492449, -6.727440
1.900000, 6.543666, -6.766574
1.910000, 6.594953, -6.805708
1.920000, 6.646309, -6.844842
1.930000, 6.697733, -6.883978
1.940000, 6.749224, -6.923114
1.950000, 6.800779, -6.962250
1.960000, 6.852398, -7.001388
1.970000, 6.904078, -7.040526
1.980000, 6.955820, -7.079664
1.990000, 7.007621, -7.118803
2.000000, 7.059481, -7.157943
2.010000, 7.111398, -7.197084
2.020000, 7.163371, -7.236225
2.030000, 7.215400, -7.275366
2.040000, 7.267482, -7.314508
2.050000, 7.319616, -7.353651
2.060000, 7.371803, -7.392794
2.070000, 7.424041, -7.431938
2.080000, 7.476328, -7.471082
2.090000, 7.528664, -7.510227
2.100000, 7.581048, -7.549373
2.110000, 7.633479, -7.588519
2.120000, 7.685956, -7.627665
2.130000, 7.738478, -7.666812
2.140000, 7.791045, -7.705959
2.150000, 7.843656, -7.745107
2.160000, 7.896309, -7.784255
2.170000, 7.949004, -7.823404
2.180000, 8.001740, -7.862554
2.190000, 8.054517, -7.901703
2.200000, 8.107334, -7.940854
2.210000, 8.160189, -7.980004
2.220000, 8.213083, -8.019155
2.230000, 8.266014, -8.058307
2.240000, 8.318983, -8.097459
2.250000, 8.371988, -8.136611
2.260000, 8.425028, -8.175764
2.270000, 8.478104, -8.214917
2.280000, 8.531214, -8.254071
2.290000, 8.584358, -8.293225
2.300000, 8.637535, -8.332380
2.310000, 8.690745, -8.371534
2.320000, 8.743987, -8.410690
2.330000, 8.797261, -8.449845
2.340000, 8.850566, -8.489001
2.350000, 8.903901, -8.528158
2.360000, 8.957267, -8.567314
2.370000, 9.010662, -8.606471
2.380000, 9.064086, -8.645629
2.390000, 9.117538, -8.684787
2.400000, 9.171019, -8.723945
2.410000, 9.224528, -8.763103
2.420000, 9.278064, -8.802262
2.430000, 9.331627, -8.841421
2.440000, 9.385216, -8.880581
2.450000, 9.438831, -8.919741
2.460000, 9.492471, -8.958901
2.470000, 9.546137, -8.998061
2.480000, 9.599827, -9.037222
2.490000, 9.653542, -9.076383
2.500000, 9.707281, -9.115545
2.510000, 9.761044, -9.154707
2.520000, 9.814830, -9.193869
2.530000, 9.868638, -9.233031
2.540000, 9.922470, -9.272194
2.550000, 9.976323, -9.311357
2.560000, 10.030198, -9.350520
2.570000, 10.084095, -9.389683
2.580000, 10.138014, -9.428847
2.590000, 10.191953, -9.468011
2.600000, 10.245913, -9.507175
2.610000, 10.299893, -9.546340
2.620000, 10.353893, -9.585505
2.630000, 10.407913, -9.624670
2.640000, 10.461952, -9.663835
2.650000, 10.516010, -9.703001
2.660000, 10.570088, -9.742167
2.670000, 10.624184, -9.781333
2.680000, 10.678298, -9.820500
2.690000, 10.732430, -9.859666
